¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ù(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.19527
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.620971
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.861126
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.120442
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401277
·(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.706389
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.039006
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.40289
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.802702
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.243873
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.733148
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29097
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92381
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51872
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10655
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75966
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9693
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51216
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.617553
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.857459
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.11648
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.396991
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.701717
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.033842
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.397275
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.796496
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.237043
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.725539
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27799
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90917
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47522
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05844
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70609
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74736
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23844
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.614103
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.853734
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.112455
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.392605
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.696946
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.028687
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.3916
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.790247
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.230129
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.717877
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26495
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89439
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43239
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01102
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65332
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53172
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97344
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.610658
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.849992
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.10841
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.388215
¹(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.692175
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.023459
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.385859
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.783928
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.223148
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.710093
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25295
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87018
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39019
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96431
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60135
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32211
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.91019
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.607137
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.846205
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.104318
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.383801
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.687363
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.018173
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.380115
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.7776
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.216116
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.702288
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24425
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83238
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34859
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91831
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55882
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32808
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87606
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.603601
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.842417
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.100182
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.379338
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.682482
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.01289
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.374277
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.771198
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.209049
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.694429
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23544
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79515
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31464
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88851
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52567
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33907
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84092
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.600062
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.838557
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.09607
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.374843
´(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.677591
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.007561
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.368433
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.76475
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.201902
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.6865
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22655
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77112
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28815
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8592
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49308
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34967
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80491
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.596438
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834693
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.091844
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.370291
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.672666
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.002165
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.362524
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.758262
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.194727
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.678487
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21762
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74352
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26209
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83041
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.461
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35987
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76794
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.59285
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.83079
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.087646
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.365721
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.667708
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.996733
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.356596
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.751688
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.18749
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.670476
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20862
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71592
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23645
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80204
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42951
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36968
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73011
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.589213
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.826875
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.083402
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.361108
º(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.662688
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.991247
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.350573
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.745116
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.18019
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.662344
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19959
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68875
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20979
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77418
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39856
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37909
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69142
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.585538
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.822898
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.079112
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.356472
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.657638
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.985762
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.344544
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.738446
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.172873
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.654207
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19046
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66195
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18029
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74681
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36814
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38814
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68834
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.581852
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818918
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.074824
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.351801
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.652568
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.980234
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.33848
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.731773
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.165445
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.646002
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16696
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63557
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15121
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71992
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33825
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39674
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47946
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.578126
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.814914
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.070471
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.34712
»(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.647455
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.974655
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.332353
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.725063
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.158029
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.637745
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14329
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6096
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12256
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68952
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31531
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32548
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24962
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574372
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.810895
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.066132
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.342383
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.642305
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.969014
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.326216
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.718304
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.150577
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.629436
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11996
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58401
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09439
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65831
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32188
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13117
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02722
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570638
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.806801
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.061747
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.337633
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.63713
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.963366
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320009
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.711484
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.143056
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.621078
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09695
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55879
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06663
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62759
