¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ç(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 22.9857
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23037
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66287
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13531
‡(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65333
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22386
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85511
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55723
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0625
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.19372
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.18669
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59435
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91586
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25267
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.60588
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.97655
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.52478
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.17418
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97693
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.65777
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.34281
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.06927
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.79205
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.527018
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.749349
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.986469
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.239792
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.511047
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.802119
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.115206
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.452888
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.818037
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2141
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64518
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11594
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63206
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20039
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82911
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52826
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16257
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.19067
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.18908
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63039
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04363
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38578
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74462
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.12134
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.71788
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.38123
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.1185
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.78088
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.46578
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.20051
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.95167
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.518668
„(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.740451
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.976967
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.22963
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.500189
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.790453
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.102667
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.439348
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.803373
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1982
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62782
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09699
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61123
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17743
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80365
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49991
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27692
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15481
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.14827
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.65673
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10373
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.52315
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8879
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.28741
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.91742
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.59537
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.28966
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.90038
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.59336
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.33503
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.09541
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.510448
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.731697
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.967628
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.219706
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.489518
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.779028
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.090343
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.426037
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.789022
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18262
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61084
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07842
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59088
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15495
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77878
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4722
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24744
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11973
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1084
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.68502
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1336
‡(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.60971
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.03585
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.47997
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.12367
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78506
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.45898
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.03098
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.72566
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.47455
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.24464
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.502416
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.723166
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.958529
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.209951
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.479103
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.767822
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.078294
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.413059
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.774902
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16736
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59423
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06023
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57094
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13296
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75446
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44507
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21705
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08548
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06944
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.71521
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16548
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.64342
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.15151
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.67543
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.30059
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97214
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63405
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.21607
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.86281
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.61933
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.39951
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.494551
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.7148
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.949602
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.200418
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.468878
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.756845
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.066504
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.40031
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.761155
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15239
…(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57792
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04245
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55142
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11148
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73062
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41857
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18737
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05199
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03139
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.74738
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.19947
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.67937
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23177
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.84408
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.4809
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.1654
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.81503
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.4075
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.03809
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.7694
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.65971
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486822
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.706603
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.940855
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.191065
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.458853
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.746097
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.054933
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.387863
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.747694
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13777
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56205
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02505
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53236
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09047
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70734
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39265
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15836
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01928
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99422
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.78152
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2355
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.76868
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48989
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.05871
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.66715
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36514
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.00213
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.60555
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.24808
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.02832
„(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.01133
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.479274
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.698557
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.932274
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.181922
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.449089
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.735616
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.043638
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.375678
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.734528
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12351
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5465
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00807
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51372
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06994
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6846
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36738
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13002
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98734
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95794
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81767
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33228
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.0154
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.74216
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.28672
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.86695
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.57154
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.19563
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.81043
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.53171
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.37668
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.37749
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.471908
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.690706
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.923924
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.172995
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.439528
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.725361
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.032616
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.363779
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.721663
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10954
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53127
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9915
(364.76, 9.91, 322.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4955
