¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ô(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.234955
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.626052
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.695793
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.768189
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.843305
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.921299
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.013789
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.187456
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.463718
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.766871
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.100919
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.470899
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882796
(337.06, 7.09, 320.00) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 15.99883
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.4313
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.05606
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.72358
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.58173
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.31571
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.02753
„(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.234848
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.290503
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.348142
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.407876
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.469796
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.533981
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.600531
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.669583
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.741196
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.815549
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.892716
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.97287
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.052533
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.189771
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.433128
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.733593
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.064618
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.431027
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.838786
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.11469
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.7195
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.36509
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.34209
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.16278
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.54045
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.213749
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.268864
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.325957
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.385095
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.446396
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.509947
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.575834
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.644166
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.715037
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.788617
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.864997
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.942623
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.012276
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.121284
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.29069
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.470748
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.70064
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.028682
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.391674
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.79542
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.39572
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.02062
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.10996
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.91312
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.4752
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.193277
†(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.247884
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.304404
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.363004
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.423691
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.486639
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.551875
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.619546
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.689723
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.762578
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.838196
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.90453
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.973176
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.054772
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.220332
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.39618
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.58324
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.782626
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.995577
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.352947
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.752943
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.7181
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.86947
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.67147
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.31889
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.173454
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.227546
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.283545
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.341582
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.401734
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.464077
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.528685
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.595691
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.665196
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.737339
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.802307
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.867597
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.935277
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.005437
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.152045
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.323852
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.506513
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.701082
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.908667
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.130632
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.368505
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.711426
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.55348
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.43748
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.16299
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.154267
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.207842
ˆ(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.263357
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.320882
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.380429
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.442189
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.506225
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.572607
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.641475
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.705187
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.767376
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.831789
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.898525
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.967733
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.085801
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.253694
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.432113
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.622047
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.824563
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.040969
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.272685
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.521287
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.788691
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.2109
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.00755
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.135656
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.188769
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.243816
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.300803
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.359866
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.421053
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.484516
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.550313
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.612918
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.672122
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.733485
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.797025
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.862922
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.931193
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.021454
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.185633
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.360013
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.545483
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.743165
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.954219
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.180024
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.422118
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.682303
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.07715
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.85259
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.117653
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.170336
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.22489
„(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.28139
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.33993
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.400612
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.463488
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.525182
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.581637
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.640085
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.700627
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.763384
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.828396
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.895767
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.965643
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.119595
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.290071
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.471302
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.664328
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.870292
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.090428
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.326325
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.579628
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.86288
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.69817
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.100296
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.152507
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.206583
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.262628
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.320688
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.380854
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.44174
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.495538
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.551284
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.608994
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.668804
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.730748
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.794945
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.861439
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.930431
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.05548
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.222236
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.399401
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587965
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.789047
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.003813
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.233787
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.480512
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.0453
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.35718
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.083438
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.135242
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.188943
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.24452
†(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.302072
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.361763
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.413663
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.466838
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.521888
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.578875
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.637947
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.699161
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.762527
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.828244
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.896336
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.993248
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.156422
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.329677
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.514008
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.710377
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.92003
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.144321
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.384747
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.45322
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.82767
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.067214
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.118653
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.171868
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.226985
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.284138
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.335697
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.386413
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.438994
