¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.758955
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.670147
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.666244
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.662775
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.660528
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.659577
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.659907
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.661526
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.664455
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.668734
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.674436
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.681648
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.690503
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.701176
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.713903
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.729019
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.747012
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.768615
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.795047
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.743475
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.735769
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.728385
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.721321
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.714569
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.708123
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.701979
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.696132
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.690575
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.685306
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.680321
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.675613
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.671179
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.667019
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.663127
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.65968
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.657453
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.656507
ë(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.656829
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.658424
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.661314
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.665539
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.671167
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.678288
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.687023
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.697541
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.710073
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.724939
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.742594
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.763733
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.789478
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.741513
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.733817
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.726445
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.719392
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.71265
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.706215
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.700081
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.694243
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.688695
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.683435
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.678457
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.673757
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.669332
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.665179
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.661293
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.657859
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.655643
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.654702
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.655018
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.6566
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.659466
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.663662
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.669248
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.676314
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.684979
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.695409
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.70783
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.72255
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.740014
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.760891
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.786253
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.740872
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.733182
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.725816
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.718768
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.712031
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.705602
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.699472
è(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.693638
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.688096
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.68284
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.677867
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.673171
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.66875
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.6646
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.660719
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.657289
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.655078
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.654136
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.654452
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.65603
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.658889
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.663074
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.668648
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.675695
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.684339
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.694742
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.707129
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.721803
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.739209
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.760006
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.78525
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.741544
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.733855
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.726488
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.71944
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.712704
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.706274
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.700144
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.694311
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.688768
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.683513
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.67854
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.673845
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.669425
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.665275
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.661395
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.657963
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.655746
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.654802
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.655121
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.656702
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.659572
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.663768
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.669356
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.676423
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.685093
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.695529
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.707957
ë(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.722683
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.74016
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.76105
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.786432
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.743539
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.735843
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.728471
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.721418
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.714675
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.708239
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.702107
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.696269
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.690722
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.685463
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.680486
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.675788
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.671365
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.667214
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.66333
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.659887
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.657659
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.656712
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.657035
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.658631
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.661523
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.665753
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.671386
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.678511
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.687255
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.697784
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.710327
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.72521
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.742887
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.764058
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.78985
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.746884
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.739175
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.731791
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.724726
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.717974
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.711529
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.705385
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.699538
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.693984
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.688717
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.683733
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.679028
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.674599
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.670441
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.666553
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.663088
ê(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.660838
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.659888
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.66022
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.661841
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.664772
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.669058
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.674766
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.68199
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.690857
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.701544
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.714292
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.729436
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.74746
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.769112
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.795615
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.751625
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.743897
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.736496
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.729415
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.722646
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.716185
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.710028
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.704168
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.698601
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.693321
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.688325
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.68361
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.67917
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.675004
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.671107
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.667615
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.665337
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.664377
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.664722
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.666377
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.669366
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.673734
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.67955
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.686915
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.695965
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.706883
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.719926
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.735454
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.753997
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.776368
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.803956
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.757833
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.750081
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.742656
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.735551
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.728762
æ(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.72228
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.716103
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.710225
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.70464
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.699343
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.694333
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.689603
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.68515
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.68097
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.677062
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.673534
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.671216
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.670245
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.67061
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.672309
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.675376
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.679853
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.685818
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.693376
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.702669
(336.12, 7.49, 351.25) (331.44, 1.44, 368.94) (0.81, 2.16, 0.81) Human 1.713903
