¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ƒ (379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.767699
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 12.23833
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 12.20422
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.903959
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.881119
ø(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.859849
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.24598
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.35886
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.32195
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.28683
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.55505
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.54071
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.52813
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.51729
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.50819
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.50082
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.49517
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.49124
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.62368
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.62318
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.86757
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.165224
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.487606
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.832735
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.195891
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.591709
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02471
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49563
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99045
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52104
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05972
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65314
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35178
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.91618
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.880219
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.857437
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.836222
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.26812
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.64809
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.63005
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.52738
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.51309
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.50054
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.48973
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.48066
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.47331
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.46768
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.46376
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.878005
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.175168
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.498431
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.843861
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.208009
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.604961
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03923
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51626
ì(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01384
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54393
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08487
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68095
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39793
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.63206
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.858063
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.835336
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.814173
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.29055
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.14383
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.40625
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.38866
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.37283
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.63507
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.6443
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.65513
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.888779
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.185066
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.509193
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.854939
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.220095
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.618135
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05372
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53221
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0373
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56713
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11033
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70902
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44464
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.6098
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.980618
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.933678
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.888651
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.31327
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.17048
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.38245
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.36491
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.34911
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.60817
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.61683
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.62759
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.63996
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.899531
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.194901
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.519819
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.866041
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.232174
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.631363
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06814
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54812
î(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06089
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59057
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13609
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73912
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49187
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.874584
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.8503
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.827597
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.806458
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.78687
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.768814
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.26979
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.34294
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.32718
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.58567
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.59112
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.60175
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.61405
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.910266
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.204596
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.530412
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.877065
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.244188
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.644482
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08258
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.564
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08461
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61427
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16213
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77124
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.882821
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.856983
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.832744
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.810085
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.788989
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.769437
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.751415
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.29715
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.42799
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.43718
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.44795
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.57023
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.57761
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.58983
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.920885
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.216043
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.540895
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.888118
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.256165
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.657579
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09692
ş(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57982
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10842
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63821
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18851
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80351
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.866707
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.840915
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.816718
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.7941
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.77304
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.753523
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.735536
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.32487
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.41209
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.42124
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.43196
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.44426
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.45816
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.47366
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.49077
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.50951
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.52989
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.931536
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.227515
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.551313
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.899061
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.268148
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.670662
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11127
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59563
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13048
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66243
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21515
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83601
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.852118
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.826367
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.802211
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.779627
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.758601
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.739116
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.721157
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.39023
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.39777
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.40688
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.41755
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.42981
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.44365
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.911451
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.967476
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.02564
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.08601
í(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.14862
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.21329
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.942139
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.238966
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.561609
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.91006
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.280058
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.683692
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12559
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6114
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14789
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68692
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24208
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86858
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.839045
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.813329
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.789206
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.766656
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.74566
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.726204
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.708271
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.37751
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.48555
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.03709
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.936654
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.839657
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.786542
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.839659
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.89484
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.952135
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.0116
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.0733
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.13531
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.952678
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.250379
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.572556
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.920981
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.291965
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.696697
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13985
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62711
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16534
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71166
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26933
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90137
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.827474
