¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ñ(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.851679
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.579468
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.898517
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.246883
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.628752
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.049108
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.514063
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.853637
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15824
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48386
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83276
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28673
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92759
(327.32, 7.53, 367.06) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.60861
(327.32, 7.53, 367.06) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.58513
(327.32, 7.53, 367.06) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.56362
(327.32, 7.53, 367.06) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.54404
(327.32, 7.53, 367.06) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 13.46969
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.97034
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.95654
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.945
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.9357
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.92865
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.92382
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.92123
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.322416
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.538348
¤(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.770593
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.021019
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.291849
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.585534
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.905122
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.254155
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.636733
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.057924
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.523807
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.856841
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16165
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48752
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83665
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38142
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02876
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74988
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3628
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.97951
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.95895
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.94067
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.92466
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.9109
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.8994
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.89013
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.8831
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.87829
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.8757
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.326571
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.542809
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.775413
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.026246
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.297478
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.591699
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.911813
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.26145
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.644764
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.066762
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.533611
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.860732
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16579
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49193
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86803
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47806
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13214
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84015
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.85954
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.95392
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.91566
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.89743
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.88147
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.86775
¨(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.85628
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.84704
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.84003
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.83523
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.83266
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.330785
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.547331
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.780271
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.031491
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.303134
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.597848
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918536
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.268799
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.652817
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.075686
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.543482
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.865276
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1706
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4971
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95633
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57324
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23784
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.84484
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.73786
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.83027
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.87483
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.85666
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.84074
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.82706
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.81562
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.80641
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.79941
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.79463
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.79206
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.335001
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.55186
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.78511
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.036728
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.308852
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.604015
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.925267
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.276177
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.660926
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.084641
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.553392
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.870451
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17615
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50299
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04636
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66961
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34588
¶(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.69235
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.62016
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.71068
(327.32, 7.53, 367.06) (348.28, 0.34, 381.89) (0.87, 0.61, 0.61) Tools 14.05968
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.81831
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.80243
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.78879
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.77738
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.76819
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.76122
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.75645
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.75389
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.339193
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.556398
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.790023
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.042017
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.314546
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.61026
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.932065
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.283616
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.669095
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.093628
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.563378
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.876315
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18241
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56389
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13824
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76805
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4155
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.5455
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.50629
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.59501
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.80044
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.78236
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.76652
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.75292
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.74154
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.73237
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.72541
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.72066
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.94586
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.343476
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.560973
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.794951
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.047329
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.320304
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.61647
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.938875
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.291032
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.677269
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.102684
²(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.573413
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.882842
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18935
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64796
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23199
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8686
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44515
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.54884
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.5233
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.49972
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.76683
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.74878
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.73298
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.71941
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.70806
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.69891
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.69197
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.68722
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.26025
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.34771
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.565533
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.799868
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.052668
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.326074
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.622762
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.9457
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.298545
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.685481
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.111725
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.583502
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.890004
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20037
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7337
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32766
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9713
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47578
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.74451
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.71849
(327.32, 7.53, 367.06) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.69448
(327.32, 7.53, 367.06) (347.72, 0.43, 381.22) (0.61, 0.87, 0.61) Tools 13.20773
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.71755
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.70178
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.68824
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.67691
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.66778
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.66086
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.65612
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.58911
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.35201
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570132
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.804804
©(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.058009
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.331882
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.629054
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.952571
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.306069
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.693762
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.12087
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.593618
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.897865
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27904
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82111
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42527
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02711
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50751
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0299
(327.32, 7.53, 367.06) (347.72, 0.43, 381.22) (0.61, 0.87, 0.61) Tools 13.15683
(327.32, 7.53, 367.06) (347.72, 0.43, 381.22) (0.61, 0.87, 0.61) Tools 13.13803
(327.32, 7.53, 367.06) (347.72, 0.43, 381.22) (0.61, 0.87, 0.61) Tools 13.12124
(327.32, 7.53, 367.06) (348.42, 0.43, 380.93) (0.61, 0.87, 0.61) Tools 14.21804
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.63053
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.59002
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.55204
(327.32, 7.53, 367.06) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.51656
