¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ñ(425.28, 9.62, 363.05) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 24.97254
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79188
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.405169
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.616964
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.850153
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.108396
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.388019
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.691737
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.012394
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.373789
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.361949
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.813263
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26794
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74425
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26868
é(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76633
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95619
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15414
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36062
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57618
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80131
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03666
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28281
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50728
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69368
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88744
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09731
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34467
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60311
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87327
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15597
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45193
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7583
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.397466
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.611521
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.84182
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.099389
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.378249
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.68111
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.007133
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.363806
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.350023
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.805468
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23857
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71203
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23309
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80936
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00484
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20454
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41287
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63037
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85757
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09509
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30029
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47894
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66455
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85743
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05799
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28582
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.54206
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80995
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09015
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.38358
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69097
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.389791
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.606144
×(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.83351
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.090404
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.368511
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.670516
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.999582
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.353844
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.335226
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.780124
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2096
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68019
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19806
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77052
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05523
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25673
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46699
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68649
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91582
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10321
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2746
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45255
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63737
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82947
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02919
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23688
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48359
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74927
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02722
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3181
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62288
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.382147
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.60083
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.825226
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.08145
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.358803
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.659959
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.988058
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.343908
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.317376
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.771618
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18106
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64887
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16353
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73227
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10739
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31075
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52295
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74459
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91551
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25073
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42799
×(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61213
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8035
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0024
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20932
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42765
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69124
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96696
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25549
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55774
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.374532
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.59279
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.818584
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.072523
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.349124
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.649434
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.976573
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.871341
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.299567
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.772332
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18084
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62663
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1295
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6946
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1613
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36665
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58091
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73665
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8946
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05854
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22867
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40531
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5888
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77949
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97769
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18383
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39833
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63575
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90934
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.19566
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49553
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.366949
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.584644
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.81302
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.063622
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.339479
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.638945
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.965128
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.855232
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.281818
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.753092
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18191
ğ(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62778
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11625
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65751
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21707
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41975
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56615
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71798
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87543
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03884
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20841
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38449
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56738
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75743
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.955
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16046
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37423
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59676
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85436
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.13856
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43618
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.359397
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.576532
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.807523
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.054753
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.329867
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.628496
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.953725
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.839154
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.264121
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.733513
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18329
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6293
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1179
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6554
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24372
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41119
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55184
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70093
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85791
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02085
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18993
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36552
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54786
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73737
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93432
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13913
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35225
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57409
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80515
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08415
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50479
ã(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.351881
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.56846
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.801376
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.045917
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.320291
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.618086
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.438091
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.823148
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.246459
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.713938
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18497
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63113
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11989
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65765
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18088
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46327
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6052
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75234
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9049
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06314
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22727
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39761
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57449
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75813
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94898
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14729
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35349
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56804
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79129
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07936
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60108
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.344398
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.560422
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.792725
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.037111
(425.28, 9.62, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.310751
