¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ğ(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.64872
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.6539
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.63382
(408.81, 14.08, 246.33) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 15.47513
(408.81, 14.08, 246.33) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 16.30508
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.76889
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.24503
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.00849
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.04774
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.956787
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.142926
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.342052
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.555526
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.784931
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.032055
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.297648
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.574262
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.873889
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.199507
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.554497
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.943064
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.370038
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.84141
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35833
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91871
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54503
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.78971
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.66698
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.64334
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.62152
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.60151
(408.81, 14.08, 246.33) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 15.83833
(408.81, 14.08, 246.33) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 15.82816
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.69655
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.1589
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89167
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.04283
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.95147
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.137274
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.335984
Ò(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.549002
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.777946
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.0245
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.290829
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.566969
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.865982
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.1909
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.545134
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.932764
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.358717
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.828874
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34265
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90126
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52541
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.75826
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.63636
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.6128
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.59105
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.57111
(408.81, 14.08, 246.33) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 16.22147
(408.81, 14.08, 246.33) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 16.21116
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.62677
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.07579
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.77871
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.54953
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.946255
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.131676
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.329989
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.542606
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.771047
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.017095
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282787
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.559859
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858291
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.182519
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.535984
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.922752
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.347694
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.816652
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32735
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88422
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50635
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.72883
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.60764
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.58415
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.56247
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.5426
(408.81, 14.08, 246.33) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 16.62614
(408.81, 14.08, 246.33) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 16.61568
(408.81, 14.08, 246.33) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 17.57301
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.99566
Ò(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.66947
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.60749
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.940176
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.126169
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.32414
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.536326
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.764271
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.009774
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.274907
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.552917
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.850759
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.174348
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.527058
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.912982
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.336952
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.804796
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31561
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86767
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48779
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.70139
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.5808
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.55737
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.53576
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.51595
(408.81, 14.08, 246.33) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 14.78136
(408.81, 14.08, 246.33) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 17.04353
(408.81, 14.08, 246.33) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 17.97741
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.91842
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.56392
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.47653
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.934118
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.120801
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318358
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.530133
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.757616
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.002596
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.267159
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.54618
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.843451
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.166384
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.518391
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.903476
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.326483
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.793232
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30582
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85155
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46981
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.67593
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.55581
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.53245
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.51089
Ñ(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.49113
(408.81, 14.08, 246.33) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 15.1376
(408.81, 14.08, 246.33) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 17.49665
(408.81, 14.08, 246.33) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 17.48852
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.84411
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.462
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.34458
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.928127
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.11548
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.312692
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.524047
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.751092
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.995587
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.259566
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.539603
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.836336
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.158648
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.509953
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.894231
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.316311
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.782006
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29643
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83953
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45228
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.65241
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.53265
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.50935
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.48785
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.46814
(408.81, 14.08, 246.33) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 14.64958
(408.81, 14.08, 246.33) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 15.64549
(408.81, 14.08, 246.33) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 17.96908
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.77262
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.36363
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.20629
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.922215
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.110321
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.307137
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.518069
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.744669
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.988663
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.252087
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.533251
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.829424
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.151151
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.501753
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.885265
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.306446
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.771103
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28619
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82957
à(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4353
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.63083
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.51131
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.48806
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.46662
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.44695
(408.81, 14.08, 246.33) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 14.37245
(408.81, 14.08, 246.33) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 14.41892
(408.81, 14.08, 246.33) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 14.49158
(408.81, 14.08, 246.33) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 14.48246
(408.81, 14.08, 246.33) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 14.51838
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.07268
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.916364
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.105192
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.301672
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.512232
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.738396
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.981875
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244754
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.527055
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.822739
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.143847
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.493814
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.876541
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.296867
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.760489
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27442
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82008
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4232
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.61116
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.49177
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.46857
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.44717
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.42756
(408.81, 14.08, 246.33) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 14.29851
(408.81, 14.08, 246.33) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 14.80401
(408.81, 14.08, 246.33) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 14.32615
(408.81, 14.08, 246.33) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 14.31713
(408.81, 14.08, 246.33) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 14.70545
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.94362
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.91056
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.100181
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.29635
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.506485
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.732208
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.975244
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.237567
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.521052
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.81625
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.136777
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.486079
à(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.868118
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.287575
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.750227
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26302
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81102
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41307
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.59338
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.47402
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.45086
(408.81, 14.08, 246.33) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.42951
