¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ (359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.328266
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14916
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09061
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19014
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43168
Ö(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57322
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18479
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.32968
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43294
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54009
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.65119
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.76636
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88577
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.01325
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.14694
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.425914
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.606874
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.801189
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.010412
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.236251
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.431355
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.632292
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.853394
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.116277
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.401284
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.71127
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.049612
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.420322
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.828204
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.273619
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56153
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26878
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08907
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01989
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09482
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3515
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49598
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13294
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2312
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33321
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43906
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54883
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66268
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.78061
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.90287
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.03108
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.416983
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.597291
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.790948
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.999352
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.219437
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.406109
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.605352
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.842055
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.104015
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.38798
Ï(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.696787
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.033788
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.402963
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.808549
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.19863
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51741
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20963
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02981
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95027
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0011
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28656
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38412
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03917
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13627
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23708
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.34168
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45022
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56269
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.67931
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8002
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.92542
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.408158
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.587843
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.780744
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.988373
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.196132
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.381298
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.589363
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.830932
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.091986
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.37493
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.682584
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.018273
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.385948
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.741432
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.167068
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.72763
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15132
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97063
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88184
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90896
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.19969
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27914
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94881
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04482
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1445
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2479
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35522
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46646
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.5818
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.70131
¼(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.82516
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.399361
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.578398
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.770583
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.977455
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.173228
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.356916
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.579247
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.820024
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.080191
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.362138
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.668663
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.003068
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.329389
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.675754
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.136761
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.693438
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09384
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90431
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81453
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82488
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09228
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20832
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86185
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95675
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.05534
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15763
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.26373
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37383
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48792
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.60617
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.72868
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.390613
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.56904
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.760541
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.96661
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.150715
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.34658
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.569327
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.80933
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.068629
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.3496
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.655021
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.956204
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.270265
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.615072
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.106855
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.659713
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03829
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83895
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74837
Ò(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74775
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98693
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.13922
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.8888
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95202
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01826
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.08761
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.17577
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28467
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.39759
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51459
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.63589
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.387012
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.559782
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.75056
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.955897
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.130901
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.337539
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.559605
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.798851
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.057302
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.337318
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.616716
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.902745
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.212367
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.588727
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.077355
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.626458
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98921
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77458
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68326
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67201
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88355
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.07188
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95701
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0208
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.08765
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15756
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23067
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.30698
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38658
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46951
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55591
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.391326
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.55054
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.740689
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.938237
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.12264
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.328681
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.550081
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.788586
Æ(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.046206
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.306629
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.568178
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.850363
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.155668
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.562727
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.048254
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.593665
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94089
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71114
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61927
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59757
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78212
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00617
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02823
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.09265
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1601
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23067
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.30441
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38142
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46173
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54541
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.63253
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.39597
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.541403
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.730849
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.92289
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.114549
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.320004
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.540755
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.778534
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.022351
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.262396
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.520594
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.799037
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.104748
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.537076
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.019549
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.561336
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89332
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64869
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54704
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52441
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68265
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94219
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10254
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16762
