¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.84946
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13386
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58691
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06973
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59262
(321.75, 7.29, 367.72) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.86171
(321.75, 7.29, 367.72) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.83906
(321.75, 7.29, 367.72) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.81839
(321.75, 7.29, 367.72) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.19269
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.86015
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.84155
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.82551
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.81201
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.80103
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.79258
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.78664
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.7832
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.78227
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.73997
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.985552
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.23142
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.496348
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.78266
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.092978
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.430368
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.798516
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.201707
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.61441
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00932
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36957
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75844
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17931
½(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63586
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11938
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64677
(321.75, 7.29, 367.72) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.85186
(321.75, 7.29, 367.72) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.82922
(321.75, 7.29, 367.72) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.80857
(321.75, 7.29, 367.72) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.21162
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.78019
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.76168
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.74571
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.73226
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.72133
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.7129
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.70698
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.70355
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.70262
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.66054
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.988711
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.234802
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.500048
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.786656
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.097303
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.435107
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.803661
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.207354
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.611506
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03986
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4093
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8013
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22572
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6825
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17008
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70215
(321.75, 7.29, 367.72) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.89657
(321.75, 7.29, 367.72) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.87039
(321.75, 7.29, 367.72) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.84623
(321.75, 7.29, 367.72) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.23055
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.70347
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.68503
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.66913
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.65573
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.64484
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.63645
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.63054
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.62712
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.62618
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.58429
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.991877
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.238205
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.503694
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.79062
±(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.10163
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.439779
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.808785
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.212968
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.608789
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03685
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44975
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84499
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27307
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73016
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22196
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75877
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34698
(321.75, 7.29, 367.72) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 13.37568
(321.75, 7.29, 367.72) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 13.3547
(321.75, 7.29, 367.72) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 13.33577
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.62992
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.61155
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.59571
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.58237
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.57152
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.56315
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.55726
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.55385
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.55291
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.5112
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.995019
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.24159
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.507361
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.794599
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.105925
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.444468
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.813923
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.214657
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.606173
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03399
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49102
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88955
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32135
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77882
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27488
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81661
(321.75, 7.29, 367.72) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 13.10172
(321.75, 7.29, 367.72) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 13.4013
(321.75, 7.29, 367.72) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 13.37748
(321.75, 7.29, 367.72) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 13.35573
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.55946
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.54117
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.52538
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.51209
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.50128
°(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.49294
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.48708
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.48367
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.48273
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.44118
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.998137
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244992
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.511041
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.798542
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.110191
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.449113
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.819014
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.212421
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.603706
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03129
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50038
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93501
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36873
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82852
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31954
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80338
(321.75, 7.29, 367.72) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.63007
(321.75, 7.29, 367.72) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.8256
(321.75, 7.29, 367.72) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 13.08517
(321.75, 7.29, 367.72) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 13.52192
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.49205
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.47383
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.4581
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.44485
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.43408
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.42577
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.41992
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.41652
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.41557
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.37419
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.001297
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.248341
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514657
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.802465
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.114482
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.453794
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.824092
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.210278
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.601394
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02876
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49759
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98133
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41547
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86167
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30772
(321.75, 7.29, 367.72) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.32819
¼(321.75, 7.29, 367.72) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.30771
(321.75, 7.29, 367.72) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.49272
(321.75, 7.29, 367.72) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 13.10192
(321.75, 7.29, 367.72) (348.27, 0.43, 382.73) (0.86, 0.87, 0.86) Tools 13.92742
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.42763
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.40947
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.3938
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.3806
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.36986
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.36158
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.35574
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.35235
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.3514
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.31017
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.004426
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.251695
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.518292
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.806409
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.118735
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.458448
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.829185
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.208292
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.599216
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02639
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49501
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01125
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.439
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85147
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29669
(321.75, 7.29, 367.72) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.38126
(321.75, 7.29, 367.72) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.35679
(321.75, 7.29, 367.72) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.33426
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.40982
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.38673
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.36614
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.34805
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.33242
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.31927
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.30856
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.3003
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.29448
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.2911
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.29015
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.24907
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.007524
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.25508
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.521895
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.810311
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.122993
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.463079
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.834229
¼(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.206451
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.597206
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02415
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49255
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01852
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4302
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.842
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28648
(321.75, 7.29, 367.72) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.44218
(321.75, 7.29, 367.72) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.41759
(321.75, 7.29, 367.72) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.39495
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.42746
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.3943
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.36372
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.33568
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.31017
(321.75, 7.29, 367.72) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.28717
