°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
∏(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.3643
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.925887
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.084931
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.255297
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.438099
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.634948
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.847491
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.077731
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.32766
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.600054
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.417303
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.764541
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.147148
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.570815
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.042308
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.57028
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1653
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84094
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61469
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50935
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55555
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7917
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.64837
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.62922
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.61215
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.59716
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.58422
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.57333
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.56449
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.55767
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.639605
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.778845
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.92746
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.08653
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.257061
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.439995
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.636992
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.849699
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.080094
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.330229
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.101002
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.417484
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.764777
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.147386
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.57106
ç(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.042637
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.570633
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16571
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84143
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61524
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50998
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55626
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79348
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.66215
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.64297
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.62588
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.61086
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.59791
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.587
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.57813
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.57131
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.641069
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.780407
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.929126
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.088227
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.258934
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.442008
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.639161
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.852041
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.082603
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.332958
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.101375
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.417902
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.765237
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.147931
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.571648
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.043294
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.571359
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16652
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84236
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61631
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51121
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55776
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79621
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.67801
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.6588
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.64168
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.62663
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.61365
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.60272
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.59384
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.58699
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.642617
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.782056
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.930887
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.090066
¸(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.260914
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.444138
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.641457
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.854521
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.08526
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.812234
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.101957
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.418541
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.765923
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.148699
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.572492
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.044249
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.572436
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16774
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84372
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61789
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51307
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55993
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79991
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.69596
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.67672
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.65956
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.64449
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.63148
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.62052
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.61161
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.60474
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.644248
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.783793
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.932743
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.092051
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.263004
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.446384
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.643875
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.857137
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.546839
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.81296
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.102748
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.419414
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.766856
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149745
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.573654
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.045527
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.573857
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16937
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84558
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62003
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51552
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56284
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80381
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.71602
à(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.69674
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.67954
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.66443
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.65139
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.6404
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.63147
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.62458
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.645962
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.785619
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.934692
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.094136
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.265202
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.448746
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.646422
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.302394
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.547685
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.81388
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.103727
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.420487
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.768044
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.151048
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.575098
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.047135
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.575684
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17141
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84792
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62268
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51867
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5665
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80816
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.7382
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.71887
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.70163
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.68648
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.6734
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.66239
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.65342
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.64651
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.647758
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.787533
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.936736
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.096323
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.267508
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.451225
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.649094
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.303313
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.548681
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.814938
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.104883
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.421761
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.769455
ü(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.152599
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.576831
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.049069
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.577828
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17385
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85073
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62589
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52238
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57086
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81337
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.76251
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.74313
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.72585
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.71066
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.69754
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.68649
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.67749
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.67055
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.649636
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.789536
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.938874
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.098611
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.269923
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.453821
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.077554
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.304375
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.549808
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.81619
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.106255
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.423292
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.77109
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.154402
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.578876
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.051298
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.580353
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17673
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85398
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62964
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52672
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57596
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81951
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.78898
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.76955
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.75222
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.73697
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.72382
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.71272
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.7037
(328.97, 7.77, 368.87) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.69672
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.651597
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.791625
Ö(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.941105
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.100997
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.272445
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.868388
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.078671
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.305589
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.551115
