¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Í(332.08, 7.24, 374.33) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 15.36636
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96761
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83206
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83333
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.9499
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.37027
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.92942
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97764
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.52663
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.026424
…(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.227401
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.443253
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.675632
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.926469
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198011
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49288
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.814147
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.165467
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.551214
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.976634
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.448066
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.973319
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55348
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22655
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9821
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84874
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85273
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98479
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.40503
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95944
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.01877
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.58255
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.029952
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.231185
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.447312
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.680003
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.931197
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.203149
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.498465
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.820248
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.17216
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.558576
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.984743
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.457087
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.983408
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5706
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23938
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99674
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86562
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87241
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01996
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.43545
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.99291
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.06043
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.63949
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.033503
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.235003
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.451411
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.684445
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.93598
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.208339
‚(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.504108
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.826391
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.178908
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.566
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.99296
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.466204
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.993596
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58489
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25235
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01155
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88268
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8923
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05551
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.45411
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.02685
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.10264
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.69746
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.037112
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.238863
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.455576
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.688919
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.940831
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.213581
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.509811
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.832631
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.185718
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.573504
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.001256
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.475411
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00389
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59647
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26547
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02652
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89996
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91242
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09135
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47239
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.0612
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.14543
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.75644
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.04075
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.242772
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.459772
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.693418
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.945715
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.218861
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.51557
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.838905
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.192609
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.581084
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.009634
‚(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.48473
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01431
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60816
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27873
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04169
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91742
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93277
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12378
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49112
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.09596
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.18876
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.81646
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.044419
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.2467
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.463995
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.697997
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.950647
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.224225
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.521388
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.845263
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.199575
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.588742
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.018103
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.494142
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02482
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62001
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29214
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.057
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93506
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95336
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1481
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51036
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.13113
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.23264
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.87753
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.048117
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.250679
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.468268
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.702606
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.955618
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.229623
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.527261
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.851681
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.2066
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.596477
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.026651
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.503644
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03545
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63197
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30568
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07248
‡(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95292
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97417
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17268
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.53002
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16676
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.27703
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.93963
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.051861
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.254692
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.472589
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.707246
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.960633
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.23506
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.533188
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858133
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.213694
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.604265
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.035288
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.513244
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04617
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64404
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31935
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08812
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97098
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99521
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.19752
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55021
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20282
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.32202
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.00278
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.055632
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.258738
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.476938
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.711935
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.965721
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.240573
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.539166
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.864688
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.220859
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.612167
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.044008
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.522938
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.057
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65622
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33319
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10392
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98921
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01645
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.22264
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57084
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23928
†(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36753
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.06196
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.059436
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.262818
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.481327
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.716679
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.970842
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.24612
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.545213
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.871281
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.228086
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.620112
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.052791
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.532724
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06796
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66856
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34715
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11989
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00761
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03795
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24803
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59195
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.27617
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.41359
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.12109
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.063265
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.266936
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.485745
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.721451
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.976006
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.251703
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.551305
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.877918
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.23538
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.628156
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.061683
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.542581
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.079
(332.95, 7.27, 374.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68099
