¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ä(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.12193
(417.03, 13.24, 329.12) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 9.306302
(417.03, 13.24, 329.12) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 9.557048
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61911
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82578
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04094
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.31214
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.32282
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.33626
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.35246
£ (417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.37143
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.39319
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.41775
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.44513
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.47536
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.262203
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.227698
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.19459
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.162846
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.132442
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.10335
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.075547
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.049007
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.023711
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.999637
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.976766
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.968328
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.017267
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.082665
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.182181
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.285635
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.490916
(417.03, 13.24, 329.12) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 9.330252
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34484
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55659
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77725
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00736
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.46803
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.47904
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.49283
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.5094
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.52876
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.55095
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.57596
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.60382
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.63455
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.172433
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.091362
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.029744
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.998791
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.969145
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.940781
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.913675
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.908147
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.92032
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.933572
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.957533
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.00537
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.054928
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.115806
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.21634
 (417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.320863
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.517697
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05574
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25623
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46503
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6826
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97735
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.62937
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.64072
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.65487
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.67184
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.69162
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.71425
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.73973
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.76808
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.79933
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.240495
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.145445
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.080899
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.018546
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.991696
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.970418
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.950306
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.949274
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.961725
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.975265
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.995227
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.043691
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.093897
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.150067
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.251658
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.357292
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.54537
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.000681
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17043
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37636
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59091
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08155
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.73859
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.80807
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.8226
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.83998
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.8602
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.88329
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.90926
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.93813
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.96992
(417.03, 13.24, 329.12) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.742226
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.20158
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.136253
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.073147
™ (417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.039236
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.017846
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.997626
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.991833
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.004576
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.018416
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.034205
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.083322
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.134201
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.186896
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.288158
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.394947
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.573945
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.971724
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08729
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2905
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60659
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18872
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.9109
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.98128
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.99622
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.01402
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.0347
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.05827
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.08475
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.11416
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.14653
(417.03, 13.24, 329.12) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.728245
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.259834
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.193694
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.129802
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.088476
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.066969
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.046641
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.035865
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.048912
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.063065
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.078332
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.124292
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.175872
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.229291
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.325869
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.433857
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.60344
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.942643
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00683
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20739
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70784
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29896
(417.03, 13.24, 329.12) (407.04, 10.23, 298.37) (0.61, 0.87, 0.61) Tools 17.74375
(417.03, 13.24, 329.12) (407.04, 10.23, 298.37) (0.61, 0.87, 0.61) Tools 17.7409
¢ (417.03, 13.24, 329.12) (407.04, 10.23, 298.37) (0.61, 0.87, 0.61) Tools 17.7407
(417.03, 13.24, 329.12) (407.04, 10.23, 298.37) (0.61, 0.87, 0.61) Tools 17.74315
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.21534
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.23941
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.26643
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.29641
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.32937
(417.03, 13.24, 329.12) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.714076
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.320282
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.253291
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.18858
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.139468
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.11784
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.097399
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.081408
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.094773
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.109252
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.124856
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.166638
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.218947
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.273118
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.364816
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.474048
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.633867
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.913451
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92891
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26136
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81193
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4124
(417.03, 13.24, 329.12) (407.04, 10.23, 298.37) (0.61, 0.87, 0.61) Tools 17.65837
(417.03, 13.24, 329.12) (407.04, 10.23, 298.37) (0.61, 0.87, 0.61) Tools 17.65548
(417.03, 13.24, 329.12) (407.04, 10.23, 298.37) (0.61, 0.87, 0.61) Tools 17.65521
(417.03, 13.24, 329.12) (407.04, 10.23, 298.37) (0.61, 0.87, 0.61) Tools 17.65759
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.40236
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.42696
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.45454
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.48511
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.51869
(417.03, 13.24, 329.12) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.745806
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.397604
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.31512
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.249553
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.192263
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.17051
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.149953
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.130574
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.1422
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.15702
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.172975
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.210391
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.263458
  (417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.318413
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.405024
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.515549
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.665242
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.899427
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85351
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35984
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91892
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.5291
(417.03, 13.24, 329.12) (407.06, 10.23, 299.05) (0.61, 0.87, 0.61) Tools 17.19846
(417.03, 13.24, 329.12) (407.06, 10.23, 299.05) (0.61, 0.87, 0.61) Tools 17.19558
(417.03, 13.24, 329.12) (407.06, 10.23, 299.05) (0.61, 0.87, 0.61) Tools 17.19526
(417.03, 13.24, 329.12) (407.06, 10.23, 299.05) (0.61, 0.87, 0.61) Tools 17.19752
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.59599
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.62115
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.64931
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.6805
(417.03, 13.24, 329.12) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 19.71473
(417.03, 13.24, 329.12) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.795858
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.478231
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.379261
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.312799
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.248598
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.225036
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.204359
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.184869
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.191235
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.206411
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.222733
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.255587
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.309443
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.365213
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.446521
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.55839
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.697582
(417.03, 13.24, 329.12) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.93384
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93918
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46105
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02896
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64918
(417.03, 13.24, 329.12) (407.06, 10.23, 299.05) (0.61, 0.87, 0.61) Tools 17.12154
