¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ª(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.538774
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.56552
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.55446
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.54589
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.53978
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.53616
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.535
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.854465
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.052447
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.264534
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.493598
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.74558
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.019689
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.318797
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.644017
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.001064
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.394458
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.829674
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.319788
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.863147
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.47215
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.15961
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72322
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66289
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75486
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03911
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.57113
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.73347
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.70971
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.68851
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.66984
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.6537
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.64007
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.62895
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.62032
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.61418
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.61052
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.60933
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.859505
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.058589
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.271142
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.500157
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.752627
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.027117
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.3269
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.653096
ü(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.010872
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.40543
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.841219
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.332882
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.875211
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48801
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.17737
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73965
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68189
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77701
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06532
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.60264
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.81172
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.78783
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.76652
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.74775
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.73152
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.71781
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.70662
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.69793
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.69174
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.68805
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.68685
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.864564
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.064768
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.27779
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.507328
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.759703
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.03457
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.335032
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.662213
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.02072
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.416453
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.853451
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.346043
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.888977
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50395
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.19525
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75618
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70102
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79939
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.09184
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.63452
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.89325
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.86923
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.84779
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.82892
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.81259
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.7988
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.78753
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.77879
Û(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.77255
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.76882
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.7676
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.869641
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.070982
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.284478
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.514543
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.766804
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.042067
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.343189
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.671369
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.030656
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.427525
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.865739
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.359268
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.903824
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51999
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94953
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77289
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72031
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82197
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.11857
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66668
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.97812
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.95397
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.9324
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.91341
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.89699
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.8831
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.87177
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.86296
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.85667
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.85291
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.85166
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.874738
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.076928
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.291203
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.521801
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.773931
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.049814
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.351373
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.680561
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.04076
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.438643
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.87808
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.372559
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.918745
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.53613
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96421
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78974
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73982
†(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84475
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.14559
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.69916
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.06642
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.04212
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.02042
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.00131
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.98478
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.97081
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.9594
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.95052
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.94419
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.94039
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.93911
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.879851
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.082423
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.297967
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.529099
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.781082
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.05759
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.359582
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.689787
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.050907
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.449688
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.890474
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.385911
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.933742
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55234
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97908
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80676
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75948
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86777
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.17282
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.73013
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.16597
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.13376
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.11193
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.0927
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.07606
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.062
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.0505
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.04156
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.03517
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.03133
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.03003
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.884982
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.087938
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.30477
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.536439
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.788258
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.065391
ô(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.367815
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.699049
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.061091
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.460731
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.90292
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.397667
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.948807
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.56864
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99406
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8239
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77933
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89096
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20036
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.73372
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.15466
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.22899
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.20702
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.18766
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.17091
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.15675
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.14516
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.13615
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.12971
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.12582
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.12449
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.890127
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.093469
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.311607
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.543818
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.795456
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.073216
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.37607
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.708342
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.071312
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.471814
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.915415
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.409389
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.963942
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27995
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00915
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84116
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7993
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.91435
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22807
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.73761
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.19376
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.32789
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.30577
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.28628
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.26941
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.25514
å(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.24347
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.23439
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.22789
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.22396
(331.96, 7.51, 365.57) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.2226
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.895289
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.099019
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.318307
(331.96, 7.51, 365.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.551238
