¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.193966
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.59891
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.593021
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.587975
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.583772
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.580408
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.57788
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.576185
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.575325
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.575296
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.549078
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.546904
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.645475
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.831223
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.952308
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.924795
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.898413
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.873139
Õ(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.848949
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.825823
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.803742
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.78269
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.762644
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.743592
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.725518
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.708405
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.692243
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.677017
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.662714
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.649325
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.636838
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.625244
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.614534
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.6047
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.595734
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.587629
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.580379
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.57398
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.568425
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.56371
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.559833
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.556789
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.554578
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.650583
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.836702
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.036449
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.250034
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.471476
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.710195
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.968326
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.248201
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.552711
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.783222
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.756192
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.730497
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.70612
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.813345
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.661234
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.640692
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.621394
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.491795
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.586471
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.49162
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.556357
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.543075
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.6603
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.652067
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.644698
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.638189
³(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.632535
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.627732
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.623775
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.518649
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.517193
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.655728
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.842248
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.042374
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.257697
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.481109
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.720604
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.97957
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.260427
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.56602
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.887647
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.234106
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.613688
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.012754
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.882446
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.787018
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24023
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.409469
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.434673
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.72259
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.483169
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.388015
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.66493
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.64902
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.63474
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.62209
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.844048
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.757571
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.752625
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.5875
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.58283
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.722682
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.660933
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.847801
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.048376
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.264131
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.490849
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.731155
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.990957
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.272815
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.579494
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.901643
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.249375
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.630505
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.0425
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.954118
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.062978
Ç(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30235
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.318126
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.82973
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.80694
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.78585
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.343168
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.289149
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.73264
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.71821
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.920496
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.833136
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.827209
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.67675
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.67042
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.66567
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.791742
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.6662
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.853443
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.054419
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.270655
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.500721
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.741773
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.00251
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.285308
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.593121
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.915862
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.264923
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.647553
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.086093
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.028475
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.073866
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36167
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.230075
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.91728
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.89427
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.87297
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.85337
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.210986
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.194816
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.001027
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.912414
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.905479
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.77073
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.76269
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.75626
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.75144
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.863372
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.671491
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.859118
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.060522
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.277235
º(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.510687
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.752562
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.01417
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.297995
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.606968
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.930292
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.280733
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.664923
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.114053
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.105645
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.088145
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42047
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.145169
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.00792
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.98468
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.96316
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.94336
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.92526
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.085919
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.995595
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.987617
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.86959
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.8598
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.85165
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.84513
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.84024
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.937693
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.676826
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.864845
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.066689
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.28385
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.518178
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.763444
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.025988
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.310838
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.620936
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.94502
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.296793
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.682559
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.142306
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.18576
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.167982
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4806
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.063272
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.10177
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.07828
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.05654
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.03652
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.175477
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.082862
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.073803
ª(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.018984
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.96192
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.95201
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.94375
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.93713
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.93215
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.014833
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.68223
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.87061
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.072864
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.290545
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.525404
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774489
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.0379
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.323825
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.635073
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.959931
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.313129
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.706972
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.170784
(335.79, 7.22, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.64302
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.250896
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.997013
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.98426
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.19892
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.17518
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.1532
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.270036
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.17442
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.164241
(335.79, 7.22, 317.20) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.0826
(335.79, 7.22, 317.20) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.940379
