¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.971958
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.57768
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.61038
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.83024
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 17.30021
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 19.3577
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 21.1672
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.03416
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.72462
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 17.77862
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.76076
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.33967
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.20714
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.47026
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 23.86357
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 23.83455
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 24.06762
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 22.58027
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 21.64752
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.233056
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.556501
Ø(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.840536
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.128587
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.443126
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.787917
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.167482
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.587291
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.060537
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.60419
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21854
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91839
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.69712
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.58331
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.61698
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.83809
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 17.40293
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 18.84811
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 19.97748
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 20.99493
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.17019
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 18.54771
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.84303
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.42113
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.28773
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.90319
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 23.00288
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 23.30333
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 23.64482
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 22.64281
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 21.70498
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.226109
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.548782
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.842054
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.130243
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.444938
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.789909
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.169683
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.589729
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.061774
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.605582
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22012
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9202
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.70167
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.58859
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.62318
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.84547
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 16.99076
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 17.91271
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 18.72888
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 18.89233
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.05916
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 24.89944
á(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.95611
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.05961
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.0446
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.31364
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.59274
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 23.0206
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 23.52422
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 22.70903
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 21.76582
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.218797
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.540657
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.843472
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.131789
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.44663
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.791769
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.171736
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.592007
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.062773
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.606709
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2214
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92167
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.70592
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59352
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.62896
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.85235
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 16.24108
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 16.90508
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 17.18641
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 16.97565
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 16.0158
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.29403
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.25423
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.42055
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.67103
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.98281
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.43494
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.91284
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 23.75201
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 22.77899
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 21.83007
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.211123
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.532133
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.844789
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.133226
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.4482
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.793495
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.17364
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.594121
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.063532
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.607564
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22237
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92278
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.70986
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59809
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.63434
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87963
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.41088
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.77152
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.75745
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.12323
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.55394
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.6119
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.83727
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.07081
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.45737
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.88463
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.4868
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 24.01411
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 24.08443
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 22.85273
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 21.89778
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.203091
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.523209
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.846003
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.134548
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.44965
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.795087
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.175397
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.59607
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.064053
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.60815
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22304
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92354
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.7135
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60231
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.63929
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.88595
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45688
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.44757
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.91635
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.87749
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.08071
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.2912
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.5761
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.96241
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.36675
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.08224
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.39258
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.27006
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.29813
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 22.93033
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 21.96901
Ë(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.194704
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.513894
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.847114
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.135761
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.450975
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.796545
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.177006
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.597856
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.065798
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.608467
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2234
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92396
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71683
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60618
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.64383
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8917
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46387
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.28595
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.39233
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.58239
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.7792
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.12914
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.49556
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.00654
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.25006
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.13589
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 22.0438
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.185966
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.504192
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.848123
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.136861
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.45218
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.797868
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.178468
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.599476
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.067605
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.608514
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22346
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92403
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71986
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60969
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58564
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89695
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.7543
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.73176
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.93069
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.3734
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.70669
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.05469
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.66591
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.176884
¨(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.494107
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.846754
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.137849
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.453261
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.799057
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.179779
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.60093
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.069228
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.60829
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22322
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92375
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.72257
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.61284
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58963
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90167
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.36463
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.34243
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.59012
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 17.0465
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.74025
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.34091
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.167459
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.483646
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.83508
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.138724
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.454219
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.800108
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.180942
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.602219
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.070666
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.607799
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22266
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92311
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.72498
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.61564
