¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.3834
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.980045
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.455977
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.963829
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5309
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16817
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91754
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79013
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77302
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88461
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.26458
„(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84272
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82344
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.9976
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.479429
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.708052
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.954475
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.22081
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.509526
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.823473
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.16613
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.552752
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.982045
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.458157
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.966461
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53387
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1715
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9211
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79421
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77812
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89055
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27195
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.86752
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.83395
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.99201
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.482579
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.71142
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.958107
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.224749
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.513796
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.828157
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.171225
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.554496
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.983941
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.460302
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.969079
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53676
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17482
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92453
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79814
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78315
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89643
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27845
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.89229
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.84439
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.98707
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.485667
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.714788
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.961746
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.228681
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.518075
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.832803
†(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.176336
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55613
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.985758
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.462323
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.971684
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53972
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17812
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92783
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80196
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78814
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90228
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.28468
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91706
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.85473
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.85101
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.488807
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.718158
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.965394
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.232606
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.522298
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.837449
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.181407
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.558281
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.98753
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.464279
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.974271
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54261
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18138
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93098
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80561
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79311
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90808
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.29069
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.94805
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.68127
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.66975
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.80683
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.489866
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.721503
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.968998
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.23652
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.526589
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.842093
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.18647
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.563834
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.989219
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.466138
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.976812
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54547
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18462
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93401
‚(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80912
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79801
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.91385
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.30131
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.00644
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.58042
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.51317
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.27406
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.490686
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.724848
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.972581
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.240399
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.530804
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.846704
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.19152
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.569377
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.990831
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.467927
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.979363
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5483
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18779
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93692
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81247
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80287
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.91953
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.32138
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.06509
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.62953
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.36683
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.63879
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.491462
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.727386
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.976201
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244303
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.53502
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.85131
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.196564
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.574881
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.992389
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.469673
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.981869
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55112
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.191
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93971
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8157
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80771
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92518
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.34121
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.12398
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.6803
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.22342
…(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.1111
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.492192
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.728169
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.979748
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.24817
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.539246
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.855887
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.201569
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.580405
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.997361
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.471296
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.984352
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55391
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19414
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94238
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78628
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8125
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93081
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36081
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16464
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.73282
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.02733
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.91256
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.49291
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.728933
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.983335
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.252025
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.543451
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860461
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.20656
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.585889
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.003402
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.472864
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.986844
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55665
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19725
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91283
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74761
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78929
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93633
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38021
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.18746
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78704
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.88873
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.74977
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493552
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.729664
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.984625
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.255881
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547604
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.864997
†(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.21152
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.591391
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.009443
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.474334
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.989255
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55939
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20031
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87927
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70908
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72257
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94183
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39069
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20975
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.84302
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.95121
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.76021
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.494202
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.730353
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.985357
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.259725
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.551769
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.869534
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.2165
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.596817
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.015449
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.478429
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.991673
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56209
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20335
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8654
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67074
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65584
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94722
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39248
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23143
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.90075
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.93837
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.80628
