°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í (381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36878
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.411983
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.787714
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.809522
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.352581
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.94619
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66993
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47138
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44881
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52501
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64243
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.232455
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.349425
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.480188
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.613167
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.755013
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.906614
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.068982
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.243273
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.430814
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.633143
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.852038
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.089577
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.348204
Â (381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.568151
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.815883
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.10823
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.427936
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.800645
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.837325
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.383921
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.974241
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70225
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50213
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46839
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57512
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72202
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.238074
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.355385
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.486822
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.62023
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.762546
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.914665
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.077606
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.252532
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.440781
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.643899
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.86368
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.10222
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.361969
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.582371
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.829706
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.123296
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.444424
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.814069
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.865754
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.4161
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00324
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73549
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53392
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48482
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62932
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80415
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.243819
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.363756
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.493601
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.627447
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.770244
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.922894
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.086421
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.261997
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.45097
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.654898
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.875588
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.115153
È (381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.375679
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.597086
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.843975
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.138855
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.461451
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.827991
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.894914
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.447841
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03541
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76964
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56678
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5023
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68515
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88886
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.249693
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.374428
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.500524
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.634819
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.778108
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.931302
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.095428
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.27167
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.461385
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.666142
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.887762
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.128378
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.389849
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.612295
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.858696
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.154906
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.479023
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.842414
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.924738
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.477139
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06846
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8047
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60075
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54744
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74692
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97627
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.255692
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.381077
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.507592
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.642345
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.786139
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.939888
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.104629
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.281552
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.472026
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.677632
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.900206
Í (381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.141898
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.404482
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.628007
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.873869
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.171455
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.497143
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.85734
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.955253
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.507158
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10246
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83656
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63579
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59663
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81859
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.06644
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.263798
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.387862
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.514805
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.650027
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.794337
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.948652
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.114022
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.291644
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.482893
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.689368
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.912919
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.155712
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.419586
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.644221
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.889499
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.188505
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.515817
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.875587
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.986496
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.538006
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13731
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86784
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67193
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6472
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89209
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.46399
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.273789
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.394783
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.522163
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.657864
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.802701
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.957598
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.123609
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.301943
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.493987
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.701352
€ (381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.925901
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.169822
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.43516
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.660945
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.90559
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.206063
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.535048
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.896743
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.018433
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.569681
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17316
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90011
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7266
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69915
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96743
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.49846
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.97098
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.28165
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.401839
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.529667
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.665857
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.811233
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.966722
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.133391
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.312453
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.50531
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.713583
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.939155
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.184231
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.451209
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.678185
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.922788
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.224128
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.554842
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.918526
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.051049
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.602214
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20991
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93334
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78276
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75247
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04468
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.491
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.82733
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.288425
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.409032
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.537316
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.674007
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.819932
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.976028
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.143367
÷ (381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.323174
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.516862
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.726065
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.952682
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.19894
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.467458
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.695942
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.941915
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.242709
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.575204
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.94094
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.084465
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.635496
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24767
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96914
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84026
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80724
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12383
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.48012
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.80332
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.295329
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.416362
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.545112
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.682313
(381.75, 10.79, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.828799
