¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ (431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.192509
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.577892
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11852
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71262
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3826
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14394
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97888
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00812
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.29492
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88126
(431.57, 14.20, 330.99) (449.38, 7.72, 304.57) (3.20, 1.85, 2.97) Tools 17.71623
(431.57, 14.20, 330.99) (449.38, 7.72, 304.57) (3.20, 1.85, 2.97) Tools 18.18112
(431.57, 14.20, 330.99) (449.38, 7.72, 304.57) (3.20, 1.85, 2.97) Tools 19.84623
(431.57, 14.20, 330.99) (449.38, 7.72, 304.57) (3.20, 1.85, 2.97) Tools 17.60353
(431.57, 14.20, 330.99) (449.38, 7.72, 304.57) (3.20, 1.85, 2.97) Tools 17.58901
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.929665
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.277323
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.658183
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.083162
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.574913
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11821
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71227
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38221
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14349
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98305
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0161
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.27904
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87714
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.96992
(431.57, 14.20, 330.99) (449.38, 7.72, 304.57) (3.20, 1.85, 2.97) Tools 17.69416
(431.57, 14.20, 330.99) (449.38, 7.72, 304.57) (3.20, 1.85, 2.97) Tools 17.66894
(431.57, 14.20, 330.99) (449.38, 7.72, 304.57) (3.20, 1.85, 2.97) Tools 17.64641
(431.57, 14.20, 330.99) (449.38, 7.72, 304.57) (3.20, 1.85, 2.97) Tools 17.62656
(431.57, 14.20, 330.99) (449.38, 7.72, 304.57) (3.20, 1.85, 2.97) Tools 17.60939
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.926699
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.274106
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.654633
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.080054
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.571469
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11744
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7114
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3812
¼(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14236
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98655
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02304
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26174
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.85592
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.03825
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.11216
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.04853
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.923501
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.270584
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.650766
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.076525
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.567533
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11619
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70998
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37959
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14052
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98935
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02181
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24295
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83296
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10704
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.16393
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89355
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.920042
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.266771
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.646625
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.07256
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.563127
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11131
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70804
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37742
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13801
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99149
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01846
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.22272
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80827
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.17639
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.21667
(431.57, 14.20, 330.99) (450.28, 7.82, 301.52) (0.90, 1.67, 0.78) Tools 21.58803
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.91632
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.262705
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.642136
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.068176
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.558223
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10583
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70553
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37462
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1348
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99293
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01412
í(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2011
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.62725
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.58907
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.55353
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.5206
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.49025
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.46247
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.43724
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.41452
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.39432
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.3766
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.36136
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.34859
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.33828
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.912335
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.258343
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.637367
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.063321
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.552816
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09981
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70255
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37118
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13088
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99422
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00888
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18804
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.37348
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.34006
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.30919
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.28087
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.25508
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.23178
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.21096
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.19262
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.17672
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.16327
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.15225
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.14365
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.13746
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.90809
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.253731
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.632259
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.058094
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.546963
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09324
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69897
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36716
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12632
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99573
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00277
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18078
ï(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.23763
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.20684
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.17858
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.15282
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.12955
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.10874
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.09039
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.07448
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.06099
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.04992
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.04125
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.03499
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.03113
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.903606
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.248806
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.626873
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.052419
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.540667
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08614
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69493
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36257
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12106
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99011
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99569
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17246
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.16409
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.1334
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.10523
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.07965
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.05832
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.03945
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.023
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.00897
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 15.99736
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 15.98814
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 15.98133
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 15.9769
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 15.97485
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.898882
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.243612
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.621189
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.046314
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.533826
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07852
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69031
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35735
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11509
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98328
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98774
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.16306
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.15222
ğ(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.12346
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.09719
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.07341
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.05209
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.03321
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.01677
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.00274
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 15.99112
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 15.98191
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 15.97509
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 15.97066
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 15.96861
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.893905
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.23819
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.615209
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.039819
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.526586
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07037
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68164
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35155
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10846
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97565
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97882
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15259
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.1748
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.14794
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.12357
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.10168
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.08224
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.06525
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.05068
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.03853
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.0288
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.02146
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.01652
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.01397
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.01381
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.888664
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.232475
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.608953
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.032877
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.518864
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06169
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67185
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34514
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10118
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96722
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96904
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14108
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.23677
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.21185
ê(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.18989
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.1704
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.15337
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.13878
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.12663
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.11689
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.10957
(431.57, 14.20, 330.99) (446.35, 8.21, 303.75) (2.55, 2.61, 2.55) Tools 16.10466
