¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú (403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.224211
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87412
“(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58788
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06824
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47482
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90969
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3758
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79201
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00676
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2302
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46275
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70876
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99501
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.29435
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60768
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94094
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2907
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.65791
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.04379
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.44973
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.959783
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.23578
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.535742
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.893444
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.245195
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.631114
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.07382
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.524452
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62882
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20947
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84159
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55473
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0288
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41437
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84512
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30669
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79372
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00858
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23204
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46466
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70683
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95915
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.24665
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55805
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88743
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23496
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.59971
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.01256
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.61358
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.951571
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.226865
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.526033
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.881597
•(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.232222
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.616845
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.057731
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.506668
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59713
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18042
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80906
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52427
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05075
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36519
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78219
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23934
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73015
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0122
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23577
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46849
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7108
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96325
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22642
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51092
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83654
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18188
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.64807
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.2219
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.943255
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.217841
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.516204
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.869652
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.219144
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.602463
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.030663
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.488821
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5654
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15146
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78011
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49379
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07393
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38958
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72295
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17374
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65983
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01763
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24143
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.47431
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.71679
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96945
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23284
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50754
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79522
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.30271
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.85138
ˆ(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.43882
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.934842
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.208708
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.50626
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.857617
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.205965
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.587974
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.008699
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.470918
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54487
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12251
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75308
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46329
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09832
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41521
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74996
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10987
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59135
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02491
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24893
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.48205
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72481
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.97775
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.24137
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.54645
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87258
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50034
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.06193
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.66361
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.926329
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.19947
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.496202
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.829226
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.192689
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.57338
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.992583
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.452961
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52756
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09688
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72605
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43281
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12391
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44217
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77831
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13385
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.52472
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03401
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25831
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49176
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.73483
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.009
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3093
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62365
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95291
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66969
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.28004
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.89668
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.91772
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.190129
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.486035
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.808556
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.179318
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.558686
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.97636
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.996922
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51024
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0796
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69903
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40232
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15076
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47038
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80805
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16523
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.54363
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96807
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26961
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51593
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79326
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08316
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38638
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.70382
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03636
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.75759
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.50604
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.13834
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.90902
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.180688
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.475756
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.797328
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.165857
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.543894
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.960035
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.981255
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49283
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06146
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67287
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37189
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16316
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49992
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83918
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19805
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57829
Œ(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98175
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31925
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58733
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86736
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1601
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.46632
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.78697
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12293
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8486
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.68628
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.900225
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.171147
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.465374
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.785989
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.152308
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.529007
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.943605
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.965499
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47537
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.042
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65434
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34149
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12864
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53083
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87173
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2324
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61458
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00211
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.36075
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6548
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94418
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23984
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.54924
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87323
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21277
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.94276
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78963
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.891343
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.161513
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.454889
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.77454
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.138675
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.514032
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.927081
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.949677
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45787
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02245
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63585
(403.35, 14.87, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31424
