¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(383.40, 6.90, 352.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.042607
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.349938
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.702946
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.092842
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.143348
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.665113
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27651
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97224
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6443
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38581
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15413
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.30638
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.98
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.70206
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.040156
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.260629
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.498813
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.756886
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.037397
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.353101
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.706431
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.096703
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.530755
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.670298
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2824
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97895
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76476
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45411
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23143
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.42204
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.12531
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.87601
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.041063
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.261607
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.499871
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.758034
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.038819
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.356155
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.709795
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.10043
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.534047
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.675223
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.288
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98538
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78915
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52333
™(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30973
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.53711
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.26972
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.04616
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.041931
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.262545
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.500885
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.759136
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.040264
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.359097
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.713042
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.104023
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.537175
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.026355
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29331
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99687
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80729
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59342
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38913
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.6515
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.40246
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.35133
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.042762
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.263442
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.501856
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.76019
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.041653
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.361932
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.716167
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.107486
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.540143
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.029683
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29835
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00942
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82525
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66445
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46961
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.76513
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.49289
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.74981
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.043555
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.264298
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.502783
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.761194
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.042984
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.364655
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.719169
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.110811
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.542948
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.032825
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.590317
œ(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0216
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84273
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.697
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55118
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.87771
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.5808
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.15239
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.044312
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.265115
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.503666
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.762153
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.04466
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.367268
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.722049
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.111801
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.545588
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.035789
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.594501
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03344
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85647
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71735
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63387
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.9475
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.66635
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.045031
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.26589
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.504506
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.763063
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.046939
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.369771
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.724809
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.112484
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.548065
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.038567
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.598404
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.25652
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86977
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73747
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71771
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.00518
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.75627
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.04571
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.266623
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.505299
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.763979
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.049114
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.372158
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.72744
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.113082
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.550376
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.041159
—(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.602019
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26066
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.03027
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75742
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75624
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.06077
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.84339
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.046352
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.267315
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.506048
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.764991
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.051189
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.374435
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.729951
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.113601
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.552522
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.043567
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.605353
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26447
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0355
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77717
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77926
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.11424
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.92765
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.046956
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.267967
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.506754
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.765948
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.053158
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.376599
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.732337
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.114985
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.554503
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.045788
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.608398
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26796
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04029
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93676
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84282
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.16551
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.00888
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.047522
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.268578
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.507414
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.766853
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.055025
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.378647
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.734596
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.116611
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.556316
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.047819
Œ(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.611156
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27112
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04464
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93907
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90923
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.21453
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.08699
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.048049
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.269146
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.508029
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.767704
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.056787
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.380582
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.73673
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.118087
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.557961
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.048676
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.613625
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27395
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04856
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.941
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.95004
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.26627
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.16187
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.048539
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.269674
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.5086
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.7685
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.058444
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.382402
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.738737
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.119413
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.559442
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.048751
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.615807
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27605
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05205
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.94255
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.96287
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.32499
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.23343
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.048987
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.270159
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.509125
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.769243
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.059998
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.384106
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.739674
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.120588
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.56075
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.048687
™(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.617694
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27778
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0551
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.9437
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.97491
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.41975
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.30155
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.049398
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.270603
(383.26, 6.92, 352.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.509605
