¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ô (437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.993232
º(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.88455
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.090369
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.312061
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.551522
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.810919
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.092814
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.400187
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.729241
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.086575
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.475149
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.892103
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.353662
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.802728
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14687
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51768
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91834
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35248
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82963
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.50515
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.61997
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.35065
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.517866
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.696748
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.88856
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.094662
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.316702
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.556554
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.816365
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.098731
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.406656
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.734502
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.092338
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.486221
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.906021
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.369131
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.787614
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13066
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50024
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89947
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33768
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23157
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.62867
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.89114
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.353989
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.521407
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.700575
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.892669
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.099069
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.321454
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.561691
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.821931
µ(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.10478
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.412986
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.739927
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.09832
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.492795
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.920316
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.384979
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.773308
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1153
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48371
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88751
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32997
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.2002
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.8713
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.86463
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.357397
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.525095
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.704498
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.896836
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.103554
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.326327
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.566937
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.827632
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.110995
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41813
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.745562
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.104484
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.499623
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.934925
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.401144
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.759787
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10076
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4741
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88134
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32328
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36354
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.90931
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.84076
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.88185
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.360863
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.528813
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.70848
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.901119
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.108198
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.331265
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.572309
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833445
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.117335
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.423436
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.751355
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.110876
¹(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.506656
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.944442
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.417727
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.747057
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09324
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4693
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87613
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31761
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.65698
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.8897
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.82446
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.364439
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.532618
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.71255
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.905504
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.112873
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.336332
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.577792
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.839384
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.123805
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.428948
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.757376
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.117483
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.513926
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.952527
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.419422
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.741239
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08957
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46532
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87184
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31298
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.8081
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.87252
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.03789
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.368052
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.536508
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.716695
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.909968
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.117697
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.341505
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.583379
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.845465
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.130408
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.434639
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.763575
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.124269
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521445
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.960836
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.411306
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.738561
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08671
¸(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46224
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8685
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30935
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.96099
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.05667
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.25755
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.371778
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.540462
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.720955
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.914514
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.122569
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346797
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.589096
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.851651
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.137173
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.440435
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.769927
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.131264
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.529154
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.97155
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.401006
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.736621
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08461
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45999
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86608
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30672
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.11575
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.26066
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.375542
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.544479
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.725269
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.919154
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.127567
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.352173
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.594909
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.857984
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.144024
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.446443
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.776542
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.138482
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.537108
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.98649
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.391374
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.726298
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08334
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45863
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8646
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30513
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.18968
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.2553
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.379424
º(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.548589
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.729688
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.923879
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.132643
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.35766
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.600855
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.864416
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.149936
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.452625
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.783277
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.145914
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.54999
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.001726
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.382433
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.716652
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07714
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45813
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86406
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22545
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.23409
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.23771
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.54923
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.383333
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.55279
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.734152
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.928703
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.137825
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.363262
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.606902
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.870985
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.155776
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.458984
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.790223
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.155224
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.563957
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.017221
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.374177
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.707809
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06759
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45676
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86449
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17739
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.27864
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.22857
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.42944
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.387335
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.557059
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.738737
