¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¾ (409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 9.979362
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.90499
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.83768
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.77316
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.71139
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.65231
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.59587
(409.93, 12.57, 332.33) (413.84, 8.60, 303.37) (3.12, 2.08, 2.61) Tools 17.1872
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.24747
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.32068
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.34625
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.37552
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.40851
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.076289
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.2976
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.536655
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.792224
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.075841
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.387543
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.729177
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.108198
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.538694
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.018891
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.558078
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03698
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.878
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.4397
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.39019
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.38135
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.407
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.43462
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.41011
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.3443
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.28122
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.2208
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.16299
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.10775
¬(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.31586
(409.93, 12.57, 332.33) (413.84, 8.60, 303.37) (3.12, 2.08, 2.61) Tools 17.10955
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.38915
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.46296
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.48886
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.51848
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.55184
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.05935
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.279328
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.516888
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.770218
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.052336
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.361829
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.700937
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.077845
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.504931
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.981117
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.5157
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96454
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79362
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.40146
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.42362
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.44772
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.47377
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.50181
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.53185
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 13.89252
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 13.88338
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 13.93017
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.00204
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.12587
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.35058
(409.93, 12.57, 332.33) (413.84, 8.60, 303.37) (3.12, 2.08, 2.61) Tools 17.03464
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.84172
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.61061
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.63684
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.66682
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.70057
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.042471
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.261124
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.4972
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.74834
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.028926
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.33623
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.672829
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.047596
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.471298
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.943507
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.473528
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89268
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7103
Ò(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.4695
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.49206
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.51657
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.54306
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.57154
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.60203
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 13.95179
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 13.94265
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 13.98321
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.04815
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.17286
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.38745
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.71963
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.09727
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.76376
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.79035
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.8207
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.85485
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.025656
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.242993
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.477597
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.726591
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.005614
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.310745
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.644858
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.017461
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.437806
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.90607
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.431563
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82138
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62772
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.54006
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.56304
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.58798
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.61491
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.64385
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.67481
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.01364
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.00451
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.03868
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.09655
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.22217
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.4265
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.6651
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.30683
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.92256
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.94951
(409.93, 12.57, 332.33) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 24.98027
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.008906
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.224937
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.45808
§(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.704977
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.982404
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.285379
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.617026
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.98744
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.404454
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.868808
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.389818
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.97701
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54587
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48839
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.63661
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.66201
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.6894
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.71882
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.75028
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.07815
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.06902
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.09663
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.15025
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.27384
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.46774
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.92815
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.95005
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.992225
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.206958
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.438649
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.683496
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.959298
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.260135
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.589338
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.957538
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.371249
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.83173
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.348293
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.930016
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46478
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38332
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.71285
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.73872
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.7666
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.79651
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.82849
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.14536
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.13623
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.15711
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.21125
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.32792
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.51123
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.89645
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.796
—(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.975613
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.18906
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.41931
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.662226
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.936298
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.235016
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.561797
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.927762
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.338198
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.794837
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.306994
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.883304
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38443
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28161
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.79182
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.81818
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.84656
(409.93, 12.57, 332.33) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 12.87701
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.28856
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.21533
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.20621
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.22016
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.27485
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.38445
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.55697
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.91418
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.70358
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.959074
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.171241
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.400064
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.641189
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.91341
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.210022
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.534505
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.898113
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.305301
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.758223
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.265928
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.836881
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.47637
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18883
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28896
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.66341
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.74522
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.50164
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.37041
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.29496
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.27901
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.28584
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.34111
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.44347
‡(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.60501
(409.93, 12.57, 332.33) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 14.93389
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.79808
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.942608
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.153507
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.380912
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.620248
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.890633
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.185163
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.50739
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.868598
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.272565
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.721971
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.2251
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.790751
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.4215
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0939
