¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.865754
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.79811
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.81533
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.83424
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.85483
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.87712
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.90114
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.9269
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.95442
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.88797
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.02362
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.166636
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.317556
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.477027
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.645809
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.964139
Á(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.477965
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.074944
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.413336
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.678077
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.173864
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.8295
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.980868
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.980167
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.980962
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.983241
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.987014
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.992284
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.999052
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.00732
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.0171
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.0284
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.04123
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.05559
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.07149
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.08896
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.108
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.12862
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.15085
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.17469
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.880904
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.016224
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.158823
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.309303
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.468343
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.636603
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.996848
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.515828
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.119278
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.404518
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.668668
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.121529
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.422468
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.398178
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.375408
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.35414
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.339876
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.342087
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.34569
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.350694
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.3571
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.364914
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.374145
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.384793
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.396868
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.41038
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.425343
¾(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.441762
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.459655
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.479034
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.499912
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.874116
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.009063
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.151295
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.301363
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.459968
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.636311
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.029339
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.553425
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149335
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.39617
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.659733
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.069695
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.444528
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.420176
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.397349
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.376028
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.356197
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.337843
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.320946
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.305498
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.291486
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.278899
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.267727
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.257962
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.249597
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.242623
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.237041
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.232841
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.230021
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.228581
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.228519
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.867579
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.002201
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.144076
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.293782
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.458583
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.653086
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.061513
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.590722
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.141958
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.388311
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.651369
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.018407
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.532405
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.507823
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.48478
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.463259
Ã(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.44324
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.424709
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.407654
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.392058
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.377912
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.365204
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.353924
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.344064
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.335619
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.328578
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.32294
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.318698
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.315849
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.314391
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.266991
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.861315
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.995634
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.137176
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.291203
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.471271
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.68391
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.093342
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.627676
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.135016
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.380929
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.64348
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.967605
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.557701
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.53305
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.509942
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.488358
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.468284
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.449699
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.432594
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.416954
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.402767
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.39002
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.378709
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.368819
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.360346
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.353285
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.347628
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.34337
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.34051
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.339046
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.291515
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.85536
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.989358
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.13329
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.303371
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.48423
À(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.71498
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.12488
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.664255
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.128534
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.374002
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.636106
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.917333
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.490873
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.559842
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.536666
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.515018
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.494884
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.476244
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.459085
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.443398
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.429167
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.416381
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.405032
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.395112
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.386611
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.379526
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.373849
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.369576
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.366704
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.365233
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.317565
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.849634
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.984099
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.145045
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.315866
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.497478
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.74632
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.156086
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.70047
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.122481
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.367584
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.629279
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.909189
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.422356
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.588226
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.564975
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.54326
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.523059
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.50436
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.487148
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.471409
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.457132
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.444304
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.432918
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.422963
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.414434
¸(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.407324
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.401625
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.397335
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.394452
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.392971
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.345159
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.844213
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.995419
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.157065
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.328614
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.510995
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.777917
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.186906
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.736336
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.11692
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.361645
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.622931
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.902407
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.355392
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.618221
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.594893
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.573104
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.552837
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.534076
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.516806
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.501012
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.486686
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.473814
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.462388
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.452398
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.443837
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.4367
(338.58, 7.04, 315.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.430981
