¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.68541
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.722523
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33343
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.99649
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.75171
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.97814
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.66504
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02666
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.7843
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.24198
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.89075
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.739874
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.937318
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.149776
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.380246
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.63027
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.901762
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.197558
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.521014
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.876143
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.267764
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.701738
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.185241
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.72717
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3387
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.003
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54738
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52707
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67513
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03872
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.80072
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.2988
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.3935
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.741492
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.939055
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.151648
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.382193
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.632383
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.90406
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.200064
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.523763
¡(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.879166
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.271107
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.70545
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.189387
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.731833
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34398
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74724
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55474
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53567
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68523
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.05083
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.81698
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.35489
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.07912
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.74312
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.940803
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.153532
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.384148
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.6345
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.906362
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.202579
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.526516
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.882196
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.274457
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.709172
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.193544
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.736508
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04734
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75335
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56214
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54428
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69538
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06299
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83311
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.41027
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.82089
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.744755
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.942561
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.155424
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.386106
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.636624
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.908671
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.2051
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.529278
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.885236
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.277816
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.712904
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.197717
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42113
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05288
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75961
Ë(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56954
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55294
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70557
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.07516
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84901
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.46487
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.28329
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.7464
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.944329
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.157329
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.388069
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.638752
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.910987
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.207627
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.532047
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.888281
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.281184
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.892454
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.844188
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42615
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05846
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76599
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57699
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56158
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71578
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08739
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.86479
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.51869
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.35924
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.748053
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.946105
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.159245
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.390038
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.640886
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.913308
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.210161
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.534825
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.891336
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.862816
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.329066
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.848677
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43121
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06414
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77242
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58447
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57025
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72606
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.09967
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88036
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.57174
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.4446
È(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.749714
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.947891
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.161169
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.392008
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643023
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.915634
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.212698
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.537605
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.445398
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.866418
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.333099
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.853144
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43624
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06992
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.779
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59191
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57897
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73633
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.11196
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.89579
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.62393
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.56244
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.751385
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.949686
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.163103
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.393985
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.645166
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.917963
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.215242
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.066694
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.448695
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.870055
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.337117
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.857675
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44133
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07578
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78564
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59942
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58773
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74662
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12432
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91105
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.67531
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.67979
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.753062
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.95149
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.165045
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.395962
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.647311
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.920297
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.721568
é(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.069684
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.451962
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.873676
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.341156
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.862156
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44641
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08177
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7924
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60692
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59648
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75696
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.13668
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.92608
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.72583
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.79664
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.754749
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.953302
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.166999
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.397945
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.649461
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.405818
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.724321
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.072677
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.455264
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.87733
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.345214
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.866703
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45148
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0878
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79926
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61446
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60521
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76733
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1491
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.94095
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.77546
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.91284
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.756443
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.955122
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.16896
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.39993
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.115858
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.408326
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.727057
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.075675
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.458574
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.880994
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.349261
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.871228
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45657
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09392
ğ(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80624
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62197
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61403
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77771
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.16154
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.9556
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82417
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.758142
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.95695
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.17093
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.848736
(331.30, 7.49, 368.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.118179
