¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16547
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.22907
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.01992
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.69317
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.64391
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.448825
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.592803
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.031261
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.200079
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.379618
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570853
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774966
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.993259
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.227163
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.478414
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.748993
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.041121
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.332954
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.579462
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.842454
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.123409
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.370264
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.611576
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.867132
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13821
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42621
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73268
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06581
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6269
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10149
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61843
ª(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18361
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.00285
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.84388
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.449287
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.593292
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.024446
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.192865
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.371962
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.562674
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.766257
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.983929
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.217193
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.467714
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.737464
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.028686
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.283124
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.526541
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.786106
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.06333
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.337433
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.576959
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.830626
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09963
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38534
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68931
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01337
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35936
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68716
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16837
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69286
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26668
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.06873
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.449918
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.59396
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.746703
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.185871
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.364522
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.554801
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.75784
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.974925
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.207566
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.457352
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.726299
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.008533
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.234535
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.474951
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.73119
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.004802
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.297546
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.543608
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.795408
£(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06237
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3459
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64751
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96893
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27668
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53428
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88989
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27773
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77141
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35444
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.450718
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.594807
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.7476
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.179123
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.357326
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.547154
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.749681
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.966211
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198195
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.447347
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.715523
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.963757
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.187094
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.424612
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.677655
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.947716
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.236567
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.511433
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.761446
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0265
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30794
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60725
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92616
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18929
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44278
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73211
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1095
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5139
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94819
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44728
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.451687
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.595832
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.748687
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.172605
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.350402
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.539763
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.741821
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.9578
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.189226
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.437662
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.705107
§(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.92007
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.140826
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.375492
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.625438
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.892101
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.177229
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.480444
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.72875
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.991968
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2714
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56853
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86739
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10463
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35419
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61705
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94747
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34086
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76302
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21713
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70683
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.452826
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.597036
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.749963
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.912389
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.345718
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.53267
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.734229
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949697
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.180527
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.428341
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.671835
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.877486
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.095712
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.327627
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.574562
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.837921
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.11939
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.420835
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.69732
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.958765
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23627
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53126
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78895
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02268
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26851
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52728
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17425
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58488
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02617
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50161
œ(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.454133
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.59842
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.751431
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.913946
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.37895
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.553216
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.738276
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.941896
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.172159
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41938
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.632477
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.835897
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.051666
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.280948
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.52494
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.785131
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.063076
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.36062
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.667112
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.92687
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20247
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49373
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71302
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94338
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18554
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44043
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.709
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01376
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41341
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84255
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30452
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.455609
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.599982
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.753086
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.915705
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.412789
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.589072
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.776343
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.975645
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.188129
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.409669
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.594097
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.79531
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.008744
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.235393
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.476577
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.733671
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.008244
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.302055
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.617163
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.896232
œ(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17008
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42323
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63948
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86661
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1053
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35642
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62098
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89993
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24836
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66596
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11509
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.457255
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.601725
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.754932
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.917665
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.103551
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.625631
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.81516
(360.80, 10.08, 323.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.016922
