°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34756
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.858303
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.306644
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.804377
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35991
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98401
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68995
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49485
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42091
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49759
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76087
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.99059
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.38208
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.36165
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.34355
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.32779
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.31434
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.3032
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.29435
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.2878
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.28353
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.28154
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.598186
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.783463
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.98235
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.19636
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.427926
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.677601
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.948534
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.243707
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.565899
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.919327
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.858548
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.30695
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.804667
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36027
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9844
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69038
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49533
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42149
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49827
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7382
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9954
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.448
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.42746
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.40928
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.39343
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.3799
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.36869
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.35979
ˆ(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.35319
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.34889
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.34688
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.599811
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.785207
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.984221
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.198375
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.430058
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.67991
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.951043
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.24635
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.568859
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.452899
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.858888
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.307323
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.805098
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36076
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98495
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69101
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49605
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42235
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49923
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.71606
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00137
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.51682
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.49617
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.47789
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.46195
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.44835
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.43707
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.42811
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.42146
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.41712
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.41508
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.601471
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.786986
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.986134
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.200435
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.4322
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.682273
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.953611
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.249044
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.571889
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.453329
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.859379
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.307859
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.805685
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3614
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98568
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69186
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49703
ñ(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42344
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50055
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69442
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00855
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.5886
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.56784
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.54945
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.53341
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.51973
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.50838
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.49936
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.49266
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.48828
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.48621
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.603227
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.788805
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.988087
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.20254
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.434256
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.684689
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.956237
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.251906
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.08452
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.453876
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.859966
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.308511
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.806422
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36224
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9866
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69286
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4982
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42481
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50214
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67332
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01687
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.6634
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.64252
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.62402
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.60789
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.59412
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.58269
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.57361
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.56686
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.56244
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.56034
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.605502
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.790661
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.990082
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.204689
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.436356
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.687155
ó(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.958919
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.254831
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.085104
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.454532
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.860667
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.309259
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.807266
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36319
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98771
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69411
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49962
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42644
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50409
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6666
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02639
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.74129
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.72028
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.70167
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.68543
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.67157
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.66007
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.65092
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.64412
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.63965
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.63752
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.607827
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.792555
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.992118
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.206882
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.43861
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.689675
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.961657
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.257819
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.085806
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.455266
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.861497
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.310177
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.808276
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36434
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98897
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69555
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50125
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42835
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50629
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67782
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03707
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.82233
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.80119
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.78246
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.76612
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.75217
ä(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.74058
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.73136
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.7245
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.71999
(330.49, 7.53, 366.81) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.71783
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.610199
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.794488
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.994195
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.209119
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.441026
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.692249
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.964452
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.749092
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.086548
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.456103
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.862425
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.311221
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.809433
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36562
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99041
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6972
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50314
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43052
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50884
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68963
(330.49, 7.53, 366.81) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.47137
(330.49, 7.53, 366.81) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.44954
(330.49, 7.53, 366.81) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.43006
(330.49, 7.53, 366.81) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.41293
(330.49, 7.53, 366.81) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.39813
(330.49, 7.53, 366.81) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.38566
(330.49, 7.53, 366.81) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.3755
(330.49, 7.53, 366.81) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.36765
(330.49, 7.53, 366.81) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.36209
(330.49, 7.53, 366.81) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.35883
(330.49, 7.53, 366.81) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.35787
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.612619
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.796459
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.996312
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.2114
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.44349
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.694872
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.967304
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.749846
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.087419
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.457052
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.863432
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.312397
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.810713
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36706
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99204
Æ(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69907
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50525
