¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.5766
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.905974
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.166495
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.448591
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.754963
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.08894
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.45428
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.855565
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.221736
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.49604
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.788669
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13154
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59591
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10441
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64693
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24716
(325.19, 7.53, 366.43) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 12.77936
(325.19, 7.53, 366.43) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 12.75809
(325.19, 7.53, 366.43) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 12.7388
(325.19, 7.53, 366.43) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 12.73752
(325.19, 7.53, 366.43) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.12197
(325.19, 7.53, 366.43) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.10294
(325.19, 7.53, 366.43) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.08636
(325.19, 7.53, 366.43) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.07222
(325.19, 7.53, 366.43) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.06048
(325.19, 7.53, 366.43) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.05116
(325.19, 7.53, 366.43) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.04424
(325.19, 7.53, 366.43) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.03973
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.037558
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.232191
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.440763
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.664848
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.906106
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.166641
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.448734
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755167
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.089151
Ÿ(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.454505
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.855801
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.210212
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.483781
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.775578
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1853
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65487
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16577
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71461
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32208
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.53159
(325.19, 7.53, 366.43) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 12.98986
(325.19, 7.53, 366.43) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 12.97
(325.19, 7.53, 366.43) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 12.95213
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.80857
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.037728
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.232367
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.440934
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.665033
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.906343
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.166883
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.449002
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75545
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.089464
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.454843
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.856166
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.199369
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.472238
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.807005
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24015
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71505
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22849
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78377
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35094
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.312
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.4216
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.5793
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.54594
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.52841
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.51309
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.49997
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.48903
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.48027
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.47368
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.46925
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.037956
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.232604
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.441202
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.665317
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.906659
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.167206
®(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.449331
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755817
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.089855
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.455292
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.856653
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.189159
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.461405
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.858224
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29614
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77647
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2926
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85452
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.25922
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.14042
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.24675
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.58084
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.46729
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.44989
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.43468
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.42165
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.41079
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.4021
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.39556
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.39118
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.038229
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.232886
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.441541
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.665648
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.907023
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.167618
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.449769
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.756306
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.090382
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.455839
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.857284
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.179642
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.505326
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.910449
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35327
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8392
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3581
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88631
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.0382
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 11.97516
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.07838
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.58277
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.39164
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.37435
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.35924
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.3463
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.33552
¤(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.32689
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.32041
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.31608
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.038567
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.233257
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.441917
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.666071
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.907467
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.168091
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.450306
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75688
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.090993
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.456542
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.858038
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.17827
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.554175
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.963693
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41152
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90319
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42503
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89105
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 11.93246
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 11.91057
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 11.91617
(325.19, 7.53, 366.43) (348.28, 0.34, 381.89) (0.87, 0.61, 0.61) Tools 13.32067
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.3189
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.30172
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.2867
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.27385
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.26315
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.25459
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.24816
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.24387
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.038949
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.233673
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.442392
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.666583
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.907967
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.168659
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.450922
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.757546
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.091735
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.457335
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.858906
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.224135
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.603931
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01797
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47095
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96563
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46059
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89673
¶(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.05435
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.03219
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.01191
(325.19, 7.53, 366.43) (348.28, 0.34, 381.89) (0.87, 0.61, 0.61) Tools 13.73615
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.24902
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.23194
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.21702
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.20425
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.19362
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.18512
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.17874
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.17449
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.039397
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.234158
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.442893
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.667114
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.908585
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.169294
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.451613
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.758307
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.092563
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.458255
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.859934
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.255036
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.654704
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07335
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53158
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02909
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46678
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90345
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.1806
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.15817
(325.19, 7.53, 366.43) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.13763
(325.19, 7.53, 366.43) (347.72, 0.43, 381.22) (0.61, 0.87, 0.61) Tools 12.6007
(325.19, 7.53, 366.43) (347.72, 0.43, 381.22) (0.61, 0.87, 0.61) Tools 12.75271
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.16494
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.15011
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.13742
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.12685
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.11841
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.11209
(325.19, 7.53, 366.43) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.10788
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.039922
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.23472
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.443491
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.667751
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.909254
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.170019
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.45241
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.759163
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.093486
±(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.459293
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.861052
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.253597
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671234
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12977
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5934
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0692
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47385
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91109
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38489
(325.19, 7.53, 366.43) (347.72, 0.43, 381.22) (0.61, 0.87, 0.61) Tools 12.51296
(325.19, 7.53, 366.43) (347.72, 0.43, 381.22) (0.61, 0.87, 0.61) Tools 12.49252
(325.19, 7.53, 366.43) (347.72, 0.43, 381.22) (0.61, 0.87, 0.61) Tools 12.47401
