¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ø(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.6518
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.232648
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.252828
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.332356
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.4147
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.48432
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.47208
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.58699
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.88493
(330.09, 7.38, 372.76) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 21.55831
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.356649
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576898
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.815789
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.076223
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.358541
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.66549
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.00041
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.790555
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.821572
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.866358
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.866837
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.845475
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.825393
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.763613
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.653873
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.634696
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.360643
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.341123
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.322932
Ô(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.306057
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.376616
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.458714
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.698888
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.60995
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.59763
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.70981
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.00425
(330.09, 7.38, 372.76) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 21.66549
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.355749
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.575925
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.816659
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.077212
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.359594
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.652046
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.737354
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.81751
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.861196
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.906561
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.914614
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.893123
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.87292
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.819
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.707824
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.534373
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.437263
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.417523
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.399125
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.42343
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.505341
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.590157
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.86099
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.74003
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.72761
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.8369
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.12758
(330.09, 7.38, 372.76) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 21.7768
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.354819
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576432
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.817561
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.078164
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.360631
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.612472
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.762557
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.857927
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.902201
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.948169
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.964169
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.942544
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.922215
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.876584
Ù(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.763904
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.640824
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.260165
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.496621
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.478009
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.554589
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.639271
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.981077
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.00569
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.8747
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.86218
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.9684
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.25503
(330.09, 7.38, 372.76) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 21.89235
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.353901
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.577226
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818451
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.079146
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.327067
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.637343
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.788512
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.899738
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.944622
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.991218
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 8.015552
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.99379
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.973331
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.93644
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.822186
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.106982
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.287621
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.578524
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.606474
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.691081
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.778688
(330.09, 7.38, 372.76) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 16.60775
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.15568
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.01412
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.0015
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.10446
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.38673
(330.09, 7.38, 372.76) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.01223
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.35416
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.578046
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.81931
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.080062
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.239721
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.138818
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.815224
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.942968
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.988488
Ø(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 8.035739
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 8.068814
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 8.046909
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 8.026316
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.977784
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.004627
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.12925
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.319971
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.663333
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.745596
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.833192
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.281132
(330.09, 7.38, 372.76) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 16.71528
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.31114
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.15845
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.14572
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.24521
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.52281
(330.09, 7.38, 372.76) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.13654
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.354901
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.578822
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.820167
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.080983
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.363693
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.171945
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.04388
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.966125
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.943921
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.922888
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.90301
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.906257
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.951383
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.998154
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.046617
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.160817
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.353318
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.802827
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.890475
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.981239
(330.09, 7.38, 372.76) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 16.64719
(330.09, 7.38, 372.76) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 16.82608
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.47227
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.30784
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.29501
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.39081
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.66342
(330.09, 7.38, 372.76) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.2654
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.355618
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5796
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.821005
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.081908
â(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.364677
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.238538
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.108338
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.015158
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.992798
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.971618
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.951602
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.947657
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.993438
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.040881
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.09004
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.193339
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.387685
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.950562
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.041447
(330.09, 7.38, 372.76) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.79449
(330.09, 7.38, 372.76) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 16.78404
(330.09, 7.38, 372.76) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 16.94024
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.63931
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.4625
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.44956
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.54144
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.80869
(330.09, 7.38, 372.76) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.39893
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.356344
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.580388
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.821844
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.082802
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.365661
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.307843
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.175396
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.065945
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.043424
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.022094
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.001932
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.990442
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.036902
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.085046
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.134928
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.226833
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.423088
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.104532
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.198853
(330.09, 7.38, 372.76) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.92183
(330.09, 7.38, 372.76) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.61669
(330.09, 7.38, 372.76) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 17.08104
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.81245
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.62259
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.60953
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.69725
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.95878
Ö(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.357041
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.58114
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.82264
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.083681
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.366603
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.379971
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.24517
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.118543
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.095858
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.074368
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.054059
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.034911
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.081815
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.130691
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.181326
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.261317
(330.09, 7.38, 372.76) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.459546
(330.09, 7.38, 372.76) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.265109
(330.09, 7.38, 372.76) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 11.62317
(330.09, 7.38, 372.76) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 15.16442
(330.09, 7.38, 372.76) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.46325
(330.09, 7.38, 372.76) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 17.23013
(330.09, 7.38, 372.76) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.99195
