¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.26696
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.638896
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.894338
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.170799
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.47152
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.799784
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.159456
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.53861
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.832245
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.148232
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.681549
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30454
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.015
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91889
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74193
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68924
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 14.35354
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 14.35036
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 14.34932
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 14.35043
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 14.35368
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 14.35907
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 14.36661
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.92644
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.103557
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.251731
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.409571
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.578022
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.760004
Î(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.957166
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.169232
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.397951
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.645307
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.904438
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181775
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.483469
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.812845
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.173809
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.515318
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.807274
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.121357
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.573174
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18165
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87448
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82069
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66348
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59864
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.97282
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.96952
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.96832
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.96919
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.97216
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.97721
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.98435
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.23249
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.106293
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.254613
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.412634
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.581327
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.764914
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.962399
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.174889
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.404048
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.651923
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.914805
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.19302
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.495734
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.826228
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.188494
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.492775
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.783096
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.09539
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.467589
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06213
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73805
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65907
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58686
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51024
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.61374
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.61035
Ô(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.60899
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.60966
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.61237
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.6171
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.62388
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.51533
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.109107
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.257614
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.415863
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.585596
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.769939
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.967818
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.180743
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.410336
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.658728
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.925467
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.204559
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.508254
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.839959
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.201797
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.470949
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.759747
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.070278
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.405134
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.945864
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60553
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50214
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51205
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42402
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.67924
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.65321
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.62931
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.60752
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.58783
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.57021
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.55466
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.80859
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.112042
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.260758
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.419177
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.590399
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.775124
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.973366
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.186696
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.4168
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.665724
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.935802
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.216377
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.521161
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.854024
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.182092
Ö(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.449894
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.737131
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.046053
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.379011
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.832716
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47681
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34971
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43904
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3399
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.76296
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.73667
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.71253
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.69052
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.67061
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.65279
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.63706
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.115115
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.263985
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.422659
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.595355
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.780428
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.979104
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.192832
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.423419
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.672894
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94359
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.228456
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.534316
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.868448
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.163044
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.429539
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.715383
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.022659
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.353825
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.722664
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35171
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2016
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31717
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25785
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.84981
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.82325
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.79886
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.77661
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.75647
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.73845
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.72251
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.118269
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.267357
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.427326
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.600465
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.785872
É(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.984914
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.199132
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.430218
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.680261
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.951594
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.240824
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547827
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.883178
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.144707
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.409934
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.694366
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.000089
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.329533
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.68554
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23014
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05765
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14318
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18324
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.93986
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.91303
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.88838
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.86587
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.84551
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.82726
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.81112
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.12155
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.270833
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.432194
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.605651
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.791465
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.990938
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.205579
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.4372
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.687788
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.959781
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.253507
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.561596
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.880287
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.127032
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.391054
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.67416
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.978372
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.306164
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.660297
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11196
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91775
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97444
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.162
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 14.03322
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 14.0061
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.98117
Ò(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.95841
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.9378
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.91932
(377.57, 15.25, 277.55) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.90297
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.124931
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.274575
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.437192
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.610993
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.797164
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.997059
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.212217
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.444346
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.695537
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.968191
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.265115
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.575711
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.864333
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.110029
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.372868
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.654669
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.957479
