¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.845676
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.702166
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11704
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55571
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.94069
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.35657
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.96924
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.82578
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.74353
™(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0417
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.09231
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.49621
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.58541
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.76714
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.17048
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.40256
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.604153
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.823936
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.059942
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.314781
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.591122
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.882524
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.193795
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.57193
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.968883
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.331031
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.70835
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11892
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57131
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95749
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37471
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.94242
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.79493
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25125
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96437
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00657
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.37286
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.55525
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.70696
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.92035
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.399086
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.600316
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.819823
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.055522
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.309912
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.585857
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.878478
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.189407
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.563405
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.973274
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.335797
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.714927
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12597
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58764
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97507
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3937
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91599
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.76455
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18298
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88365
˜(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9206
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.24953
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.52753
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.64907
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.80415
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.98788
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.395676
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.597303
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.815789
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.051187
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.305129
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.580688
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.874568
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.18517
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.554909
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.977956
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.340882
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.721897
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13357
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6047
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.99345
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41355
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.89423
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.73462
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11632
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79102
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83451
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.1262
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.50708
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.59185
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.6919
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.73764
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.38935
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.594719
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.811834
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.046937
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.300431
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.575612
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.870795
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.181079
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.546439
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.969117
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.346282
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.729259
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14159
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60952
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01262
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43425
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.90115
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.70515
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05135
š(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70086
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.29782
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.00295
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.49064
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.46923
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.58359
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.59011
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.382534
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.59224
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.807962
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.042776
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.295822
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.570629
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.867162
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.177139
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.538004
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.959796
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.351999
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.737019
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15004
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61311
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.03258
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.45582
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91469
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.67614
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98798
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61314
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20273
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.87981
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.47657
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.3504
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.45601
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.47643
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.375683
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.589866
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.804169
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.038701
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.2913
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.565743
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.862874
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.173349
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.529598
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.950511
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.358035
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.745171
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15892
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61707
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05335
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.47827
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93901
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.64759
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92622
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.52779
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11024
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.75678
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.46484
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.41682
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.32908
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.36686
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.368798
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.587429
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.800457
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.034712
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.286866
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.560951
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.857678
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.169707
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.521223
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.941263
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.364387
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.753717
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16823
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62142
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07493
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.50159
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.9643
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.61949
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86602
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.44476
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02031
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.63398
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.4555
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.49466
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.20615
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.24057
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.361882
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.584138
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.796827
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.030813
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.282609
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.556253
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.852588
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.166217
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.512882
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.932052
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.371057
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.76266
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17798
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63186
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09733
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.5258
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.99055
¦(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04743
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76281
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36399
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.9329
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.51138
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.44851
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.57592
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.19263
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.11094
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.94686
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.354934
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.580918
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.793277
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.026999
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.2785
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.551651
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.847601
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.162874
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.504576
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.922879
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.378043
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.772
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18816
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64299
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12055
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.5509
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.01777
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95191
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65639
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28547
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84793
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.38905
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.61572
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.66068
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.28212
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.98581
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.81289
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.347956
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.577772
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.790342
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.023273
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.274489
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.547147
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.842719
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.159683
(337.76, 7.35, 334.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.496305
