¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.04507
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.087594
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.139637
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.193599
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.249465
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.307396
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.367343
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.429548
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.494001
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.56088
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.630226
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.70222
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.776926
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.869294
·(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.972769
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.080914
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.18788
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.453226
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.485473
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.518877
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.553467
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.589272
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.626334
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.664707
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.704439
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.74558
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.788137
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.832193
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.87745
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.922377
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.968876
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.016989
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.066867
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.118445
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.171904
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.227266
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.28465
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.344114
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.405707
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.469588
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.535839
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.604535
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.675853
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.749886
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.826684
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.908685
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.014482
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.125058
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.437685
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.469659
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.50275
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.537003
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.572476
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.609205
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.647244
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.686624
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.727371
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.769557
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.813217
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.85846
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.903694
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.949758
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.997494
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.046916
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.098079
µ(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.151062
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.205946
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.262826
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.321713
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.382806
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.44613
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.51178
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.579849
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.650502
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.723872
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.799981
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.879066
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.961242
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.05859
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.422726
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.45437
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.48717
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.521161
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.556343
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.592762
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.630457
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.669485
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.709845
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.751667
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.794955
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.839797
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.885738
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.931439
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.97874
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.027732
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.078487
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.131019
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.185469
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.241842
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.300257
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.360822
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.423599
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.488687
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.556163
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.626201
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.698896
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.77435
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.852711
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.934167
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.018813
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.408301
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.439701
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.47224
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.505899
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.540761
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.576883
µ(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.61425
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.652956
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.693034
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.734499
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.777405
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.82184
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.867857
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.913799
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.960761
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.009372
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.059702
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.111809
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.165805
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.221733
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.279665
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.33974
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.40199
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.466513
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.533454
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.602925
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.674965
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.749802
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.827516
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.908197
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.992105
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.394427
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.425567
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.457826
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.491235
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.525834
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.561652
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.598728
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.637094
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.67684
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.71794
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.76056
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.804602
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.850241
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.896951
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.94354
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.991768
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.041682
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.093396
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.146948
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.202462
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.259964
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.319521
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.381295
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.445306
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.511701
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.580578
·(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.652065
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.726279
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.803317
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.88336
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.966569
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.381123
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.412012
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.443991
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.477167
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.511467
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.546994
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.583778
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.621876
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.661287
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.702077
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.744328
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.788059
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.833353
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.880213
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.927017
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.97488
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.024444
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.075747
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.128928
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.183997
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.241042
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.300176
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.36144
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.425006
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.490896
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.559226
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.630161
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.703788
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.780236
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.859629
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.942158
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.36834
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.398995
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.430746
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.463631
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.49771
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.532968
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.569443
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.607254
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.646362
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.686864
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.728787
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.77218
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.817126
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.863631
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.911197
¹(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.958733
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.007936
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.058895
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.111656
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.166346
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.222968
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.281686
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.342508
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.405598
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.470984
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.538833
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.609236
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.682278
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.758147
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.836967
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.918828
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.356075
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.386525
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.41803
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.450692
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.484501
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.519479
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.555731
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.593262
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.63209
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.672295
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.713903
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.756989
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.801588
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.847792
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.895589
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.943311
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.992194
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.042783
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.095216
