¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
â(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863842
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.73044
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.17541
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.385926
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.61202
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.855759
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.113976
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.390638
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.693409
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.035868
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.411551
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.825449
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.320796
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.916175
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58182
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08835
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49568
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93593
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4427
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31526
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.5316
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00741
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.11482
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.69685
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.173368
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.383456
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.609323
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.852854
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.111754
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.388202
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.69256
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.034909
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.410483
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.824299
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.32389
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.908652
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57003
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0874
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49466
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9348
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44769
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0394
ˆ(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20688
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95778
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.08845
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.66362
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.171055
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.380971
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.606652
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.849959
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.109592
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.385894
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.691688
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.033978
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.40948
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.823166
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.317171
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.900961
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54883
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08717
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49441
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93455
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45346
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02446
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89162
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.90788
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.06237
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.63074
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.168759
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.378478
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.603979
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.847114
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.107478
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.383611
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.690857
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.033066
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.408466
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.822055
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.310255
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.89308
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52794
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07926
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49493
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93816
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46008
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03167
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58548
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85768
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.03654
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.59819
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.166502
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.376038
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601357
ƒ(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.844258
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.105438
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.381389
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.690037
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.032179
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.40749
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.820966
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.303178
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.885052
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50739
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05648
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49618
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94501
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4675
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03983
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30146
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.80164
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.011
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.56597
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.16424
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.373625
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.598766
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.841467
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.103417
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.379218
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.689229
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.031299
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.406527
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.819916
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.295975
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.876941
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4872
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03404
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49822
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95254
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47572
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04886
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.27621
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.71709
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.98568
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.53417
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.161987
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.371241
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.596187
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.838641
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.100743
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.377111
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.688459
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.030443
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.40555
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.818859
‡(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.28861
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.868613
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46731
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01196
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50101
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96082
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48479
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07926
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25198
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.63298
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.96067
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.50267
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.15978
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.368871
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.593643
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.835926
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.097768
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.375042
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.687649
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.029588
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.404643
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.817827
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.281168
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.860161
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44774
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99027
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50456
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96986
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49631
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12834
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2287
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.54939
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.93595
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.47152
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.157606
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.366487
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.591107
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833179
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.094826
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.374072
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.686943
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.028769
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.403725
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.816818
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.274071
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.851537
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42853
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96896
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50889
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97969
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53354
Š(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27725
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20645
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.46628
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.91149
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.44077
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.155426
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.364193
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.588605
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.830476
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.091904
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.373409
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.686199
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.027948
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.402859
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.815846
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.273008
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.842781
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40963
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94799
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51399
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00006
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57172
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42911
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18511
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.38365
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.88497
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.41032
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.153291
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.361886
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.586111
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.827816
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.088999
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372712
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685454
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.027153
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.401996
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.814898
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.271944
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.833906
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39108
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92743
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51982
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03565
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61089
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58398
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.16475
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.30156
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.84363
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.38031
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.151187
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.359603
…(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.583673
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.825148
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.086111
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372086
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684774
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.026381
(335.92, 7.57, 352.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.401134
