¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.06694
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.85101
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.82715
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.80515
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.78498
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.40178
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.60458
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 15.06823
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.18997
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.17133
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.15543
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.14226
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.13182
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.12409
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.11908
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.11677
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.11717
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.407822
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.629003
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.86702
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.123871
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401838
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.70358
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.032211
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.391457
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.785701
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.21537
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.669736
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17283
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.748
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38166
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98241
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.99187
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.96772
â(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.94545
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.92504
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.38273
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.58162
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 15.04004
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.33136
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.31255
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.29651
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.28323
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.27269
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.26489
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.25982
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.25747
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.25785
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.406455
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.627486
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.865384
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.122104
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.399977
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.701541
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.02999
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.389006
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.783016
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.21132
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.665316
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1679
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74388
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39796
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01414
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.13795
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.1135
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.09095
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.07028
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.36401
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.55908
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 15.01236
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.47774
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.45877
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.44258
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.42917
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.41853
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.41065
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.40552
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.40314
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.40351
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.405065
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.626013
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.86382
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.120407
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.398099
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.699521
İ(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.027779
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.386587
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.780331
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.207438
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.660975
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1631
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73981
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41006
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04611
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83196
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.26474
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.24189
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.22096
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.34563
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.53694
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 14.9852
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.62929
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.61014
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.5938
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.58027
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.56952
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.56156
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.55637
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.55395
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.5543
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.403661
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.624527
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.862205
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.118682
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.396218
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.697486
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.025554
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.384174
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.777696
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.20359
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.656728
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15838
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73575
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40546
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07828
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83334
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.42167
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.39853
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.37731
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.35802
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.51521
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 14.95855
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.78617
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.76684
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.75035
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.73668
Ğ(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.72582
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.71777
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.71252
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.71006
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.7104
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.402315
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.623059
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.86062
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.116984
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.394382
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.695469
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.023378
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.381762
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.775026
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.19981
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.652559
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15378
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73171
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4009
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09607
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83501
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.58457
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.56112
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.53962
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.52007
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.4939
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 14.93241
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.94856
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.92905
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.9124
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.89859
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.88762
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.87948
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.87416
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.87167
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.87198
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.400967
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.621617
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.859056
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.115275
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.392501
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.693443
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.021164
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.379358
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.772411
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.196151
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.648529
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1493
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72769
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39636
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09781
â(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83698
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.75374
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.72997
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.70817
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.68834
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.47299
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 14.90677
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.11668
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.09697
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.08015
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.0662
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.05511
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.04688
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.0415
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.03896
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.03926
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.399597
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.620173
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.857503
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.113606
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.390712
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.691474
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.019011
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.377008
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.769802
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.192572
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.644584
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14492
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7237
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39188
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09982
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83927
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.92947
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.90536
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.88326
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.86315
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.45249
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 14.88165
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.29071
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.27081
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.25381
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.23971
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.2285
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.22017
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.21472
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.21213
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.21241
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.398264
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.61873
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.855945
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.111906
Ô(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.388893
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.689503
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.016848
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.374637
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.76721
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.18906
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.64073
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14064
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71975
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38738
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1021
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84185
(440.79, 14.67, 256.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78164
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.08764
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.06522
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.04481
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.43239
(440.79, 14.67, 256.37) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 14.85704
