¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ó(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.02114
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.305158
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.573949
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.867361
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.190724
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.548659
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.944956
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.38619
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.880011
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.437602
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07615
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80816
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.65847
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.65604
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.84325
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.31895
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.18719
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.70332
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.306732
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.575663
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.869239
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.192934
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.551105
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.947666
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.389177
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.883348
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.441586
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08074
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.81327
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.66419
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.66252
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.85057
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.32975
¢(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.20463
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.72676
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.308236
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.577302
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.871036
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.195048
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.553445
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.950262
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.392042
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.886558
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.445412
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08513
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.81816
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.66966
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6687
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.85751
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.33996
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.22116
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.74941
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.309672
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.578871
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.872756
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.197066
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.555679
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.952747
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.39478
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.889635
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.449073
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08932
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82282
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.67489
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.67461
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.86407
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.34957
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.23678
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.77083
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.311038
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.580367
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.874396
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.198989
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.557808
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.955117
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.397397
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.892579
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.452573
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09332
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82725
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.67987
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.68021
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.87025
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.35859
Ÿ(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.25147
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.79103
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.312335
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.581788
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.875955
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.200816
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.55983
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.95737
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.399883
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.895393
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.455909
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09702
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83146
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6846
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.68553
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.87605
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.367
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.26524
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.35504
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.313562
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.583138
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.877436
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.202546
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.561745
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.959509
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.402246
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.89807
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.459082
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1005
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83543
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.68908
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.69056
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.88146
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.37481
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.27806
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.367
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.314717
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.584413
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.878834
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.204177
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.563552
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.961534
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.404481
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.900615
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.46209
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.10379
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83917
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6933
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.69529
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.88649
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.38201
ï(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.28994
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.37701
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.315801
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.585613
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.880152
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.205712
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.565248
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.963439
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.406589
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.903024
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.464931
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1069
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.84268
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.69728
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.69973
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.89113
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.3886
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.30088
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.38513
(398.85, 13.98, 247.05) (437.92, 8.88, 245.89) (0.81, 2.16, 0.81) Human 22.29004
(398.85, 13.98, 247.05) (437.92, 8.88, 245.89) (0.81, 2.16, 0.81) Human 22.22722
(398.85, 13.98, 247.05) (437.92, 8.88, 245.89) (0.81, 2.16, 0.81) Human 22.21171
(398.85, 13.98, 247.05) (437.92, 8.88, 245.89) (0.81, 2.16, 0.81) Human 22.20056
(398.85, 13.98, 247.05) (437.92, 8.88, 245.89) (0.81, 2.16, 0.81) Human 22.19371
(398.85, 13.98, 247.05) (437.92, 8.88, 245.89) (0.81, 2.16, 0.81) Human 22.19274
(398.85, 13.98, 247.05) (437.92, 8.88, 245.89) (0.81, 2.16, 0.81) Human 22.44543
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.316815
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.586742
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.881388
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.207148
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.56684
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.965209
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.408568
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.905295
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.467607
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.10981
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.84595
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.701
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.70387
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.89549
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.39458
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56692
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.39132
(398.85, 13.98, 247.05) (437.92, 8.88, 245.89) (0.81, 2.16, 0.81) Human 22.2725
(398.85, 13.98, 247.05) (437.92, 8.88, 245.89) (0.81, 2.16, 0.81) Human 22.21204
(398.85, 13.98, 247.05) (437.92, 8.88, 245.89) (0.81, 2.16, 0.81) Human 22.19606
(398.85, 13.98, 247.05) (437.92, 8.88, 245.89) (0.81, 2.16, 0.81) Human 22.18444
(398.85, 13.98, 247.05) (437.92, 8.88, 245.89) (0.81, 2.16, 0.81) Human 22.17711
(398.85, 13.98, 247.05) (437.92, 8.88, 245.89) (0.81, 2.16, 0.81) Human 22.1757
(398.85, 13.98, 247.05) (437.92, 8.88, 245.89) (0.81, 2.16, 0.81) Human 22.39671
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.317757
²(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.587795
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.882595
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.208484
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.568321
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.966862
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.410419
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.907432
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.470113
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11253
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.84908
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.70447
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.7077
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.89976
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.39994
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56984
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.39559
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.318627
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.58877
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.883717
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.209723
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.569689
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.9684
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.412136
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.909429
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.472448
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11506
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.852
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.70767
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.71124
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.90367
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47425
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.57173
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.39795
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.319426
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.589653
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.884751
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.210862
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.570951
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.96982
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.413729
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.911291
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.474618
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1174
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8547
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71063
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.71448
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.90723
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47495
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.57265
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.3984
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.320152
Ë(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.590446
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.885692
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.211899
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.5721
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.971127
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.415188
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.913011
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.476617
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11954
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.85718
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71332
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.71741
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88941
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47487
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.57253
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.39689
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.320807
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.591162
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.886546
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.212839
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.573139
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.972315
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.416517
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.914595
