¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Î(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.49469
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.981276
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.288891
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.628599
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.199902
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.854284
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.10992
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.873123
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.787002
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.766687
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.76158
(362.79, 6.99, 353.18) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.41642
(362.79, 6.99, 353.18) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.18068
(362.79, 6.99, 353.18) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.96248
(362.79, 6.99, 353.18) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.880001
(362.79, 6.99, 353.18) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.800719
(362.79, 6.99, 353.18) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.724507
(362.79, 6.99, 353.18) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.678887
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.192658
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.191934
Ä(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.192614
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.194694
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.19818
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.203077
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.209385
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.935955
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.161693
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.404104
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.665073
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.946687
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.251438
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.627138
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.198274
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.852402
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.891386
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.811444
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.13022
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.2577
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.23645
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.737337
(362.79, 6.99, 353.18) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.204469
(362.79, 6.99, 353.18) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.981854
(362.79, 6.99, 353.18) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.829797
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.115624
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.110695
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.107156
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.105005
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.10424
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.104861
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.106866
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.11026
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.115045
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.121225
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.910537
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.134426
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.374838
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.633556
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.912644
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.214637
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.625392
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.196259
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.85011
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.50822
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.84662
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.97153
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.06985
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.04885
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.065
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.054519
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.045438
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.037753
Ä(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.031453
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.026532
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.022987
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.020814
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.02001
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.020576
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.02251
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.025815
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.030494
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.036553
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885465
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.107633
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.346034
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.602575
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.879235
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.178467
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.623336
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.193918
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.847366
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.41518
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.6979
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.81896
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.89023
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.86947
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.146335
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.973518
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.964496
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.956854
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.95058
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.945671
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.942121
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.939927
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.939087
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.9396
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.941467
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.944688
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.949268
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.955211
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860849
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.081237
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.317736
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.57213
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.846397
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.142928
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.620948
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.191165
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.84425
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.32461
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.55483
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.67225
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.71839
Ç(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.69787
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.59728
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.895679
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.886715
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.879114
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.872867
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.86797
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.864417
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.862205
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.861331
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.861794
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.863597
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.866739
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.871224
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.877057
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.836615
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055307
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.289912
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.542167
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.814116
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.116446
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.618205
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.188083
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.11624
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.190509
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.41714
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.53109
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.5539
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.53361
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.41334
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.905586
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.81196
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.8044
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.79818
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.793294
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.789739
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.787509
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.786603
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.787022
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.788764
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.79183
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.796225
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.801953
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.812769
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.029768
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.262541
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.51275
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.782391
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.113742
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.615207
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.184622
Ä(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.240471
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.292464
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47225
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.39988
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.39637
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.3763
(362.79, 6.99, 353.18) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.34508
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.117191
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.740103
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.732582
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.726389
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.721516
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.717958
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.715714
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.714778
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.715153
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.716836
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.719832
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.724142
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.72977
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.789298
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.00471
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.235637
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.483864
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75125
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.110786
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.611847
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.180799
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.379363
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.398406
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46624
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.115782
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.100781
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.16707
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.9082
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.344999
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.692822
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.663546
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.657379
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.652518
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.64896
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.646701
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.645739
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.646072
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.647702
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.65063
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.654857
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.660389
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.766272
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.980053
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.20922
µ(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.455451
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.720693
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.107541
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.608204
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.176617
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.827526
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.508536
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45962
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.141485
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.121051
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.16389
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.90668
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.59085
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.896736
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.597178
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.591036
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.586189
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.582631
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.580359
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.579371
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.579666
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.581243
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.584106
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.588255
(362.79, 6.99, 353.18) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.593698
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.743618
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.955808
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.183238
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.427564
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.690622
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.104034
(362.79, 6.99, 353.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.60421
