¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(431.74, 14.05, 336.58) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 13.62924
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 11.75728
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 11.73232
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 11.70974
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 11.64303
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 11.62523
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 11.60974
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.22831
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.21587
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.24238
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 14.07841
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.91914
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.130776
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.359424
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.607112
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.876241
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.169726
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.490895
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.843767
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.21425
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.650608
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.166997
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.750977
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41651
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14165
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87563
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71585
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68684
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86648
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.29702
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.27668
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.25898
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.24391
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.23145
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.25522
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.85155
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.908031
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.11883
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346465
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.593071
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860986
Ü(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.153042
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.472632
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.823694
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.201591
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.649755
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.166016
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.749571
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4118
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11896
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84981
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68619
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65244
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81532
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.31533
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.29496
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.27724
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.26214
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.24966
(431.74, 14.09, 335.99) (426.17, 13.40, 302.81) (8.74, 11.84, 17.47) Truck 13.27065
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.897059
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.106984
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.333714
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.579224
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.845934
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.136616
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.454648
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.803882
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.189598
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.646759
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.160177
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.740431
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40138
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09551
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82476
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65736
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61897
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76537
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15087
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.86083
(431.74, 14.09, 335.99) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.49594
(431.74, 14.09, 335.99) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.54428
(431.74, 14.09, 335.99) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.5967
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.886246
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.095334
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.3211
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.56558
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.831074
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.120893
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.447915
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.807997
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.198041
Ã(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.639736
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.15229
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.731512
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39116
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06839
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80034
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62936
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58653
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71668
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.09254
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77224
(431.74, 14.09, 335.99) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.6437
(431.74, 14.09, 335.99) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.69292
(431.74, 14.09, 335.99) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.74624
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.875583
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.083856
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.30868
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.56023
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834197
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.133502
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.461705
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.82323
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.20679
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.632926
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.144615
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.722783
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3812
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04191
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77666
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60219
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55502
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.66918
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03563
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.6867
(431.74, 14.09, 335.99) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.79754
(431.74, 14.09, 335.99) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.84767
(431.74, 14.09, 335.99) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.90195
(431.74, 14.09, 335.99) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.96041
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.870637
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.085672
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318391
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570899
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.845833
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.146233
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.475727
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.838693
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.215805
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.626245
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.137083
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.714262
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36658
¸(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01606
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75371
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57586
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5245
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63102
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98023
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61922
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.80752
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.82385
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.879143
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.094896
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.328324
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.581711
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.857644
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.159162
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.489937
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.85435
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.225111
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.633787
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.129763
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.705946
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3443
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99082
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72596
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55033
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49491
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59634
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.92629
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55356
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.67944
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.70565
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.887785
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.104235
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.338443
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.592719
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.869589
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.172262
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.504307
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.86359
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.234739
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.644426
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.122595
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.697825
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32252
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96621
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6979
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52558
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46628
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56279
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87376
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48966
Å(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.55439
(431.74, 14.09, 335.99) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 20.50315
(431.74, 14.09, 335.99) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 20.5198
(431.74, 14.09, 335.99) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 20.58926
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.896522
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.113655
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.348653
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.603823
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.881692
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.18551
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.518908
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.872594
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.244649
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.655385
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.115594
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.689889
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30131
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94217
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67052
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5017
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43859
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53034
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82265
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.42758
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.43234
(431.74, 14.09, 335.99) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 20.6821
(431.74, 14.09, 335.99) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 20.74874
(431.74, 14.09, 335.99) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 20.81988
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.900858
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.1232
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.359012
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.615052
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.893982
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.19892
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.533651
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.881867
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.254854
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.666676
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.123616
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.682198
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28064
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91878
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64879
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48228
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41181
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49905
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7814
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.36722
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32247
(431.74, 14.09, 335.99) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 20.91859
(431.74, 14.09, 335.99) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 20.98693
»(431.74, 14.09, 335.99) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 21.05983
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.901642
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.132852
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.369493
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.62642
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.906395
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.212543
(431.74, 14.09, 335.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.548611
