¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 3.963183
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6144
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.71955
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00908
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.49894
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.21929
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.30747
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.77941
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.177204
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.420364
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.684809
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.973412
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.284256
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.621161
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.992451
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.403439
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.860825
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.37278
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.949625
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59683
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32935
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99268
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73487
¶(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57371
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49746
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58318
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84932
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.31249
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.99651
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.06334
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.47834
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.158915
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.400075
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.662712
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949263
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.257151
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.59142
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.959563
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.366982
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.820148
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.32716
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.898047
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54501
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26997
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92185
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65491
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48257
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39334
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45036
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6939
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.13152
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78071
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.82181
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.18761
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.142511
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.379951
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.640806
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.925296
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.23032
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.561929
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.927024
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.330914
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.779949
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.282054
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.847109
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48761
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20937
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85257
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57664
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3936
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29177
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3223
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.54271
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.9558
¸(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.57947
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.58775
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.90685
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.126216
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.361973
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.619077
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.901562
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.203737
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.53275
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.894881
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.295255
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.740208
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.237489
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.796834
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43044
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14885
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78475
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50015
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30669
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19269
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2083
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39558
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.78517
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.39298
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.36106
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.63556
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.110046
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.344455
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.598891
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.878
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.177451
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.503879
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.863013
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.259986
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.700927
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.193493
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.747206
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37403
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08352
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71841
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42533
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22185
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09607
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09716
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.25479
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61943
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.21202
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.14151
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.37345
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.094019
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.327086
¼(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.579994
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.855373
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.151423
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.475317
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.831558
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.225139
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.66215
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.150041
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.698213
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31842
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01941
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65028
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35216
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13901
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00177
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98893
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12918
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46091
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.03635
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.92878
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.12016
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.078114
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.309857
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.561273
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834975
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.125725
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.447081
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.800433
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.190683
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.623795
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.107147
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.649893
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26356
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95658
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57993
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28063
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05818
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90985
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88344
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00691
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.31753
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.86587
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.72276
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.87533
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.062357
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.292758
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.542702
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.814727
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.103187
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.419124
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.769675
¸(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.156625
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.585912
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.064779
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.602207
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20945
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8951
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51112
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20346
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97925
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82017
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78062
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.88791
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.17816
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.70042
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.52312
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.63863
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.046679
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.275805
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.524306
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.794395
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.080866
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.394067
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.739238
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.122986
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.5485
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.022988
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.555164
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15615
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83491
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44378
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12765
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89844
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73273
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6805
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7721
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04268
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.53978
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.32966
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.40981
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.90935
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.031173
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.259013
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.506083
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774157
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.058809
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.369943
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.711291
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.089744
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.511583
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.981705
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.508717
©(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10357
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77601
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37792
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05354
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81522
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64706
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58295
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6594
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91099
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.38391
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.1422
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.18854
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.63616
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.63411
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.242388
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.488006
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.754152
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.036982
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.346055
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685051
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.058549
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.475137
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.940973
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.462934
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05175
(431.27, 10.27, 363.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71834
