¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.692207
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.167229
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.614953
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.116505
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.682069
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34506
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11136
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00278
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77656
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55219
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43956
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62105
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.512969
¶(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.781369
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.074286
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.396872
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.759268
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.160652
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.607613
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.108229
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.672718
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32959
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09346
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98184
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84614
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58875
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42541
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99389
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.51055
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.77869
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.071355
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.391929
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.753252
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.153971
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.600151
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.099846
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.663202
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3139
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07531
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97188
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9172
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66846
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.5155
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.19186
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.508052
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.776008
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.068434
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.388717
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.747153
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.147202
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.592627
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.091372
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.653601
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29807
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05699
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9697
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98973
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74989
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64317
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39246
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.505557
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.773277
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.06544
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.385434
¹(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.741012
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.140384
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.584951
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.082783
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.643911
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28208
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03848
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96688
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06376
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83309
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81766
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59561
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.503023
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.77054
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.062415
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.382139
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.734761
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.133451
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.577229
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.074116
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.634085
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26986
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01976
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96346
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1393
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91802
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99668
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80135
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.500448
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.767733
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.059398
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.378769
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.73003
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.126464
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.569431
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.065368
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.62418
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25858
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00089
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95941
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14492
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03041
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18035
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.497873
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.764915
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056303
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.375385
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.726303
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.119395
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.561555
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.056448
µ(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.614171
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24712
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9818
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95471
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13929
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19092
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.36886
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.495255
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.762066
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.05317
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.371965
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.722525
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.112241
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.553555
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.047541
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.604029
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23561
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96359
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9494
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08497
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22619
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34392
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.492633
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.759202
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.05002
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.368503
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.718733
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.105512
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.545507
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.038493
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.593788
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22391
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91429
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79494
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88626
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1349
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23753
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.489941
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.756279
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.046847
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.36504
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.714882
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.101263
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.537388
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.029363
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.583489
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21219
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87186
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63326
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.693
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00873
³(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.13297
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.487222
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.753318
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.043629
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.36151
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.710993
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.096964
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.52919
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.02016
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.573076
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20033
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83019
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47554
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50498
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77679
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03024
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.484529
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.7504
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.040382
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.357951
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.707078
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.092657
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.520905
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.010866
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.562567
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18838
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78925
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38457
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32205
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55173
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.9293
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.481783
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.74741
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.037127
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.354362
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.703135
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.088285
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.51571
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.001482
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.551969
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17631
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74898
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33963
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14403
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33329
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83014
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.47902
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.744353
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.033836
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.350755
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.69916
¸(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.083857
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.510765
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.99203
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.541323
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16416
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70948
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29555
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97073
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1212
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56825
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.476213
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.741325
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.030504
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.347087
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.695127
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.07942
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.505857
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.982519
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.53055
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14815
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67067
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25227
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90334
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91531
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.44975
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.473404
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.738262
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.027153
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.343419
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.691077
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.074911
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.500845
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.976066
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.519726
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11379
(436.69, 14.06, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63258
