¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.94729
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.713826
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40378
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20161
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13453
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23979
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53739
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.94364
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.92472
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.90836
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.89456
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.8833
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.87457
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.86835
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.934566
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.095156
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.267568
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.453213
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.653555
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.870351
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.10568
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.361953
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.642056
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94933
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287956
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.662826
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.079994
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.546977
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.07311
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.6703
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3538
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14363
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0664
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15861
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41177
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.97897
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.95998
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.94355
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.92968
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.91836
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.90957
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.90331
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.924028
¡(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.083854
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.25546
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.440187
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.639478
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.855138
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.08913
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.343947
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.622346
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.927695
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264078
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.636362
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.050519
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.513905
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.035805
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.627833
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.305
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08701
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99999
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07955
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27701
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.01706
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.99797
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.98147
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.96753
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.95615
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.9473
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.94099
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.913718
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.072801
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.243618
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.427399
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.625701
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.840197
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.07293
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.326305
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.603048
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.90651
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.240729
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.610472
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.021675
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.481584
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.999273
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.586333
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25739
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03181
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93522
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98562
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21093
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.05792
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.03874
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.02215
¤(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.00814
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.99669
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.98779
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.98143
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.903574
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.061981
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.231966
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.41487
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.612178
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.825557
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.057066
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.309004
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.584147
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885811
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.217861
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.585169
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.993453
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.449974
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.963659
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.545781
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21092
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.978
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87217
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89209
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1138
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.10162
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.08234
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.06566
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.05157
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.04005
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.03108
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.02467
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.893653
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.051322
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.220557
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.402588
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.598919
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.811267
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.041502
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.29208
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.565658
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.865508
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.195507
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.560376
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.9659
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.419104
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.928823
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.506213
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16559
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92553
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81075
¯(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80113
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00472
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.14818
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.1288
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.11203
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.09785
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.08625
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.07722
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.07074
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.883918
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.040921
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.209371
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.390579
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.585982
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.797196
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.026314
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.275518
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.547544
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.845626
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.173646
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.536178
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.938944
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.388927
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.894848
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.467626
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12136
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87439
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7509
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73511
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8987
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.19767
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.17818
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.1613
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.14703
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.13535
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.12624
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.11971
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.874382
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.030704
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.198416
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.378803
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.573289
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.783481
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.011416
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.259304
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.529852
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.826217
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.152233
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.512503
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.91262
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.359465
®(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.861618
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.429939
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07825
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82454
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69267
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67855
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79572
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.25014
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.23053
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.21354
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.19917
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.1874
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.17822
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.17161
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.865049
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.020713
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.187707
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.367255
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.560854
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.770065
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.996842
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.243434
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.512523
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.807272
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.131351
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.489389
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.886928
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.330704
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.829276
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.393227
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03623
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77601
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63595
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62374
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69566
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87635
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.28589
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.2688
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.25432
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.24245
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.23319
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.22651
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.855913
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.010936
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.177226
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.355982
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.548698
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.756907
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.98261
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.227949
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.495624
³(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.788714
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.110942
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.466832
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.861817
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.30267
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.797651
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.357404
