¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ò(394.91, 13.96, 249.26) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.91894
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.931296
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.269524
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.648856
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.082305
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.557364
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.106835
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.723414
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41394
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24385
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22351
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.38962
£(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.81297
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.59145
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.86706
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.95249
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.855619
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.090649
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.346624
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626447
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.933631
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.272083
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.652339
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.086209
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.560899
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.110848
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.726945
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.42049
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.25136
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.23301
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.40054
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.82755
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.60902
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.89003
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.00016
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.857247
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.092418
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.348554
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.628568
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.935963
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.274639
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.655767
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.090052
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.564367
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.11479
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.730465
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.42694
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.25877
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24239
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.41136
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.84133
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.62634
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.91267
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.04759
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.858871
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.094184
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.350481
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.630684
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.938291
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.277191
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.659138
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.093102
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.567766
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.118592
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.733978
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43331
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.26608
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25165
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.42204
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.85494
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.64339
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.93497
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.0941
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.860492
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.095946
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.352405
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.632796
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.940612
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.279737
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.662451
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.095611
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.571097
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.122314
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.737477
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43959
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.2733
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.26078
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.4326
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.86836
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.65922
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.95693
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.13968
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.862109
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.097705
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.354324
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.634902
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.94293
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.28228
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.665705
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.098105
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.574358
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.125959
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.740966
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.44577
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28043
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.26978
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.44304
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.8816
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.67483
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.97854
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.18431
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.863723
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.099461
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.356239
¡(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.637003
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.945241
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.284816
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.668905
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.100589
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.577551
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.129532
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.744448
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.45187
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28774
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27866
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.45334
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.89469
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.69021
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.9998
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.22795
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.865332
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.101211
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.358148
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.639099
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.947545
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.287345
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.67204
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.103055
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.58067
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.133022
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.747912
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.45786
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29518
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.28739
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.46397
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.90778
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.70535
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.02069
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.27059
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.866938
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.102957
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.360054
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.641188
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.949843
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.289868
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.675118
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.105507
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.583719
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.136437
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.751366
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.46376
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30249
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.29598
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.47457
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92066
£(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.72025
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.04122
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.31222
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.868538
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.104697
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.361952
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643271
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.952134
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.292386
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.678134
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.107945
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.586695
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.139771
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.754803
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.46956
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30968
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30432
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.48502
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.93331
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.73491
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.06137
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.35281
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.870133
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.106431
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.363844
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.645348
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.954404
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.294894
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.681089
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.110367
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.589599
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.143025
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.758227
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.47525
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.31674
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31252
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.49529
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.94572
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.74933
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.08113
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.39234
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.871723
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.108161
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.365731
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.647415
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.956666
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.297395
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.68398
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.112772
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.592427
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.146197
Ÿ(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.761638
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48085
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.32367
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.32059
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.5054
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.95791
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.76348
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.1005
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.43078
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.873307
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.109883
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.367612
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.649475
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.958922
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.299886
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.68681
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.115161
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.595183
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.149289
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.76503
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48634
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.33047
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.32852
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.51534
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.96985
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.77739
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.12055
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.46812
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.874885
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.111599
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.369484
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.651525
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.961168
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.302369
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.689575
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.117533
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.597862
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.152297
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.768407
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.49174
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.33714
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3363
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.52509
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.98155
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.79104
(395.14, 13.94, 248.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.14046
