¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.704536
(392.99, 14.74, 307.58) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 21.33705
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.117484
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.128134
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.14002
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.153152
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.167546
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.183217
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.200179
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.218449
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.238048
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.301941
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70311
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50545
(392.99, 14.74, 307.58) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.95604
(392.99, 14.74, 307.58) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.99665
(392.99, 14.74, 307.58) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 12.0399
(392.99, 14.74, 307.58) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 12.08582
(392.99, 14.74, 307.58) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 12.13447
(392.99, 14.74, 307.58) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 21.4612
(392.99, 14.74, 307.58) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 21.48088
(392.99, 14.74, 307.58) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 21.5901
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.989929
ƒ (392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.977565
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.98817
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.999985
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.013021
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.027292
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.042811
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.059596
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.077661
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.301385
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68728
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49951
(392.99, 14.74, 307.58) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 12.23478
(392.99, 14.74, 307.58) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 12.27802
(392.99, 14.74, 307.58) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 12.32398
(392.99, 14.74, 307.58) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 12.37271
(392.99, 14.74, 307.58) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 12.42425
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.031566
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.001865
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.973613
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.94678
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.921337
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.897257
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.894218
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.909647
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.934129
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01991
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67143
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49277
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6471
(392.99, 14.74, 307.58) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 12.57526
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84821
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.12575
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.03461
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.074975
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.045061
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.016609
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.989585
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.963958
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.939706
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.916798
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.89521
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.933623
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00916
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65565
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48524
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65161
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.26262
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.23252
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.20513
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.04114
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.120214
à(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.09008
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.061416
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.034193
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.008379
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.983945
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.960868
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.896981
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.421286
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.998503
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63991
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47694
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64643
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.99119
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.96703
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.98711
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.00981
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.03512
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.167341
(392.99, 14.74, 307.58) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.136977
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.95032
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.266052
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.613371
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.997222
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.423172
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.88994
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.41339
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.987881
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62419
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46787
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60368
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.0705
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.08862
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.10934
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.13269
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.15869
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.396493
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.660404
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.948422
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.263977
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.611108
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.994683
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.416892
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.882844
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.40542
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.97738
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60856
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45802
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53197
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.19625
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.21501
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.23639
Ğ(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.26044
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.28717
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.394882
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.658652
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.946513
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.261887
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.608792
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.992126
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.410601
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.875755
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.397451
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.966978
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59474
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44741
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46058
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.32696
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.34638
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.36847
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.39325
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.42075
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.393231
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.656872
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.944553
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.259707
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.606399
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.9895
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.406554
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.868654
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.389435
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.956665
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58307
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43584
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3902
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37203
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.48295
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.50578
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.53133
(392.99, 14.74, 307.58) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 13.55963
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.391564
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.655023
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.942571
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.257546
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.603992
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.986814
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.402494
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.861523
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.381407
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.946465
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57145
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37791
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32205
¶(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36988
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12314
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.84248
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.81252
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.389857
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.653184
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.940519
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.255286
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.601506
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.9841
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.398485
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.854348
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.373355
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.9363
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55998
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32038
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25445
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36843
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86182
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.67575
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.63989
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.38906
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.651275
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.938445
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.253017
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.599013
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.981305
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.394514
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.84721
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.365309
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.926272
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54861
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26326
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18737
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36777
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61032
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.51325
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.54006
(392.99, 14.74, 307.58) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 24.777
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.388647
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.649359
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.936339
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.250706
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.596455
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.978487
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.390516
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.840061
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.357246
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.916332
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53733
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2066
Ø(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12085
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2883
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36813
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.67988
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.44366
(392.99, 14.74, 307.58) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 23.33551
(392.99, 14.74, 307.58) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 24.26947
(392.99, 14.74, 307.58) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 24.2915
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.388242
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.64738
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.934198
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.248348
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.593886
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.97562
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.386608
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.833889
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.349165
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.906497
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51405
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1635
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05486
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20494
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13486
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.36989
(392.99, 14.74, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.35061
(392.99, 14.74, 307.58) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 22.30374
(392.99, 14.74, 307.58) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 22.49211
