¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.460546
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.567577
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.573068
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.746999
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.055436
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.399471
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.768241
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.194145
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.651045
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.177114
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.975942
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.957487
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.958984
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.972635
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.014123
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.057492
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.168453
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.318271
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.561091
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.552461
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.545128
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.539085
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.534326
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.530846
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.528641
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.527711
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.528053
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.529668
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.532558
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.536726
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.542174
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.745317
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.053015
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.396956
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.764899
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.189979
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.64683
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.172046
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.944995
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.928245
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.941801
Ş(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.981586
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.023207
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.093186
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.238592
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.391554
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.531856
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.523249
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.515933
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.509901
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.505147
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.501667
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.499457
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.498514
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.498839
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.500432
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.503293
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.507425
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.512834
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.743498
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.050397
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.394277
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.761933
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.185542
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.642392
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.166782
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.961805
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.938442
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.012372
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.089295
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.169335
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.252635
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.33934
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.467416
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.504137
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.49555
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.48825
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.482229
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.47748
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.474
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.471785
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.470832
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.47114
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.472711
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.475545
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.479646
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.485016
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.741544
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.047584
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.391438
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.758791
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.18084
ì(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.637743
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.161304
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.303501
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.273539
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.248752
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.260057
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.340264
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.428084
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.467443
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.454628
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.562505
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.547716
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.534263
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.522135
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.511322
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.501807
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.493584
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.486646
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.480985
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.476594
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.47347
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.471611
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.471014
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.739453
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.044576
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.388438
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.75547
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.175871
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.632873
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.154427
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.7147
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.650301
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.620276
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.594027
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.468988
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.453193
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.438911
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.426129
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.904213
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.888512
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.874221
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.861323
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.849806
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.839659
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.830872
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.823437
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.817344
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.81259
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.809169
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.807077
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 6.806313
¾(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.737228
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.041375
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.385278
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.751972
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.170639
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.627791
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.147248
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.708107
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.35166
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.037948
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.007792
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.979415
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.830698
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.807986
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.786919
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.767474
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.268234
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.252988
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.239217
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.226902
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.216036
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.206604
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.198596
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.19201
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.186834
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.183065
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.1807
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.179734
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.73487
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.037979
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.381746
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.748298
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.165144
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.622495
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.139766
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.701303
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34299
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07992
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.473578
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.443214
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.290108
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.265849
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.243334
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.22254
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.693852
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.67752
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.662748
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.649521
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.637825
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.627651
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.618986
µ(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.611825
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.606156
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.601978
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.599285
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 7.598075
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.732379
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.034395
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.377784
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.744452
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.159392
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.61699
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.131988
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.694296
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33408
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06645
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.998782
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.966133
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.935456
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.782588
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.758411
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.736062
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.174122
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.156534
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.14061
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.126324
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.113669
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.102633
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.093202
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.085363
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.079117
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.074451
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.071365
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.069853
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.729755
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.031297
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.373612
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.740431
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.153382
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.611278
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.123915
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.68708
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32492
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05259
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.8881
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 9.560103
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 9.526911
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 9.370193
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 9.344089
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 9.31994
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 9.297725
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.701112
¤(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.683838
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.668321
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.654543
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.642489
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.632153
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.623519
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.61658
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.61133
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.607764
(428.24, 15.02, 245.61) (444.27, 9.20, 265.78) (6.52, 3.13, 8.29) Truck 8.605877
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.727
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.028275
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.369232
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.736238
