¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ı(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.321876
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.66548
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.934679
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.227998
¹(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.548786
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.900967
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.289294
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.719581
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.198866
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.735913
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34171
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07733
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93036
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83396
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54855
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40726
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.11142
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.43054
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63344
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.43962
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.419544
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.667586
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.936981
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.230509
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.551523
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.903986
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.292626
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.723296
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.202993
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.740583
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34341
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05916
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90924
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86085
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57857
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48362
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12706
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.39027
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.58291
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.37435
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.421521
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.669733
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.93931
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.23308
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.554333
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.907066
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.296031
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.727079
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.207232
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.745317
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34376
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0512
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8882
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87886
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64068
Å(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56167
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.14106
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35069
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.53327
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.31028
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.423556
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.671934
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.941709
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.235671
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.557174
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.910197
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.299516
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.73092
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.211529
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.750149
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34426
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04344
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87878
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85415
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71057
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64146
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15342
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.3118
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.48452
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.24739
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.425604
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.674174
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.944132
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.238307
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.560075
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.913389
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.303026
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.734846
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.215916
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.752225
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34488
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03571
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.364
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.32773
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.29388
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.26242
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.23333
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.20656
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.1821
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.18568
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.427717
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.676436
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.946595
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.241017
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.56304
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.916637
á(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.306639
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.738836
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.220371
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.752909
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34566
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02799
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.4123
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.37752
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.34516
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.31518
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.28756
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.26226
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.94207
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.12514
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.429842
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.678758
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949106
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.243752
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.566033
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.919948
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.310286
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.742904
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.224886
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.753717
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34657
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0203
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.52005
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.48488
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.45215
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.42183
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.39388
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.36828
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.71419
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.06577
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.430341
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.680519
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.951678
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.246542
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.569093
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.923301
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.313997
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.747034
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.227666
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.754661
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34762
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01965
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.63216
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.59659
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.56347
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.53279
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.50451
Û(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.47859
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.49761
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.53778
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.429396
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.67948
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.951231
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.247499
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.571676
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.92672
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.317783
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.751221
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.228613
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.755713
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34885
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02101
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.74881
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.71281
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.67929
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.64823
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.6196
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.59335
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.2916
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.26774
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.428447
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.678456
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.950118
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.246284
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.570368
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.926405
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.319268
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.754928
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.229684
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.756934
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35019
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02255
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82326
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.83373
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.79979
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.16585
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.1403
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.11684
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.09546
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 11.00763
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.42752
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.677474
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949026
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.245102
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.569085
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.924979
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.317712
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.753197
ë(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.230849
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.758228
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.13385
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.09819
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.06474
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.03783
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.02843
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.02101
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.01554
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.01203
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.01048
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.757
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.426655
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.676512
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94802
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.24398
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.567825
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.923623
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.31621
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.751534
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.23213
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.75968
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.18463
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.16924
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.15588
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.14453
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.13518
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.12782
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.12243
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.11903
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.1176
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.51541
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.425797
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.675595
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.947009
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.24288
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.566647
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.922297
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.314742
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.749897
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.23354
(424.08, 14.83, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.761249
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.2956
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.2802
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.26684
(424.08, 14.83, 246.36) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 10.25551
