¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ò (416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.10767
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.358356
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.346798
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.546553
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.166314
(416.67, 13.04, 329.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.90243
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.194319
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.194269
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.195622
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.19838
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.202544
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.208119
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.215111
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.223526
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.233372
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.244658
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.257399
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.277802
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.295655
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.87289
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.741259
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.762635
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.432944
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.412128
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.392688
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.374604
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.357859
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.342434
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.328314
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.315486
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.303937
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.603976
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.235395
(416.67, 13.04, 329.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.20984
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.089715
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.089413
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.090493
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.092957
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.096806
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.102045
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.108679
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.116713
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.126155
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.137018
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.149309
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.980274
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.013189
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.699342
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.624845
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.645616
€!(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.391553
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.3708
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.351414
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.333378
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.316671
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.301278
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.287181
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.27437
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.262827
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.661893
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.305192
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.502897
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.989407
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.988868
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.989696
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.991883
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.995438
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.000361
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.006659
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.014337
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.0234
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.033862
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.04573
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.396477
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.052553
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.58758
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.585094
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.584087
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.351873
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.331182
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.311851
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.29386
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.277192
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.261828
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.247756
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.23496
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.223426
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.720293
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.322774
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.895286
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.893185
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.892428
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.893015
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.894948
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.898226
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.902853
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.908834
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.916176
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.924886
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.934969
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.946439
„!(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.291999
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.938543
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.691239
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.688675
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.68761
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.31386
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.293227
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.273948
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.256001
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.239371
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.224039
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.209989
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.197208
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.222444
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.779162
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.156369
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.803135
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.800848
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.799887
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.800251
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.801942
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.804961
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.80931
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.814995
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.82202
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.830394
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.840121
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.851216
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.191808
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.829215
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.799312
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.591161
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.795537
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.277466
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.256891
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.237663
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.21976
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.203165
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.187863
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.173836
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.161071
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.272225
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.838488
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.072917
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.714664
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.712202
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.711051
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.711207
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.712673
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.715449
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.719537
€!(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.724943
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.73167
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.739727
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.749119
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.759858
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.268464
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.499436
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.808872
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.806171
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.810292
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.242653
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.222134
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.202953
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.185093
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.168535
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.153261
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.139257
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.126508
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.3223
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.898256
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.021531
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.629699
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.627076
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.625745
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.625709
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.626963
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.62951
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.633353
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.638495
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.644942
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.6527
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.661776
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.67218
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.145079
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.751676
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.768404
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.786726
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.941757
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.209381
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.188915
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.169783
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.151963
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.13544
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.120195
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.106213
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.09348
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.372655
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.958445
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.552134
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.548081
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.545307
ƒ!(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.543811
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.543592
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.544647
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.546979
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.550592
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.555486
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.561668
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.569144
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.577921
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.588007
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.040829
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.65345
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.669747
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.043233
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.079351
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.177613
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.157198
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.138112
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.120333
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.103843
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.088626
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.074665
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.061948
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.423273
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.934191
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.473835
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.469656
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.466742
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.46509
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.464698
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.465568
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.467699
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.471094
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.475754
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.481687
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.488897
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.49739
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.507175
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.666718
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.679402
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.575022
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.629082
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.223462
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.147315
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.126951
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.107908
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.090168
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.07371
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.05852
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.04458
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.031878
„!(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.47414
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.892203
(416.67, 13.04, 329.00) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.398575
