¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(432.58, 14.49, 325.66) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 13.47608
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83117
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71576
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73272
(432.58, 14.49, 325.66) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 14.67493
Û(432.58, 14.49, 325.66) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 14.70664
(432.58, 14.49, 325.66) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 14.74137
(432.58, 14.49, 325.66) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 14.77915
(432.58, 14.49, 325.66) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 14.82003
(432.58, 14.49, 325.66) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 21.37318
(432.58, 14.49, 325.66) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 21.40885
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.92405
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.89331
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.86749
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.84656
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.83051
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.81931
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.81295
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.81144
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.531717
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.81069
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.577111
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.922982
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.303635
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.725621
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.204971
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.742066
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34787
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03628
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82154
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70458
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72341
(432.58, 14.49, 325.66) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 14.75124
(432.58, 14.49, 325.66) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 14.71751
(432.58, 14.49, 325.66) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 14.68679
(432.58, 14.49, 325.66) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 14.65906
(432.58, 14.49, 325.66) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 14.63553
(432.58, 14.49, 325.66) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 21.43195
(432.58, 14.49, 325.66) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 21.4679
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.88519
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.85608
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.83169
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.81199
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.79695
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.78657
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.78082
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.77972
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.527755
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.249149
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.573224
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918681
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.298876
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.71924
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.193003
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.728585
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33259
Ú(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02347
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81179
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6933
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71406
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85819
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22022
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50402
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.86486
(432.58, 14.49, 325.66) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 21.46323
(432.58, 14.49, 325.66) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 21.49517
(432.58, 14.49, 325.66) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 21.53141
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.93377
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.90614
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.88303
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.86442
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.85028
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.84063
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.83542
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.83467
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.948123
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244442
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.568727
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.914323
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.294113
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.713898
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.180903
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.714993
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31721
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01219
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80193
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68192
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70469
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84719
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12708
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.31958
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82787
(432.58, 14.49, 325.66) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 21.53065
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.76081
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.73303
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.76574
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.86633
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 17.07598
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.9935
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.98018
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.97116
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.96643
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.96598
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.943786
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.239661
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.563485
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.909949
ß(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.289244
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.708523
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.17438
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.701319
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3069
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00072
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79199
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67037
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69303
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83612
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96477
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13981
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 17.14775
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.88801
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.77537
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.73726
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.75906
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.84679
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 17.03626
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.19048
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.17789
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.16944
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.16512
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.16493
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.939332
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.234837
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.558162
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.905494
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.284338
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.703079
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.168352
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.688191
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29669
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98909
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78192
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65873
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67941
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82151
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78526
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.96459
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 17.21923
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.30785
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.79484
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.74477
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.75559
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.83045
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.99986
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 17.41346
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.48684
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.48342
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.484
å(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.48857
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.934813
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.229914
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.552801
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.900992
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.279401
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.697619
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.162212
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.681252
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28637
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97727
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7701
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64696
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66562
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.25375
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.26195
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.27295
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.28674
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.30336
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.81776
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.75556
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.75532
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.81729
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.96676
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 17.33161
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.60387
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.60042
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.60099
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.60558
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.930253
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.224942
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547315
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896473
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.274374
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.692074
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.15603
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.674326
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27591
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96531
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75629
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63509
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65174
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.25202
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.26022
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.2712
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.285
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.30161
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.84414
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.76964
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.75825
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.81076
Ü(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.95007
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 17.25364
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.72631
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.72283
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.7234
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.728
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.925613
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.219845
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.541765
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.891882
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.269335
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.686468
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.149782
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.66732
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26527
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95314
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7423
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62312
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58442
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40429
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.26118
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.27217
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.28596
(432.58, 14.49, 325.66) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 14.30258
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.87402
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.78702
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.76439
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.81694
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.94314
(432.58, 14.49, 325.66) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 17.19187
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.8543
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.8508
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.85135
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.85598
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.920928
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.214748
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.536125
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.887258
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.264208
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.680815
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.143499
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.660287
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25451
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94085
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72814
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61104
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45563
