¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ï(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 22.2223
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95445
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.84524
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.89384
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.08334
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59625
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.31492
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.35074
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.65063
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.37
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.773425
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.005392
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.260816
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.541656
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.847629
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.182099
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.545798
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.946756
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.397475
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.913251
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.514781
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19528
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97677
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.87223
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.92675
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.12022
İ(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64678
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.3723
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.4217
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.72701
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.43901
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.778744
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.011175
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.266917
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.548347
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.855331
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.190947
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.555606
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.958055
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.40996
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.926202
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.529447
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21329
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.99918
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.89935
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.95988
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11221
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69796
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.43071
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.49405
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.94667
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.51027
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.784065
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.016962
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.273006
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.555026
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863034
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.199831
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.565451
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.969417
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.422498
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.939157
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.544101
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.23131
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0217
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.9266
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84374
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15718
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.74972
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.49019
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.56775
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.01275
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 13.24707
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 13.24635
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 13.24822
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 13.25267
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.789391
÷(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.022756
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.279081
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.561691
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.870737
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.208751
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.575338
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.980844
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.435089
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.952114
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.558741
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.24934
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04432
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.95399
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87967
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20236
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80215
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.55076
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.64281
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.0808
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 13.15522
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 13.15451
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 13.15636
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 13.16078
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.794719
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.02855
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.285142
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.568341
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.878438
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.217702
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.585264
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.992332
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.447729
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.965069
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.573362
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26737
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06703
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81271
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91597
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24783
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.85514
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.61238
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.70662
(416.50, 14.64, 247.51) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 22.10535
(416.50, 14.64, 247.51) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 21.99425
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 13.06718
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 13.06646
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 13.0683
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 13.07268
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.800048
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.034348
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.291189
ƒ(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.574975
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.886135
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.226685
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.595224
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.003879
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.460417
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.978021
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.58796
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2854
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08983
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84455
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95268
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.29353
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90876
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.67508
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.76709
(416.50, 14.64, 247.51) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 21.965
(416.50, 14.64, 247.51) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 21.86318
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 12.98282
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 12.9821
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 12.98392
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 12.98827
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.805378
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.040145
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.297216
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.581588
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.893827
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.235608
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.605218
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.015485
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.473151
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.991435
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.602535
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.30343
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11271
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87382
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98972
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33944
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.96304
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.73885
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82887
(416.50, 14.64, 247.51) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 21.8308
(416.50, 14.64, 247.51) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 21.73788
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 12.90526
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 12.90204
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 12.90133
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 12.90313
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 12.90745
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.810707
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.045942
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.303226
­(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.588183
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.901511
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.244109
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.615244
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.027143
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.485927
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.00587
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.617081
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32144
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91006
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89875
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0246
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3856
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01788
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.80372
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.89205
(416.50, 14.64, 247.51) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 21.70256
(416.50, 14.64, 247.51) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 21.61819
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 12.82795
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 12.82474
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 12.82403
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 12.82582
(416.50, 14.64, 247.51) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 12.83011
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.816033
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.051738
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.309215
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.594756
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.908781
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.252604
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.625301
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.038557
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.498741
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.020354
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.631595
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.720702
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.678868
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.662344
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.647874
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.635342
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.624757
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.616314
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.609831
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.605423
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.603097
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.603037
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.605149
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.609743
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.696403
(416.50, 14.64, 247.51) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 12.57711
(416.50, 14.64, 247.51) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 12.57863
(416.50, 14.64, 247.51) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 12.5826
»(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.821543
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.057531
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.315184
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.601308
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.916002
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.261087
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.635387
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.049808
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.511598
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.034883
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.6754
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.590554
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.561684
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.541983
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.524085
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.507973
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.493654
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.481071
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.470274
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.461192
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.453882
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.448279
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.444382
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.442439
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.469938
(416.50, 14.64, 247.51) (395.98, 8.10, 251.14) (0.81, 2.16, 0.81) Human 8.5675
(416.50, 14.64, 247.51) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 12.62449
(416.50, 14.64, 247.51) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 12.61037
(416.50, 14.64, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.827389
