¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(424.91, 9.52, 363.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.113496
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82652
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2304
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6588
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13234
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.169209
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.394499
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643523
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.331011
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.639028
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.983182
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.3615
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.779256
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.255029
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.787778
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3672
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93367
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54823
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97674
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44074
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92366
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31585
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73531
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18491
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48694
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74043
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00591
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28416
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62411
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01454
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.42821
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86722
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33382
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.157737
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.384265
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.632425
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.316889
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.625455
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.968274
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.345089
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.761112
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.230967
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.760776
ñ(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32022
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88129
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50921
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00349
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46972
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90117
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29188
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70979
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15763
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57818
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83499
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10398
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4325
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81023
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21015
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63419
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0844
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56322
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.146367
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.376002
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.621447
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.302916
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.612007
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.953558
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.328861
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.743168
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.207113
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.734021
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27408
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82987
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45157
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03162
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50012
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88045
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26988
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68632
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13262
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61193
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.9334
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25095
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.61679
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00383
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41166
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.82765
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2687
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.1351
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.365039
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.610589
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.289126
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.59874
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.938985
÷(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.312828
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.725418
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.183475
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.707541
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22879
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77939
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.395
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06116
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4978
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86153
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24978
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66491
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10974
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59466
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0547
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39236
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7487
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12518
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.52331
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94506
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48247
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.12394
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.352968
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.997495
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.275759
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.585583
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.924568
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.296981
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.707911
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.163515
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.681362
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1843
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72983
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33951
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02513
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48167
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85631
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26042
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69347
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15867
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65953
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12621
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49317
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.85432
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23594
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63968
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.06748
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.112884
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.341012
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.985103
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.263879
÷(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.57259
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.910339
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.281332
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690598
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.144276
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.65389
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14064
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68125
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29886
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99629
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52709
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90802
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31553
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75237
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22173
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69984
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.16215
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59805
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96422
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35128
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.76093
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.09567
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.101937
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.329175
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.972902
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.252095
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.559734
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896249
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.265807
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.673487
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.125261
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.622591
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11823
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66985
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28742
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9834
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56669
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96188
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37294
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81374
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28743
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7361
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20078
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69891
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.07861
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47138
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.27644
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.0911
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.317459
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.96082
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.240488
ı(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547048
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882394
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.250278
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.654042
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.101251
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.599136
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10948
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66014
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27654
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94317
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51982
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0179
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43269
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87759
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33816
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7749
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2421
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74301
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1976
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59632
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.75443
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.080371
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.693572
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.948892
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.228963
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.53354
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.865732
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.2302
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.631884
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.076646
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.571729
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10119
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65088
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26615
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90191
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47439
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07613
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49481
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94406
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37705
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81621
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28613
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79007
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.32135
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51319
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.069755
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.680707
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.936675
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.214511
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.517041
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.847692
ÿ(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.210372
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.609985
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.052382
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.544626
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09333
(425.05, 9.55, 363.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64213
