¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.29056
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72895
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10856
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84962
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.70664
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.916214
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.102988
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.301549
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.484499
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.651146
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.826978
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.012696
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.13365
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.226491
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323124
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.423707
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.518297
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.614424
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.714519
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.818634
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.927051
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.039973
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.157568
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.280117
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.596313
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.951946
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33706
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70205
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25873
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02447
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.701105
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.90448
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.090512
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.279566
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.435497
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.599766
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.772987
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.955916
¶(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.0897
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.181356
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.276784
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.376122
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.479548
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.576472
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.675562
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.778661
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.886044
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.997843
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.114274
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.235575
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.52856
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.879039
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25835
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72778
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41857
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.695523
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.893178
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.078559
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.234077
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.387845
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.549772
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.720533
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.900745
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.047359
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.137943
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.232228
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.330359
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.432506
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.538879
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.638383
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.740553
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.84691
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.957633
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.07299
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.193145
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.463226
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.808775
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18257
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87465
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58511
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.689916
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.882355
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.045648
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.189832
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.341504
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.501218
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.66953
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.847151
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.00669
·(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.096214
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.189392
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.286387
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.387327
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.492455
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.601912
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.704209
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.809603
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.919333
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.033625
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.152706
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.400314
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.741139
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10962
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02748
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75878
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.684281
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.8691
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.004493
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.146797
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.29644
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.453975
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.619966
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.79509
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.967596
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.056136
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.148269
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.244123
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.343918
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.447856
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.556068
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.668807
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.774128
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.882913
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.996202
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.114227
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.339718
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.676012
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12665
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18661
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93995
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.678658
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.83075
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.964466
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.104923
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.252634
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.408065
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.571828
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.744515
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.92686
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.017635
º(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.108741
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.203566
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302286
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.405064
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.512086
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.623596
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.739776
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.848274
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.960643
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.07766
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.281326
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.613307
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19925
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35235
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.674485
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.793478
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.92553
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.06425
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.210053
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.363445
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.525046
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.695434
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.875256
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.980722
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.070862
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.164717
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.262383
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.364053
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.469931
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.580227
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.695146
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.814945
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.926919
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.043041
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.225174
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.553047
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27445
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52507
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.670302
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.763449
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.887677
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.024689
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.168673
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.320116
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.479606
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.647742
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.825175
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.945327
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.034591
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.127447
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.224118
¸(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.324791
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.42958
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.538708
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.652454
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.770988
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.89456
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.010245
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.171167
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.602072
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3523
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70514
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.666124
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.753718
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.850904
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.986237
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.128438
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.278026
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.435516
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.601452
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.776516
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.911487
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.999861
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.091833
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.187538
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.287175
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.390966
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.499023
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.611596
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.728936
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.85126
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.978861
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.119208
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671329
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43293
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.65826
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.744771
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834913
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.948872
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.089376
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.237155
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.392701
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.556542
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.729383
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.879102
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.966638
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.057769
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.152573
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.251277
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.354052
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.461071
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.572598
¹(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.688774
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.809923
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.936246
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.077157
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.74294
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66167
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.650378
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.736639
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.826526
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.920196
(423.01, 14.84, 245.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.051456
