¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
è(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.801635
(329.92, 7.29, 366.60) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.039679
(329.92, 7.29, 366.60) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.016037
(329.92, 7.29, 366.60) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.993912
(329.92, 7.29, 366.60) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.97328
(329.92, 7.29, 366.60) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.986305
(329.92, 7.29, 366.60) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.040677
(329.92, 7.29, 366.60) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.097298
(329.92, 7.29, 366.60) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.169509
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.17735
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.49939
(329.92, 7.29, 366.60) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.45478
(329.92, 7.29, 366.60) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.70574
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.77781
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.83889
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.3467
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.77485
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.647499
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.956822
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.297828
(329.92, 7.29, 366.60) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.111901
(329.92, 7.29, 366.60) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.071625
(329.92, 7.29, 366.60) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.049376
(329.92, 7.29, 366.60) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.028635
(329.92, 7.29, 366.60) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 7.031159
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.10304
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.08181
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.18669
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.30099
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.5805
(329.92, 7.29, 366.60) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.69835
(329.92, 7.29, 366.60) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.91346
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.61428
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.1283
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.19044
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.74025
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.637425
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.945733
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.285569
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.66194
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.080977
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.139748
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.705273
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.2777
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.25423
ˆ(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.23287
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.31183
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.42934
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.66389
(329.92, 7.29, 366.60) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.95309
(329.92, 7.29, 366.60) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 14.17695
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.45611
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.96098
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.04002
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.76466
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.627205
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.934486
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.273137
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.648129
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.065549
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.121248
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.684303
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32359
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.41205
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.39055
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.44171
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.56261
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.74963
(329.92, 7.29, 366.60) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 14.21972
(329.92, 7.29, 366.60) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 14.45292
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.30312
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.79925
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.94331
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.77969
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.616843
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.923085
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.260537
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.634134
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.049919
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.102451
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.663023
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29936
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.57685
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.55521
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.57656
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.70103
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.83778
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.27549
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46085
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.15517
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.64294
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.0576
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.79904
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.606342
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.911534
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.247772
ş(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.619958
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.034092
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.083452
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.641552
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27486
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.74904
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.72726
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.71661
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.84483
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.97831
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.37386
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2202
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50563
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.49189
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00166
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.82271
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.595705
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.899835
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.234848
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.605609
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.018072
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.479583
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.619818
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25005
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.92905
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.90713
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.88743
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.99428
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.13191
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.47507
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.98871
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.26595
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55589
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.84728
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.85068
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.584937
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.887993
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.221767
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.591088
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.001866
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.461388
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.597809
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.225
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93793
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.0953
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.07549
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.14967
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.29167
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.57921
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.76595
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03544
á(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.31717
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61189
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.88303
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.574042
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.876014
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.208536
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.576406
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.985481
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.442993
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.575565
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19966
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91011
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.29226
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.27236
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.31128
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.45791
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.68636
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55154
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81368
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.08764
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37414
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.96789
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.56302
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863898
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.195158
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.561561
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.968922
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.424407
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.936969
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17412
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88217
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.49859
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.4786
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.47944
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.63095
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.79662
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 12.32104
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60023
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86684
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.14552
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43704
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.55188
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.851652
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.181639
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.546565
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.952194
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.405639
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.915768
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14836
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85413
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61609
ó(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.69479
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.67706
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.81117
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.97449
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 12.44516
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47826
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.682
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.92563
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20931
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50618
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.54062
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.839279
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.167981
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.531418
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.935306
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.386691
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.894371
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1223
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82426
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57941
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.92161
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.90384
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 11.99895
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 12.16803
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 12.57301
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3645
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.56517
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77423
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9919
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.27933
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.529248
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.826784
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.154192
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.516128
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.91826
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.367576
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.872789
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.44489
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79414
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54696
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 12.15977
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 12.14198
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 12.19471
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 12.36989
(329.92, 7.29, 366.60) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 12.70473
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.25502
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.45284
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.65877
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87332
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.09681
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35581
Å(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.517765
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.814169
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.140274
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.500695
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.90106
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.348294
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.851027
(329.92, 7.29, 366.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.420142
