¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
«(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.71204
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.55957
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.76687
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.991409
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.235459
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.499863
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.785078
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.097884
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.442481
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.823848
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.248077
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.72547
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.278983
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.871482
—(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53046
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23604
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88575
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65191
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1686
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84324
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.04932
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.25325
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.23308
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.21669
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.723781
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.868154
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.022582
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.188231
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.366258
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.558053
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.765187
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.989605
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.233482
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.499373
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.785048
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.097847
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.442454
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.823778
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.248028
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.72846
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.282409
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.889002
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5504
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22444
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87273
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60312
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1373
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.82853
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.03051
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.6005
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.57956
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.56247
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.722895
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.867176
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.021571
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.187146
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.365081
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.556766
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.763831
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.988111
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.231868
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.497609
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.785438
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.098283
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.442916
—(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.824308
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.248576
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.732115
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.286566
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.907475
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57149
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21433
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8614
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59034
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11423
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81639
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01496
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.77321
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.74844
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.72757
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.722182
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.866405
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.020776
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.186272
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.364127
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.555738
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.762738
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.986929
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.230587
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.496214
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.78624
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.099175
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.443878
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.82535
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.249813
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.736475
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.291479
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.923784
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59375
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20567
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85173
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57941
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33053
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80677
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00266
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.56907
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.54483
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.52444
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.721653
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.865864
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.020147
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.18563
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.36342
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.554996
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.761937
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.986079
“(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.229647
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.495163
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.785722
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.100505
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.445329
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.827003
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.251612
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.741468
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.297129
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.930295
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61719
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1985
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84145
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5323
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55411
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79965
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.99358
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.37284
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.3491
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.32918
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.721302
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.865484
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.019789
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.185197
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.362979
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.55452
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.761397
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.985511
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.22902
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.494511
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.785007
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.102257
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.447311
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.829193
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.25508
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.747173
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.30359
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.937658
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61685
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18042
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79196
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4768
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78523
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.7951
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.98773
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.18421
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.16094
(342.23, 7.25, 370.13) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.14146
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.721143
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.865333
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.019568
Š(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.18502
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.362791
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.554288
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.761159
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.985273
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.228732
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.494194
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.784677
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.103788
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.449811
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.831974
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.260723
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.753511
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.3108
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.945879
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59267
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13782
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7445
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42363
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02428
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79303
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.9851
(342.23, 7.25, 370.13) (357.30, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.51839
(342.23, 7.25, 370.13) (357.30, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.4952
(342.23, 7.25, 370.13) (357.30, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.47587
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.721163
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.86535
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.019646
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.18506
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.362839
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.554355
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.761221
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.985324
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.228814
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.494278
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.784746
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.103872
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.452813
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.835276
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.267003
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.76055
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.318764
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.870642
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45937
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09697
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69906
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37275
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05777
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79349
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.98569
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.84104
í(342.23, 7.25, 370.13) (357.30, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.05038
(342.23, 7.25, 370.13) (357.30, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.0279
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.721398
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.86559
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.019892
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.185316
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.363108
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.554665
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.761552
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.985682
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.229196
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.494697
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.785226
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.104389
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.456304
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.839166
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.273832
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.768276
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.255805
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.75189
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31855
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05792
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65562
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32413
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.06017
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79646
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.98949
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.84608
(342.23, 7.25, 370.13) (357.30, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.54037
(342.23, 7.25, 370.13) (357.30, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.51673
(342.20, 7.23, 370.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.916427
(342.20, 7.23, 370.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.281145
(342.20, 7.23, 370.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.688051
(342.20, 7.23, 370.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.144811
(342.20, 7.23, 370.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.661066
