¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
«(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.530413
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.61058
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.59446
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.58198
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.57314
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.56793
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.51397
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.148196
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.377031
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.608656
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.875014
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.226961
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.618403
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.056346
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.54948
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.247166
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12543
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43653
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82959
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07227
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32904
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.8239
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.58383
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.85082
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.81968
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.79231
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.76867
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.74874
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.73249
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.71992
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.71102
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.70577
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.65137
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.131844
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.36739
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.598205
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.893198
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.247109
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.640886
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.081598
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.578029
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.263149
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21628
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55482
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97906
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0941
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.35509
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84218
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.60621
­(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.99553
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.96416
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.93657
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.91275
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.89266
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.8763
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.86364
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.85466
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.84937
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.79456
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.115595
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.353014
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.589886
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.911317
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.267231
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.663328
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.106824
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.606565
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.278352
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30676
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67412
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01591
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11585
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.38097
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86036
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62844
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.14623
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.11461
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.08681
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.0628
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.04256
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.02607
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.01331
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.00426
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.99894
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 18.94369
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.113594
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.338151
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.606238
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.929397
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287292
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685761
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.13201
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.635047
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.29283
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39681
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7944
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02903
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13747
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40667
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87844
¬(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.65055
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.30314
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.27127
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.24324
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.21904
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.19863
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.182
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.16914
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.16003
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.15466
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.09896
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.132827
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.358889
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.611046
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.941557
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.307326
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.708137
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.157156
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.663534
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.30658
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48628
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91557
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04188
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1589
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43152
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.89638
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.6725
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.46647
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.43433
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.40606
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.38165
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.36108
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.34432
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.33134
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.32215
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.31674
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.26057
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.152242
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.375252
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.611094
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.941583
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.308347
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.71766
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.177153
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.691979
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.361572
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57519
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03763
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05449
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17944
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.44632
°(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91417
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.69426
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.63645
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.60402
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.57552
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.5509
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.53015
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.51324
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.50015
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.49088
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.48543
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.42877
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.171846
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.390557
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.62463
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.941463
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.308234
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.717493
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.177004
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.696482
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.451923
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66341
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10759
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.24544
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19402
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46101
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.93182
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.71588
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.81331
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.7806
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.75184
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.72701
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.70606
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.689
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.67581
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.66646
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.66095
(342.31, 7.27, 372.42) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.60379
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.18803
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.406092
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.641402
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.941155
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.307899
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.717119
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.176595
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.696051
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.574319
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80598
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.08404
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.09675
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.07118
©(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.04497
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.02122
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.99989
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.98098
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.96445
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.95029
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.93849
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.92903
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.92192
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.91713
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.91467
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.91454
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.91672
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.92123
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.92808
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.202639
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.421805
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.658357
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.940725
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.307408
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.716563
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.175964
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.695311
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.698137
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96451
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.94825
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.91748
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.88917
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.86331
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.83987
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.81881
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.80013
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.7838
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.7698
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.75813
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.74877
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.74171
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.73695
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.73448
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.73429
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.73639
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.74079
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.74748
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.217433
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.437766
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.675606
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.940068
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.306699
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.715785
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.175075
(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.709314
ª(342.31, 7.27, 372.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.823423
