¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.87237
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.987746
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.666842
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.45915
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39535
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.51831
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98843
º(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.8361
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.28228
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.17029
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.839467
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.062717
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.302523
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.560707
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.714492
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.868588
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.381014
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.966696
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.642409
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43046
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3612
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.477
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94684
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.78564
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.20396
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.08443
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.831743
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.054462
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.29366
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.551155
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.730426
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.855845
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.362679
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.945276
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.617558
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40129
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3265
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.43503
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90401
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.73405
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.08566
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.00136
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.824256
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.046431
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.285011
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.541872
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.747912
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.843097
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.348178
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.924645
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.592296
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37166
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29126
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.39245
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85994
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.68123
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.92947
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.921
À(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.816998
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.038646
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.276688
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.532878
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.76697
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.830051
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.333343
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.907628
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.568934
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34157
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.2555
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.34927
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81465
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62736
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.77506
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.85499
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.809968
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.031106
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.268599
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.524172
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.787617
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.819399
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.318179
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.890244
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.548801
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.31491
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.21924
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30551
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76818
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57239
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62241
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.26834
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.803065
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.023803
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.260799
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.515778
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.809873
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.834852
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.302694
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.872491
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.528255
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.29086
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18852
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.26121
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72062
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51637
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.47155
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.69729
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.794464
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014605
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.250885
¼(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.506938
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.833762
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.851524
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.286895
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.854386
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.507306
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26634
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.15946
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22539
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67199
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.45244
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35316
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.00785
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.786108
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.005639
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.241279
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.498877
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.859305
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.869423
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.270786
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.83593
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.485958
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.24137
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12988
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.18979
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62222
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.37639
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29568
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.00088
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.777937
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.996901
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.23192
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.491053
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.886533
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.888564
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.254378
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.817138
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.464226
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21596
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09978
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.15461
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57148
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2997
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23791
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.99093
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.770061
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.988447
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.224004
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.483493
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.876387
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.908955
»(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.237679
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.798014
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.442118
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19013
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06919
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.11931
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.39279
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22241
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.17996
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.97795
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.76239
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.98024
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.217242
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.476221
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.862432
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.930616
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.220691
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.778568
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.419648
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16387
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.03909
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.08342
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.34886
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1446
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.13451
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.96191
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.91272
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.754977
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.972304
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.210743
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.469175
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.848236
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.953561
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.203424
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.75881
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.396821
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13722
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.00875
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.04698
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.30428
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.07113
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10474
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.94286
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.78574
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.747757
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.965023
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.204413
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.462409
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.833786
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.987257
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.185886
¿(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.738746
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.373653
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11106
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97795
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.00999
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.25907
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00253
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.07386
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.92087
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.66705
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.740846
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.959352
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198363
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.455886
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.819133
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.023273
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.168084
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.718387
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.35015
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08462
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.94669
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.97248
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.21325
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93289
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.04181
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.84543
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.65623
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.734121
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.953971
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.192538
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.449606
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.804241
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.061168
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.150025
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.697739
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.327111
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05779
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.915
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93448
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16684
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86231
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.98068
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.72167
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.62399
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.727636
(354.46, 7.05, 355.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.948756
