¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ê(333.01, 7.41, 370.53) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 7.514063
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.366796
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.581363
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.81497
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.087271
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.423338
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.800097
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.746203
»(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.638577
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32193
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09449
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.8442
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.81897
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.7961
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.7756
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.75747
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.74167
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.7282
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.71704
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.70819
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.70162
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.69735
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.69535
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.69564
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.69821
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.71027
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.835813
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.989596
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.172588
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.370598
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.585494
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.819499
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.075158
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.400672
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774609
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.811198
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.618896
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31205
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08304
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93607
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.03859
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.01527
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.99438
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.97589
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.95978
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.94605
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.93466
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.92563
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.91893
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.91456
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.91251
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.91278
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 11.91538
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.706391
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.831716
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.993011
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.176268
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.374562
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.589816
¹(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.824202
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.080312
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.378238
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.749386
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.894209
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.59934
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29615
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07183
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91628
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.26896
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.24518
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.22387
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.20501
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.18858
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.17456
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.16294
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.15372
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.14687
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.1424
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.1403
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.14056
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.14319
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.702831
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.827915
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.996578
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.180082
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.378715
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.594318
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.829117
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.085703
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.367227
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.724405
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.073726
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.579969
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27378
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06086
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.897
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.51081
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.48654
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.46479
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.44554
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.42876
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.41445
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.40259
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.39316
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.38616
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.38158
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.37942
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.37967
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.38233
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.699525
¬(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.829925
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.000259
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.184075
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.383046
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.59899
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.834222
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.091296
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.373364
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.699705
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.254369
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.560743
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25163
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0501
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87818
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.76493
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.74014
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.71793
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.69827
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.68113
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.66651
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.65439
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.64475
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.63759
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.6329
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.63067
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.6309
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.6336
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.696474
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.833457
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.004097
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.188221
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.387506
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.603873
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.839534
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.097095
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.379762
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.691287
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43571
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.541681
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22966
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02685
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85984
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80003
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.00685
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.98415
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.96405
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.94654
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.93159
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.91919
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.90933
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.902
©(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.89719
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.89489
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.89511
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 12.89784
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.693725
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.837176
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.008066
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.192523
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.392176
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.608944
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.845041
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.103154
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.38641
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.687652
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.617292
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.522785
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20785
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0225
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84195
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7792
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.28761
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.2644
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.24385
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.22593
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.21064
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.19795
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.18785
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.18033
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.1754
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.17303
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.17323
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.176
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.691215
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.841007
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.012193
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.196971
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.396992
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.614165
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.850746
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.109398
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.393273
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.661993
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.798505
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.504029
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18627
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01836
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82459
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75891
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.58346
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.55971
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.53867
¬(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.52033
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.50467
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.49168
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.48133
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.47363
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.46855
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.46611
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.46629
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.4691
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.68899
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.844965
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.016458
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.201616
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.401982
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.619592
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.85668
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.115895
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.370734
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.636929
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.892778
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.48547
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17921
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00512
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80769
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73916
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79241
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.87124
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.8497
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.83091
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.81486
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.80154
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.79093
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.78302
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.7778
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.77528
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.77543
(333.01, 7.41, 370.53) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.77828
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.689514
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.849051
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.020859
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.206348
