¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(334.60, 7.64, 372.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.588234
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.232354
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.357574
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02322
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.87639
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.89579
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.14261
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.68462
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.59642
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.99812
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.54576
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.630086
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.860264
Ì(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.111335
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.386166
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.688275
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.021812
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.391872
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.803143
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.249769
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.752438
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.32229
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.606574
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.991796
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8393
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.85153
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.08851
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.61697
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.51004
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.8835
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.41342
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.621369
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.850805
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.100994
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.374837
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.675804
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.007987
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.376501
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.784673
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.229052
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.729036
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.295625
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.94736
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11005
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80241
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.8075
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.03471
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.54979
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.42459
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.76998
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.28455
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.612713
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.84135
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.090678
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.363539
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.66333
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.994195
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.361185
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.766293
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.208433
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.705777
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.269188
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.918739
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.4716
È(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76572
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.7637
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.98124
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.48308
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.34007
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.65757
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.15909
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.604037
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.831918
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.080385
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.352211
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.650884
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.98042
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.345851
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.747989
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.187952
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.682661
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.242911
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.890215
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66389
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.00518
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.72013
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.92811
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.41684
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.25648
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.54628
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.03697
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.595374
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.82248
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.070082
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.340939
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.638475
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.966705
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330583
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.729821
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.167585
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.659703
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.216808
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.861827
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63082
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52168
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.70809
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.87531
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.35109
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.17382
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.43612
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.91813
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.586734
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.813108
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.059815
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.329677
á(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.626069
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.953003
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315331
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.711777
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.147335
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.636889
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.190889
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.833529
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5979
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49344
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.12378
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.82286
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.28584
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.092
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.32709
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.8025
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.578086
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.80372
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.04954
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318446
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.61371
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.939335
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.300131
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.693806
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.12724
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.614232
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.165155
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.805413
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56512
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45481
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51084
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.93599
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.22108
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.01112
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.21918
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.69002
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.569488
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.794336
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.039315
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.307226
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601354
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.925677
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.284996
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.675966
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.107293
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.591704
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.139599
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.777397
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53246
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41639
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46493
Ù(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.55237
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.15683
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.93118
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.11241
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.58062
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.560885
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.784976
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.029109
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.296038
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.589057
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.912087
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.269889
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.658269
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.087425
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.569338
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.114223
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.749475
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50003
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3782
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4193
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.673
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.44549
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.85217
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.00679
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.54
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.55231
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.77565
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.018917
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.28491
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576799
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.898558
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.254858
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.640646
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.067733
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.54714
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.089041
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.721741
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46776
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34018
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37395
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61797
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14336
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.77409
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.9023
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.5188
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.543757
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.766331
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.008767
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.273775
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.564561
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885026
ó(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.239879
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.62317
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.048138
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.525141
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.064074
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.694106
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43567
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30246
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3289
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56333
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07572
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.40395
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.79895
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.49784
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.535207
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.757074
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.998646
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.262686
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.552399
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.871579
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.224916
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.60578
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.028717
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.503258
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.039276
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.666622
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40376
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26492
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28418
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5091
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00863
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77662
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.84516
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.4771
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.92374
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.526709
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.747804
(333.94, 7.57, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.988569
