¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.644976
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80862
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.91794
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.11331
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 22.66026
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.375405
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.630983
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.909332
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.21349
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.513604
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.806825
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.125513
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.473077
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.755168
ı(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.841646
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.920437
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.002412
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.087725
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.176496
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.268788
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.364809
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.464725
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.568696
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.676862
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.78942
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.976197
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47469
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96574
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11735
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.05132
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.376605
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.632288
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.91072
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.215038
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.510475
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.803441
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.121874
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.476022
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.736109
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.832544
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.91687
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.998814
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.08404
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.172698
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.264933
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.360876
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.460688
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.564539
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.672621
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.785069
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18799
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65743
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1285
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32428
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.99047
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.377794
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.633559
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.9121
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.216563
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.507611
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.800331
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.118466
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.484602
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.718416
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.814417
û(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.914282
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.996658
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.081825
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.17046
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.26263
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.358541
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.458279
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.562078
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.670092
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.782519
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40987
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81919
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29713
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55148
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.07676
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.378976
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.634848
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.913526
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.21809
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.505002
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.797543
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.120678
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.493418
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.702105
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.797676
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.897141
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.996
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.081155
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.169728
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.261922
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.357779
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.457529
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.561296
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.669306
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.781677
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64258
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97696
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47181
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76766
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.37254
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.380124
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.636123
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.914944
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.219613
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.50267
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.79497
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.128972
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.502539
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.687186
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.782375
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.88139
€(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.984486
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.081924
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.170564
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.262756
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.358644
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.458393
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.562211
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.670228
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.782622
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88685
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14025
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6635
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99955
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.68137
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.381338
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.637425
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.91634
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.221163
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.500599
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.796094
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.137512
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.511865
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.673581
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.768406
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.867106
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.969829
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.076726
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.172922
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.265141
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.361106
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.460924
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.564796
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.67285
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.956625
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0664
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30938
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87223
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27387
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.00406
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.382488
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.638674
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.917696
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.222693
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.498769
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.804119
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.146218
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521464
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.661322
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.755853
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.854225
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.956613
ù(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.063126
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.174066
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.269146
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.365182
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.465107
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.569069
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.677239
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17137
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20669
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48451
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07204
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55948
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.3306
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.383663
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.63995
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.9191
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.224221
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.498477
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.812302
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.155234
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.531376
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.650385
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.744634
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.842708
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.944805
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.051045
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.161615
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.274649
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.370842
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.470894
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.574977
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.683311
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3963
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34444
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64795
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28967
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.5148
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.66903
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.384825
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.641246
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.920485
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.225719
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.506201
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.820756
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.164459
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.541491
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.640774
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.734792
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.832623
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.934428
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.0404
ú(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.150711
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.265602
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.378127
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.478349
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.582616
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.691154
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53536
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48693
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81311
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51568
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.44977
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.02294
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.386001
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.642497
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.921885
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.225589
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514151
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.829375
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.173886
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.54231
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.632502
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.726286
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.823923
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.925483
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.031199
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.141276
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.255884
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.375252
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.487448
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.591943
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.746167
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67133
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63431
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98402
(336.48, 7.78, 344.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75043
