¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ø(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.54802
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.73403
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.9964
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.2682
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.16548
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.15024
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.16966
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.2785
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.56978
(332.36, 7.38, 365.26) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.83598
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.596954
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.663043
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.732347
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.805081
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.635842
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.995411
Ç(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.3797
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.807353
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.321986
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5778
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16006
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.70984
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.64713
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.61869
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.65885
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.74483
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.00756
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.27945
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.17678
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.16152
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.18141
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.29047
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.58419
(332.36, 7.38, 365.26) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.81511
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.596904
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.662992
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.732294
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.805025
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638799
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.999045
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.383694
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.820479
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.336695
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48771
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05783
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71147
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.66023
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.63176
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.67154
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.75773
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.02043
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.29333
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.19047
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.1752
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.19544
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.30477
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.60081
(332.36, 7.38, 365.26) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.7975
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.597185
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.663283
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.732598
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.805343
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.641745
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.002727
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.387777
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.833617
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.351488
Ğ(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39798
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95778
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58369
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.67563
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.64712
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.6863
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.77274
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.03501
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.30987
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.20658
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.19128
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.21178
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.32142
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.61965
(332.36, 7.38, 365.26) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.78313
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.597794
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.663919
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.733261
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.806035
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.644684
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.006503
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.391922
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.846778
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.366256
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.22103
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.23171
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.20234
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.12179
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.00066
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.70315
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.78987
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.05131
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.32907
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.22511
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.2098
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.23043
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.34042
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.64073
(332.36, 7.38, 365.26) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.77198
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.598734
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.664898
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.734282
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.807101
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.647614
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.010414
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.396214
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.859895
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.38106
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22398
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.2802
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.25069
Ô(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.17648
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.02244
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.648664
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.80915
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.06935
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.35095
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.2461
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.23075
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.25141
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.3618
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.66406
(332.36, 7.38, 365.26) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.76405
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.600004
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.666222
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.735663
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.808543
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.650537
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.014372
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.406955
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.873073
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.395885
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13965
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.33117
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.269576
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.306778
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.410495
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.682991
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.83058
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.08913
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.37555
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.26955
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.25418
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.27475
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.38558
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.68967
(332.36, 7.38, 365.26) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.75933
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.92393
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.601605
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.66789
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.737404
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.81036
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.65345
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.018427
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.418744
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.886244
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.311675
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.28115
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.252621
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.283287
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.349766
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.444259
é(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.718824
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 11.85419
(332.36, 7.38, 365.26) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.11068
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.40288
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.29549
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.28008
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.30046
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.41178
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.71759
(332.36, 7.38, 365.26) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.75781
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.83278
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.603536
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.669904
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.739504
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.812554
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.544281
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.513081
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.483591
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.412238
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.329354
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.331305
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.302624
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.327527
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.394763
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.479454
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.905298
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.889983
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.876259
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.864116
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.853536
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.30851
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.32856
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.44042
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.74783
(332.36, 7.38, 365.26) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.75949
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.80659
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.6058
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.672264
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.741966
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.815124
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.609183
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.577712
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.547966
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.492807
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.347188
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.143152
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.355002
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.373781
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.86055
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.845109
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.944201
ä(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.02702
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.011106
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.996813
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.924278
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.765202
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.35909
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.47154
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.78041
(332.36, 7.38, 365.26) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.76438
(332.36, 7.38, 365.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.9954
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.608397
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.674969
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.74479
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.818073
(332.36, 7.38, 365.26) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.95978
(332.36, 7.38, 365.26) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.924495
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.614958
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.577063
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.428467
(332.36, 7.38, 365.26) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.987714
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.40982
(332.36, 7.38, 365.26) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.422093
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.811616
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.97534
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.078077
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.185112
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.171033
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.156432
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.102933
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.929968
(332.36, 7.38, 365.26) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.68161
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.50516
(332.36, 7.38, 365.26) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.81538
(332.36, 7.38, 365.26) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.77247
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.611326
(332.36, 7.38, 365.26) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.678024
