¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.07708
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.358218
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.721091
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.119737
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55122
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.03298
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.753726
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.732026
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.717139
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.18649
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31611
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1469
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.094
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14496
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39745
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.85513
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.63713
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.98697
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.16563
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.183395
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.35919
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.548475
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.752741
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.973892
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.206944
Ä(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.458471
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.732562
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.032441
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.361695
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.724946
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.122933
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.554739
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.036944
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.513385
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.210438
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.189237
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.65342
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.80329
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14297
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08737
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1373
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.37404
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.81449
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.5689
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.10539
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.07375
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.184082
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.359939
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.549274
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.753626
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.97482
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.209629
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.46137
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.735747
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.035885
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.365551
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.729195
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.126505
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.558746
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.041392
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.583736
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.746327
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.723643
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.702952
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 11.33282
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14059
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08097
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.13167
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35314
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77689
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.5045
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.05162
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.04615
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.184905
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.360832
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.3524
ì(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.292228
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.195732
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.171733
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.148954
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.127369
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.106956
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.087694
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.471953
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.4781
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.563238
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.046442
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.589371
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17816
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.3262
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.30393
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 11.91909
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 12.11127
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06876
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12811
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.33477
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74225
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.44398
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.98536
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.185899
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.361898
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.356299
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.296057
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.199041
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.175024
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.152228
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.130629
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.110201
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.090925
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.475175
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.481339
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.568207
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.052006
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.595645
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18226
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82174
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.98655
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.96468
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14036
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06437
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11659
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.31883
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.71059
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.38717
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.91268
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.186997
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.363081
ã(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.361405
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.301072
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.203378
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.179339
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.156523
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.134902
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.114456
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.095161
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.479407
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.485592
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.573672
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.058076
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.602547
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18716
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82726
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55563
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 11.74463
(399.26, 14.28, 244.36) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 11.79671
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06308
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10661
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2869
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.68097
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.33407
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.84472
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.188223
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.364388
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.36772
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.307273
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.208751
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.184684
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.16184
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.140196
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.119725
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.100408
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.484653
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.490866
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.579642
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.064765
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.610052
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19286
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8337
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56296
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31546
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14614
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0636
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09867
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2518
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.64672
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.29467
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.78142
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.189584
ö(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.365842
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.375254
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.314672
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.215161
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.191062
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.168188
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.146513
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.126015
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.10667
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.490919
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.497163
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.586057
(399.26, 14.28, 244.36) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.257477
(399.26, 14.28, 244.36) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.234844
(399.26, 14.28, 244.36) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.213934
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84104
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57135
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31998
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15132
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06599
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0928
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22227
(399.26, 14.28, 244.36) (385.65, 8.43, 272.44) (1.19, 1.64, 1.19) Tools 16.55053
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.2659
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.7227
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.191068
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.36745
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.384015
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.323276
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.222619
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.198481
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.17557
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.153861
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.133329
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.113953
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.143689
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.50449
(399.26, 14.28, 244.36) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.263139
(399.26, 14.28, 244.36) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.238829
(399.26, 14.28, 244.36) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.423465
(399.26, 14.28, 244.36) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.590555
(399.26, 14.28, 244.36) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.766152
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58075
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32586
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15802
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07016
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08897
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21331
(399.26, 14.28, 244.36) (385.65, 8.43, 272.44) (1.19, 1.64, 1.19) Tools 16.32591
(399.26, 14.28, 244.36) (385.65, 8.43, 272.44) (1.19, 1.64, 1.19) Tools 16.56439
(399.26, 14.28, 244.36) (385.65, 8.43, 272.44) (1.19, 1.64, 1.19) Tools 16.55451
ş(399.26, 14.28, 244.36) (385.65, 8.43, 272.44) (1.19, 1.64, 1.19) Tools 16.54787
(399.26, 14.28, 244.36) (385.65, 8.43, 272.44) (1.19, 1.64, 1.19) Tools 16.54445
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.192673
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.369188
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.559246
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.333093
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.231129
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.206948
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.183995
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.162245
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.141676
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.122265
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.144502
(399.26, 14.28, 244.36) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.512856
(399.26, 14.28, 244.36) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.246124
(399.26, 14.28, 244.36) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.221871
(399.26, 14.28, 244.36) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.428822
(399.26, 14.28, 244.36) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.099799
(399.26, 14.28, 244.36) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.406039
(399.26, 14.28, 244.36) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.620221
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33303
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16623
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07618
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08718
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20688
(399.26, 14.28, 244.36) (385.65, 8.43, 272.44) (1.19, 1.64, 1.19) Tools 16.47998
