¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.87033
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.36781
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.98348
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.90982
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.23276
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.18629
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.75331
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.972001
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.209511
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.46699
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.742299
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.043526
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.374447
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.742645
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.149701
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.599156
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.101952
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.682652
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34114
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09099
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91418
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88233
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.03773
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.3706
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.98689
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.90947
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.23238
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.16978
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.752566
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.971194
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.208635
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.465685
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.740874
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.041965
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.372727
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.740878
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.147811
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.596923
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.099302
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.67987
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33862
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08983
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91332
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88271
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.04064
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.37408
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.99116
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.91037
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.23357
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.1553
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.751869
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.970438
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.207812
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.464466
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.739542
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.040504
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.37112
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.73922
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.146057
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.59486
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.096828
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.677237
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33628
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08901
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.9129
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88358
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.04413
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.37827
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.99628
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.91253
Â(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.23635
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.14285
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.75122
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.969734
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.207047
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.463331
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.738303
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.039149
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.369628
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.737676
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.144444
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.592968
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.094528
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.67476
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3341
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08853
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91289
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88494
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.0482
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.38316
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.00226
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.91595
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.24071
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.45851
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.44025
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.426
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.41549
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.40875
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.41928
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.750621
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.96908
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.206337
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.462284
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.737159
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.037893
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.368249
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.736246
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.142968
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.591248
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.092404
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.672434
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3321
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08838
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91332
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.8868
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.05286
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.38875
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.0091
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.92062
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.35048
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.27944
á(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.2624
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.24912
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.23964
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.23391
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.23911
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.43461
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.750068
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.968476
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.205681
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.461321
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.73611
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.036744
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.367
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.734928
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.141634
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.589697
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.090457
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.670261
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33025
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08857
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91417
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88916
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.0581
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.39504
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.01681
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.01232
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.41351
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.33009
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.31344
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.30061
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.29151
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.28617
(434.23, 14.22, 309.00) (439.36, 8.24, 273.42) (0.81, 2.16, 0.81) Human 19.29284
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.749563
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.967924
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.205082
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.460447
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.735156
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.035697
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.365911
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.733723
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.140437
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.588317
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.088682
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.668244
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32858
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0891
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91544
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.89201
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.06393
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.40204
·(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.02536
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.01993
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.4144
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.749108
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.967423
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.204537
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.45966
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.734296
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.034755
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.364925
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.732631
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.139381
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.587111
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.087088
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.666383
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32707
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08997
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91706
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.89535
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.07034
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.40974
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.05435
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.02891
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.42191
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.748702
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.966972
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.204049
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.458959
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.733531
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.033916
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.364042
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.731655
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.138465
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.586078
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.08567
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.664674
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32574
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09118
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91845
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.89872
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.07734
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.41814
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.06272
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.03917
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.4313
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.748343
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.966577
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.203617
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.458344
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.732859
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.03318
·(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.363261
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.73079
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.13769
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.585213
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.084425
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.663118
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32456
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09272
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.92024
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.90096
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.08492
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.37602
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.07215
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.05078
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.44254
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.748034
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.966242
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.203239
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.457816
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.732284
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.032547
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.362584
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.73004
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.137053
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.584522
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.083357
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.661722
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32356
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09461
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.92241
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.90359
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.09309
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3864
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.08268
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.06376
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.45568
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.747773
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.965958
(434.23, 14.22, 309.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.202918
