¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ (430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.0076
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.74507
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.33586
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33071
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34832
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57463
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98796
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.32728
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.03848
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.4357
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39994
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43998
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68446
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15151
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55229
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.33951
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.55903
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46851
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53026
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79281
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.31647
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.76658
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64828
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.68417
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5435
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61908
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89957
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.44938
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.97522
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.24726
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.81107
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61712
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70633
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00457
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57802
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.18547
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.52676
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.93976
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68923
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79189
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10768
Ê(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.70455
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.39716
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.80711
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.23595
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75981
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87571
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2088
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83103
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.64676
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.08809
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.68548
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82873
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95769
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30779
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97082
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.90213
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.30045
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.21851
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89591
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03765
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40452
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10807
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.12234
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.57586
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.74752
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96135
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1156
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49884
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24261
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32683
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.97365
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02488
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19136
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59068
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37416
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.53091
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.38317
(430.87, 11.57, 344.70) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 24.51376
(430.87, 11.57, 344.70) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 24.49738
(430.87, 11.57, 344.70) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 24.4858
(430.87, 11.57, 344.70) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 24.47899
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08645
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26484
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67984
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50254
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.73437
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.80484
(430.87, 11.57, 344.70) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 24.90919
(430.87, 11.57, 344.70) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 24.85072
(430.87, 11.57, 344.70) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 24.79734
(430.87, 11.57, 344.70) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 24.74901
¶(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.146
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33599
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76625
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.62762
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.93709
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.20308
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20344
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40465
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84973
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74908
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.13871
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.50479
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25869
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47081
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93024
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.86672
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.3283
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.80165
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31168
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53426
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00753
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.98043
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.50305
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.09284
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36236
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59499
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08159
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.0899
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.67244
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.37197
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41065
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6529
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15228
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.19498
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.83605
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.60069
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45645
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7079
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21946
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29546
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.99359
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.82147
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4998
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75993
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.28303
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.39109
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.14462
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54051
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80886
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.34289
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48181
î(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.28883
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57729
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85468
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39896
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56732
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.42582
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61011
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89726
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.45114
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.6475
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.55529
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 24.66845
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 24.61501
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 24.32461
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 24.34895
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 24.3781
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 24.41209
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 24.45094
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 24.49469
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 24.5434
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63972
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93657
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49931
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.72219
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.67693
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 24.07932
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 23.62432
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 23.63561
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 23.54001
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 23.56047
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 23.58556
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 23.61532
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 23.64977
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 23.68895
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 23.73288
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.75024
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97254
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.54341
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.79123
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.79033
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 23.14875
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.89578
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.90392
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.80849
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.82551
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.84702
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.87302
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.90356
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.93866
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.97836
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.77586
ë(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00509
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.58339
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85445
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.87202
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.21372
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.21475
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.22011
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.16874
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.16608
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.17508
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.18842
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.20701
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.23847
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.27437
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.31474
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.79829
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03421
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62137
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.91179
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.94116
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.79132
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.78711
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.78715
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.82438
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.913
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.00665
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.07417
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 22.00587
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.94226
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.9568
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.98628
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.81507
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.10637
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6611
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.96297
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.00035
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.19778
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.1781
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.17607
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.19355
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.27521
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.36169
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.45307
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.54946
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.65096
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.74207
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 21.97046
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.83441
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.12301
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69606
(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00805
ã(430.87, 11.57, 344.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.04937
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 20.63962
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 20.62371
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 20.64157
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 20.6868
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 20.73627
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 20.79535
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 20.87138
(430.87, 11.57, 344.70) (441.37, 8.86, 305.34) (7.64, 2.98, 7.49) Truck 20.95415
