¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.449566
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64807
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00323
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65261
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67878
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.08594
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.97459
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.18356
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.93363
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.22992
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.08894
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.08282
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.08061
†(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.08961
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.10782
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.13021
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.007073
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.307181
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.6357
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.997815
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.410418
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.869749
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.384081
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.963758
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.622
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37575
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2075
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05798
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37772
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71622
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09323
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84048
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94051
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33471
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.2984
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.33791
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.16026
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.24317
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.10298
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.09686
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.09478
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.10676
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.12522
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.14765
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.00952
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.309859
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638624
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.002428
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.415516
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.875461
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.390464
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.971001
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63026
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38527
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22635
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12166
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44472
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78686
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2309
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03406
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2014
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61693
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.26534
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.61653
•(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.15164
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.26038
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.12097
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.11484
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.11355
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.14762
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.19954
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.25569
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.011865
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.312419
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.641439
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.00684
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.420464
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.880931
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.396649
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.977987
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63824
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39444
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24493
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18762
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51414
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86005
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37287
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23358
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41091
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.92706
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.22658
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.90428
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.11493
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.28159
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.27034
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.2664
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.27881
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.32199
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.36099
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.38651
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014137
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.314911
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.644156
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.011127
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.425198
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.88627
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.402596
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.984744
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64596
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4033
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2632
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25587
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58603
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97083
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51926
Š(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43924
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60937
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.18447
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.21666
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.06646
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.07834
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.3068
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.29553
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.29019
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.31774
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.34934
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.38502
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.46591
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.588821
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.317287
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.646794
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.015254
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.429797
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.891383
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.408354
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.991264
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65339
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41185
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28122
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28906
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66041
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11028
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67028
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.65134
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81336
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.44059
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.32407
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.12649
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.21206
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.33603
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.32476
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.31799
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.34563
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.37732
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.4131
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.46918
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.590407
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.319597
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.64932
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.019217
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43419
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.896277
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.413877
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.997532
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66053
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42008
†(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29891
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30983
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73737
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25401
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82607
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84308
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02306
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.69209
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.54367
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.38844
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.29274
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.36933
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.35804
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.35073
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.37757
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.40936
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.44524
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.48525
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.591912
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.876013
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.651732
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.023004
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.438423
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.901009
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.419189
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00351
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66736
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42796
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31629
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33027
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86404
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40216
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98679
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01035
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23873
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.91508
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.72283
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.66658
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.37523
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.40672
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.39542
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.3881
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.41358
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.42894
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.4347
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.52164
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.593332
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.877567
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.654049
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.026664
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.442444
‹(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.90553
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.424263
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00927
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67392
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4355
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33338
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35034
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00515
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55489
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15263
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.18238
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46054
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.00876
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.91568
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.88992
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.63922
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.44824
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.43692
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.42959
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.45371
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.47145
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.47722
(336.09, 7.48, 349.54) (345.18, 2.71, 312.82) (8.57, 3.44, 5.77) Truck 20.56218
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.594667
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.879028
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.656273
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.03014
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.446297
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.90983
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.429136
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01477
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68018
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44273
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35017
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37003
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14179
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71238
(336.09, 7.48, 349.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.35369
