¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
È(435.77, 13.89, 293.10) (443.03, 8.20, 276.69) (0.81, 2.16, 0.81) Human 2.494246
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.683047
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.616908
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.584953
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.562551
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.541567
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.521993
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.503798
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.486976
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.47149
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.457343
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.44451
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.432981
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.422758
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.413799
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.406124
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.399714
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.394561
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.392753
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.410089
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.453753
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.539515
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.07787
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.3096
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.56102
ÿ(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834719
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.133676
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.750208
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.667214
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.630505
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.60764
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.586222
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.566224
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.547615
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.530396
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.514533
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.500013
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.486836
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.474957
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.464378
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.455106
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.447128
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.440416
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.434962
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.433062
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.452836
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.504083
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.618124
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.6903
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.307654
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.558912
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.832378
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.13114
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.458686
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.771602
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.71744
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.693508
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.671262
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.650439
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.631078
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.613109
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.596507
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.581313
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.567441
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.55493
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.543743
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.533861
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.525308
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.518032
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.512067
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.51011
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.536922
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.616054
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.3122
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.688652
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.305746
³(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.556834
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.830131
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.128657
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.45598
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.816988
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.23738
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.707306
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.228063
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.75858
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36718
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0274
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34848
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69118
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35097
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29877
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53773
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.766239
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.746475
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.731063
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.7186
(435.98, 13.89, 293.02) (446.20, 8.17, 273.56) (0.81, 2.16, 0.81) Human 6.71767
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33847
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00021
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.60327
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.68705
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.903649
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.554811
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.827926
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.126253
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.453335
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.814762
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.234875
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.704492
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.223158
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.753326
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3658
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09743
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42286
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77027
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5996
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4275
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67135
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92698
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19518
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47678
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80557
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.16216
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.53945
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.70969
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83747
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.685494
ª(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.901965
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.552839
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.825778
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.123922
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.450787
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.812526
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.232386
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.701704
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.218473
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.75227
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36462
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14905
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49961
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89219
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79456
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55181
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80996
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07106
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34508
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64898
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99519
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.36124
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74875
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45682
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.08158
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.683984
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.90033
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.135039
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.82375
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.121667
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.448278
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.810342
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.229914
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.698959
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.21402
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.751429
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36366
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15066
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5788
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12293
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85401
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66358
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95369
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22053
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50067
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.837
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.19247
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56781
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15838
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.69392
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.33606
¥(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.682521
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.898745
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.133316
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.821743
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.119454
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.445889
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.808115
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.22748
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.6962
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.209732
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.750757
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36289
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15222
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66054
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32991
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91529
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77808
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10282
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37565
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68711
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03254
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39328
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76333
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.32893
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.94093
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.60149
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.681105
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.897211
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.13165
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.819797
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.117336
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.443541
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.805954
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.225028
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.693474
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.208152
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.750277
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36235
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15373
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74485
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38736
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97842
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89532
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25749
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.54496
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.881
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.22793
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58703
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23565
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56895
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.19841
™(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.679736
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.895727
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.13004
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.385041
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.115276
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.441316
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.803774
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.222636
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690774
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.207898
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.749972
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36198
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1552
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90395
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44652
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04353
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01543
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41798
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73725
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07118
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42004
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78857
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21826
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.819
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.46689
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.678413
(435.98, 13.89, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.894295
