¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ô(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.898936
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.552845
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03088
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79487
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56742
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35726
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66396
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84678
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15386
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47872
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82274
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89921
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94397
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9917
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04251
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09648
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15365
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21406
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27778
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34486
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41541
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48949
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56721
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.573396
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.920848
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.303377
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.610588
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.892236
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.194756
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.520513
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.992836
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75637
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52412
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28733
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6162
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7618
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95181
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26616
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59887
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82399
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86811
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91522
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9654
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01868
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07516
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13483
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19779
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2641
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33386
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40713
„(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48397
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.552098
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.897421
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.27755
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.585051
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.864906
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.165397
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.488964
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.954514
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71762
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48101
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21828
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57083
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71523
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86552
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06198
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38397
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72494
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79565
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84219
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89175
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94443
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0002
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05917
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12142
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18703
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.256
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32846
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4045
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.530729
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.873968
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.251651
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.560124
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.838189
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.136769
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.458099
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.91598
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67286
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43814
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15012
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52775
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67103
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82015
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97538
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17763
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50764
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72652
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77249
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82145
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87352
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92865
…(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98702
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04859
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11345
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18172
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25345
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33479
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.509303
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.850428
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.225672
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.534248
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.81212
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.108793
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.428028
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.877152
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62775
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37964
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08281
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48687
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62914
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77715
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93127
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09171
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29905
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63759
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70606
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75446
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80593
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86048
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91821
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97918
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04339
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20261
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28901
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.487866
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.826895
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.199717
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.508529
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.786676
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.08147
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.398647
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.838082
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58238
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32088
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01639
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44826
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58953
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73652
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88956
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04885
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21478
ƒ(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42669
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6428
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69071
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74162
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79563
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85348
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92489
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9998
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07828
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16044
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24635
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.46635
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.803283
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.173689
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.483343
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.761784
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.054815
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.370025
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.798838
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53683
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26283
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95082
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41183
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55217
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69818
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85021
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00846
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17327
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34493
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5609
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6301
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68406
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74839
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.816
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88701
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96151
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03956
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12125
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20671
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.444833
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.779628
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.147631
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.458765
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.735474
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.028843
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.342078
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.759373
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49106
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20956
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88611
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37757
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51701
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66213
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8132
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97048
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13424
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30481
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48196
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58783
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65013
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71413
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7814
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85204
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92614
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00377
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08507
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17007
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.42327
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755982
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.121567
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43476
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.709736
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.003509
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.314858
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.719732
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44858
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19719
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82229
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34547
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48411
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62834
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77854
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93485
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09765
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26721
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42674
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5505
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61274
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67823
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74705
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81925
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89364
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97092
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0518
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13643
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401699
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.7323
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.095479
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.411274
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.68462
(341.56, 7.36, 310.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.978129
