¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.14964
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.53932
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.3717
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.314229
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.579655
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885414
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.238652
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.631701
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.071489
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.566868
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.128908
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.756594
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40258
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14248
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99824
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99909
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18514
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.61271
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.36353
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.56091
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.40005
ˆ(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.332912
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.600027
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.901058
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.255987
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.650985
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.093151
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.591315
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.156723
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.76174
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40844
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14922
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00606
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00832
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19615
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62608
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38012
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.58201
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.42773
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.348531
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.617089
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.912567
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.268761
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.665246
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.109187
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.609417
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.177416
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.766746
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41414
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15581
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01371
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01732
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20689
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63913
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.39627
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.60256
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.45475
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.364196
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.634191
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.929522
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.281394
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.67934
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.124996
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.627346
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.197836
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.771639
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41973
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16219
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02116
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02607
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21735
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.65184
†(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.41204
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.62266
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.48116
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.379857
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.651299
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.948285
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.293787
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.693209
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.140583
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.644984
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.205311
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.776375
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42512
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16845
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0284
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03461
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22756
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66422
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.42737
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64216
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.50684
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.395535
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.668442
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.967083
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.306007
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.706838
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.155956
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.662383
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.209383
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.781
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43037
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17449
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03545
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04291
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23746
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67626
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44233
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.66116
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.53184
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.411222
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.685583
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.985881
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.318041
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.720317
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.171081
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.679549
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.213339
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.785452
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43548
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18036
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04227
…(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05098
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2471
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68794
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45684
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.67962
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.55613
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.4269
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.702717
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.004688
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.336626
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.733544
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.185961
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.696405
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.217196
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.789793
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44045
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18607
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0489
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05875
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25641
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69929
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47089
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.69755
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.57969
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.442577
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.719863
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.023492
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.357362
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.746573
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.200621
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.712751
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.220877
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.794001
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44523
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19157
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05535
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06635
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26545
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7103
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48455
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.71492
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.60257
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.458284
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.737015
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.042322
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.378135
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.759377
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.215009
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.715936
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.224453
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.798038
°(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44988
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19693
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06154
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07365
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27419
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7209
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.49775
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.73173
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.62472
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.473943
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.754134
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.061142
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.398867
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.772147
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.229145
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.719004
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.227938
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.801979
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45433
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2021
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.73832
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.71075
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.68558
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.66278
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.64234
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.62423
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.60844
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.60993
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.59874
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.58982
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.58318
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.489597
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.771273
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.079941
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.419645
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.795177
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.242992
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.722002
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.231262
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.805728
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45868
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20704
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.61919
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.59186
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.56691
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.54431
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.52404
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.50608
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.49041
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.48745
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.47634
¿(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.46749
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.46088
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.45651
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.45438
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.45448
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.45681
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.46138
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.505232
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.788389
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.098749
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.440383
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.81814
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.256598
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.724838
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.234501
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.809401
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46284
(335.51, 6.92, 321.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21185
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.50467
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.47757
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.45283
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.43042
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.41032
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.3925
(335.51, 6.92, 321.29) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 11.37695
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.36972
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.35869
(335.51, 6.92, 321.29) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 11.34989
